Piece,Rotation,Flip,Row,Col,Turn
Piece.HIGHWAY_CORNER,Rotation.I,False,3,0,1
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,2,1,1
Piece.RAILWAY_T,Rotation.R270,False,2,2,1
Piece.OVERPASS,Rotation.I,False,2,0,1
Piece.RAILWAY_CORNER,Rotation.I,False,3,2,2
Piece.HIGHWAY_T,Rotation.R90,False,0,0,2
Piece.OVERPASS,Rotation.I,False,1,0,2
Piece.HIGHWAY_T,Rotation.I,False,0,1,2
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,2,3
Piece.STRAIGHT_STATION,Rotation.I,False,5,1,3
Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,1,3
Piece.RAILWAY_CORNER,Rotation.R180,False,3,1,3
Piece.RAILWAY_CORNER,Rotation.R270,False,1,3,4
Piece.RAILWAY_CORNER,Rotation.R180,False,1,2,4
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,3,3,4
Piece.STRAIGHT_STATION,Rotation.I,False,2,3,4
Piece.CROSS_JUNCTION,Rotation.R90,False,0,3,5
Piece.HIGHWAY_CORNER,Rotation.R270,False,0,4,5
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,1,4,5
Piece.RAILWAY_CORNER,Rotation.R90,False,3,4,5
Piece.STRAIGHT_STATION,Rotation.R180,False,2,4,5
Piece.RAILWAY_T,Rotation.I,False,5,6,6
Piece.RAILWAY_T,Rotation.R90,False,5,5,6
Piece.CORNER_JUNCTION,Rotation.R90,False,3,6,6
Piece.STRAIGHT_STATION,Rotation.I,False,6,5,6
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,3,5,6
Piece.THREE_H_JUNCTION,Rotation.R270,False,1,6,7
Piece.OVERPASS,Rotation.I,False,2,6,7
Piece.HIGHWAY_CORNER,Rotation.R90,False,0,5,7
Piece.RAILWAY_T,Rotation.R90,False,4,6,7
Piece.HIGHWAY_T,Rotation.R270,False,0,6,7
