Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
0,48.0,44.0,47.0,40.0,44.0,41.0,46.0,43.0,43.0,39.0,45.0,43.0,43.0
1,47.0,45.0,47.0,42.0,44.0,39.0,42.0,47.0,47.0,40.0,46.0,44.0,44.0
2,46.0,46.0,47.0,42.0,46.0,44.0,46.0,44.0,44.0,40.0,51.0,45.0,45.0
3,47.0,47.0,47.0,43.0,48.0,44.0,48.0,48.0,48.0,42.0,49.0,46.0,46.0
4,51.0,47.0,50.0,42.0,49.0,42.0,46.0,49.0,49.0,41.0,48.0,48.0,48.0
5,47.0,48.0,47.0,43.0,50.0,45.0,46.0,48.0,48.0,41.0,52.0,48.0,48.0
6,48.0,43.0,43.0,43.0,44.0,44.0,49.0,48.0,48.0,41.0,50.0,42.0,42.0
7,52.0,46.0,46.0,43.0,47.0,43.0,45.0,50.0,50.0,42.0,49.0,46.0,46.0
8,48.0,47.0,46.0,42.0,49.0,42.0,46.0,49.0,49.0,41.0,49.0,45.0,45.0
9,53.0,48.0,48.0,46.0,51.0,49.0,48.0,48.0,48.0,49.0,47.0,45.0,46.0
10,51.0,48.0,48.0,46.0,48.0,45.0,47.0,45.0,45.0,47.0,46.0,45.0,45.0
11,47.0,47.0,47.0,42.0,45.0,46.0,47.0,44.0,44.0,48.0,48.0,45.0,45.0
12,52.0,48.0,48.0,48.0,50.0,48.0,48.0,49.0,49.0,48.0,49.0,47.0,47.0
13,50.0,47.0,49.0,47.0,47.0,44.0,46.0,44.0,44.0,46.0,50.0,45.0,45.0
14,47.0,48.0,47.0,47.0,44.0,45.0,46.0,47.0,47.0,47.0,47.0,44.0,46.0
15,46.0,43.0,43.0,45.0,50.0,44.0,40.0,48.0,48.0,43.0,50.0,48.0,48.0
16,47.0,46.0,46.0,42.0,47.0,42.0,39.0,45.0,45.0,39.0,51.0,46.0,46.0
17,43.0,46.0,47.0,42.0,45.0,44.0,41.0,46.0,46.0,39.0,46.0,43.0,45.0
18,48.0,48.0,48.0,43.0,48.0,48.0,48.0,49.0,49.0,46.0,50.0,46.0,46.0
19,52.0,50.0,50.0,42.0,49.0,46.0,47.0,49.0,49.0,46.0,48.0,48.0,48.0
20,48.0,48.0,48.0,47.0,50.0,46.0,49.0,49.0,49.0,46.0,52.0,49.0,49.0
21,49.0,45.0,45.0,43.0,48.0,49.0,48.0,50.0,50.0,45.0,51.0,47.0,47.0
22,51.0,48.0,48.0,43.0,48.0,47.0,48.0,50.0,50.0,47.0,49.0,47.0,47.0
23,47.0,47.0,47.0,48.0,51.0,45.0,50.0,50.0,50.0,45.0,49.0,50.0,50.0
24,52.0,52.0,49.0,48.0,50.0,52.0,52.0,50.0,50.0,52.0,51.0,49.0,49.0
25,51.0,51.0,51.0,47.0,51.0,50.0,48.0,51.0,51.0,50.0,51.0,50.0,50.0
26,48.0,48.0,48.0,48.0,50.0,50.0,47.0,48.0,48.0,50.0,51.0,50.0,50.0
27,51.0,51.0,48.0,50.0,49.0,51.0,52.0,51.0,51.0,51.0,50.0,48.0,48.0
28,52.0,52.0,50.0,48.0,50.0,49.0,49.0,50.0,50.0,49.0,51.0,49.0,49.0
29,49.0,49.0,49.0,49.0,49.0,49.0,48.0,49.0,49.0,49.0,50.0,49.0,49.0
30,45.0,45.0,45.0,51.0,50.0,49.0,44.0,50.0,50.0,46.0,49.0,48.0,48.0
31,46.0,46.0,46.0,43.0,48.0,45.0,41.0,49.0,50.0,41.0,50.0,47.0,47.0
32,46.0,47.0,47.0,48.0,49.0,46.0,45.0,50.0,50.0,41.0,50.0,48.0,48.0
33,45.0,43.0,43.0,42.0,43.0,44.0,45.0,49.0,49.0,40.0,44.0,42.0,42.0
34,46.0,43.0,43.0,43.0,43.0,42.0,47.0,50.0,50.0,42.0,44.0,42.0,42.0
35,46.0,46.0,46.0,45.0,46.0,45.0,48.0,49.0,49.0,46.0,47.0,45.0,45.0
36,53.0,46.0,46.0,49.0,45.0,51.0,52.0,51.0,51.0,51.0,50.0,44.0,45.0
37,52.0,48.0,48.0,48.0,46.0,51.0,49.0,50.0,50.0,51.0,47.0,45.0,46.0
38,48.0,48.0,48.0,47.0,49.0,46.0,48.0,49.0,49.0,46.0,49.0,49.0,49.0
39,52.0,47.0,46.0,51.0,49.0,50.0,53.0,50.0,50.0,50.0,49.0,46.0,46.0
40,53.0,49.0,48.0,49.0,45.0,50.0,50.0,49.0,50.0,50.0,48.0,44.0,45.0
41,50.0,50.0,47.0,48.0,48.0,45.0,49.0,49.0,49.0,45.0,48.0,48.0,48.0
42,45.0,42.0,42.0,52.0,50.0,44.0,45.0,51.0,51.0,47.0,44.0,47.0,47.0
43,46.0,42.0,42.0,44.0,43.0,46.0,42.0,50.0,51.0,42.0,46.0,43.0,44.0
44,43.0,46.0,46.0,44.0,46.0,46.0,46.0,50.0,50.0,42.0,49.0,45.0,46.0
45,46.0,47.0,46.0,47.0,51.0,47.0,42.0,47.0,47.0,46.0,46.0,50.0,51.0
46,46.0,48.0,48.0,46.0,51.0,46.0,46.0,47.0,47.0,45.0,48.0,48.0,48.0
47,43.0,47.0,43.0,46.0,51.0,47.0,44.0,44.0,44.0,45.0,45.0,46.0,49.0
48,47.0,48.0,47.0,49.0,52.0,52.0,43.0,50.0,50.0,52.0,51.0,50.0,50.0
