Piece,Rotation,Flip,Row,Col,Turn
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,6,1
Piece.HIGHWAY_CORNER,Rotation.I,False,1,1,1
Piece.STRAIGHT_STATION,Rotation.R270,False,1,0,1
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,1,1
Piece.RAILWAY_T,Rotation.R90,False,1,3,2
Piece.RAILWAY_STRAIGHT,Rotation.I,False,0,3,2
Piece.RAILWAY_CORNER,Rotation.R90,False,2,3,2
Piece.OVERPASS,Rotation.I,False,2,4,2
Piece.STRAIGHT_STATION,Rotation.R270,False,3,3,3
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,0,3
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,3,2,3
Piece.HIGHWAY_T,Rotation.R270,False,3,4,3
Piece.RAILWAY_T,Rotation.I,False,1,6,4
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,5,4
Piece.HIGHWAY_CORNER,Rotation.R180,False,0,4,4
Piece.OVERPASS,Rotation.I,False,1,4,4
Piece.RAILWAY_T,Rotation.R180,False,2,5,5
Piece.HIGHWAY_CORNER,Rotation.R90,False,4,4,5
Piece.THREE_H_JUNCTION,Rotation.R270,False,0,5,5
Piece.CORNER_STATION,Rotation.R90,True,3,5,5
Piece.RAILWAY_CORNER,Rotation.R270,False,0,6,5
Piece.OVERPASS,Rotation.R90,False,6,2,6
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,5,5,6
Piece.CROSS_JUNCTION,Rotation.R90,False,6,3,6
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,6,4,6
Piece.HIGHWAY_T,Rotation.R270,False,6,5,6
Piece.CORNER_JUNCTION,Rotation.R180,False,5,1,7
Piece.HIGHWAY_CORNER,Rotation.R270,False,4,5,7
Piece.HIGHWAY_CORNER,Rotation.I,False,5,2,7
Piece.CORNER_STATION,Rotation.R180,True,4,2,7
Piece.HIGHWAY_T,Rotation.R90,False,6,1,7
