Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
0,42.0,43.0,42.0,43.0,43.0,42.0
1,42.0,42.0,42.0,42.0,42.0,42.0
2,46.0,47.0,45.0,45.0,45.0,45.0
3,45.0,45.0,45.0,45.0,45.0,45.0
4,47.0,47.0,47.0,47.0,47.0,47.0
5,50.0,50.0,50.0,50.0,50.0,50.0
6,44.0,44.0,44.0,44.0,44.0,44.0
7,47.0,48.0,46.0,46.0,46.0,46.0
8,46.0,47.0,46.0,46.0,46.0,46.0
9,43.0,44.0,43.0,44.0,44.0,43.0
10,42.0,41.0,42.0,41.0,41.0,42.0
11,47.0,46.0,44.0,45.0,45.0,44.0
12,43.0,43.0,43.0,43.0,43.0,43.0
13,42.0,41.0,42.0,41.0,41.0,42.0
14,47.0,45.0,44.0,44.0,44.0,44.0
15,43.0,44.0,43.0,44.0,44.0,43.0
16,42.0,42.0,42.0,42.0,42.0,42.0
17,47.0,46.0,44.0,45.0,45.0,44.0
18,45.0,45.0,45.0,45.0,45.0,45.0
19,50.0,50.0,50.0,50.0,50.0,50.0
20,50.0,50.0,50.0,50.0,50.0,50.0
21,46.0,45.0,46.0,45.0,45.0,46.0
22,51.0,51.0,51.0,51.0,51.0,51.0
23,51.0,51.0,51.0,51.0,51.0,51.0
24,46.0,46.0,46.0,46.0,46.0,46.0
25,47.0,46.0,47.0,46.0,46.0,47.0
26,49.0,49.0,49.0,49.0,49.0,49.0
27,45.0,45.0,45.0,45.0,45.0,45.0
28,47.0,45.0,47.0,45.0,45.0,47.0
29,48.0,48.0,48.0,48.0,48.0,48.0
30,45.0,45.0,45.0,45.0,45.0,45.0
31,47.0,46.0,47.0,46.0,46.0,47.0
32,46.0,46.0,46.0,46.0,46.0,46.0
33,44.0,45.0,44.0,45.0,45.0,44.0
34,47.0,48.0,45.0,46.0,46.0,45.0
35,47.0,47.0,46.0,47.0,47.0,46.0
36,45.0,44.0,45.0,44.0,44.0,45.0
37,48.0,47.0,46.0,46.0,46.0,46.0
38,46.0,46.0,46.0,46.0,46.0,46.0
39,44.0,44.0,44.0,44.0,44.0,44.0
40,48.0,46.0,46.0,45.0,45.0,46.0
41,46.0,46.0,46.0,45.0,45.0,46.0
42,45.0,44.0,45.0,44.0,44.0,45.0
43,48.0,47.0,46.0,46.0,46.0,46.0
44,46.0,47.0,46.0,46.0,46.0,46.0
45,44.0,44.0,44.0,44.0,44.0,44.0
46,42.0,42.0,42.0,41.0,41.0,42.0
47,46.0,46.0,45.0,45.0,45.0,45.0
48,44.0,44.0,44.0,44.0,44.0,44.0
49,45.0,46.0,43.0,43.0,43.0,43.0
50,46.0,45.0,45.0,45.0,45.0,45.0
51,44.0,45.0,44.0,45.0,45.0,44.0
52,46.0,47.0,44.0,44.0,44.0,44.0
53,46.0,46.0,45.0,46.0,46.0,45.0
54,43.0,43.0,43.0,43.0,43.0,43.0
55,44.0,45.0,42.0,42.0,42.0,42.0
56,45.0,44.0,44.0,44.0,44.0,44.0
57,44.0,44.0,44.0,44.0,44.0,44.0
58,45.0,46.0,43.0,43.0,43.0,43.0
59,46.0,45.0,45.0,45.0,45.0,45.0
60,44.0,44.0,44.0,44.0,44.0,44.0
61,42.0,42.0,42.0,42.0,42.0,42.0
62,46.0,46.0,45.0,46.0,46.0,45.0
63,45.0,44.0,45.0,44.0,44.0,45.0
64,49.0,49.0,49.0,49.0,49.0,49.0
65,49.0,49.0,49.0,49.0,49.0,49.0
66,46.0,44.0,46.0,44.0,44.0,46.0
67,50.0,50.0,50.0,50.0,50.0,50.0
68,50.0,50.0,50.0,50.0,50.0,50.0
69,45.0,45.0,45.0,45.0,45.0,45.0
70,48.0,46.0,48.0,46.0,46.0,48.0
71,48.0,48.0,48.0,48.0,48.0,48.0
72,45.0,44.0,45.0,44.0,44.0,45.0
73,47.0,45.0,47.0,45.0,45.0,47.0
74,48.0,48.0,48.0,48.0,48.0,48.0
75,46.0,44.0,46.0,44.0,44.0,46.0
76,46.0,46.0,46.0,46.0,46.0,46.0
77,49.0,49.0,49.0,49.0,49.0,49.0
78,46.0,45.0,46.0,45.0,45.0,46.0
79,47.0,47.0,46.0,47.0,47.0,46.0
80,48.0,46.0,48.0,46.0,46.0,48.0
81,46.0,44.0,46.0,44.0,44.0,46.0
82,49.0,47.0,49.0,47.0,47.0,49.0
83,47.0,45.0,47.0,45.0,45.0,47.0
84,46.0,44.0,46.0,44.0,44.0,46.0
85,48.0,46.0,48.0,46.0,46.0,48.0
86,49.0,49.0,49.0,49.0,49.0,49.0
87,47.0,45.0,47.0,45.0,45.0,47.0
88,47.0,47.0,47.0,47.0,47.0,47.0
89,50.0,50.0,50.0,50.0,50.0,50.0
90,44.0,43.0,44.0,43.0,43.0,44.0
91,46.0,45.0,46.0,45.0,45.0,46.0
92,49.0,49.0,49.0,49.0,49.0,49.0
93,45.0,44.0,45.0,44.0,44.0,45.0
94,49.0,49.0,49.0,49.0,49.0,49.0
