Scenario,Roll 0,Roll 1,Roll 2
0,44.0,49.0,49.0
1,42.0,45.0,46.0
2,44.0,47.0,47.0
3,50.0,49.0,49.0
4,45.0,47.0,47.0
5,50.0,47.0,47.0
6,51.0,50.0,50.0
7,46.0,48.0,48.0
8,51.0,48.0,48.0
9,44.0,45.0,45.0
10,42.0,47.0,47.0
11,44.0,46.0,47.0
12,48.0,45.0,45.0
13,45.0,47.0,47.0
14,44.0,46.0,46.0
15,49.0,43.0,43.0
16,46.0,47.0,47.0
17,45.0,45.0,45.0
18,49.0,49.0,49.0
19,44.0,46.0,46.0
20,49.0,48.0,48.0
21,50.0,50.0,50.0
22,45.0,47.0,47.0
23,50.0,49.0,49.0
24,45.0,50.0,50.0
25,47.0,49.0,49.0
26,45.0,46.0,46.0
27,47.0,49.0,49.0
28,46.0,48.0,48.0
29,44.0,45.0,45.0
30,48.0,45.0,45.0
31,45.0,46.0,46.0
32,45.0,45.0,45.0
33,51.0,47.0,47.0
34,46.0,48.0,48.0
35,51.0,48.0,48.0
36,46.0,51.0,51.0
37,48.0,50.0,50.0
38,46.0,47.0,47.0
39,48.0,50.0,50.0
40,47.0,49.0,49.0
41,45.0,46.0,46.0
42,49.0,46.0,46.0
43,46.0,45.0,47.0
44,46.0,46.0,46.0
45,46.0,45.0,45.0
46,43.0,45.0,45.0
47,45.0,45.0,45.0
48,46.0,44.0,44.0
49,48.0,48.0,48.0
50,46.0,46.0,46.0
51,47.0,45.0,45.0
52,49.0,49.0,49.0
53,47.0,46.0,46.0
54,45.0,43.0,43.0
55,47.0,47.0,47.0
56,45.0,45.0,45.0
57,46.0,44.0,44.0
58,48.0,48.0,48.0
59,46.0,45.0,45.0
60,44.0,43.0,43.0
61,47.0,44.0,46.0
62,45.0,46.0,46.0
63,48.0,48.0,48.0
64,43.0,46.0,46.0
65,48.0,50.0,50.0
66,49.0,49.0,49.0
67,44.0,47.0,47.0
68,49.0,51.0,51.0
69,44.0,50.0,50.0
70,46.0,51.0,51.0
71,44.0,51.0,51.0
72,46.0,49.0,49.0
73,45.0,50.0,50.0
74,43.0,50.0,50.0
75,47.0,45.0,45.0
76,44.0,46.0,46.0
77,44.0,46.0,46.0
78,50.0,47.0,47.0
79,45.0,48.0,48.0
80,50.0,52.0,52.0
81,45.0,51.0,51.0
82,47.0,52.0,52.0
83,45.0,52.0,52.0
84,47.0,50.0,50.0
85,46.0,51.0,51.0
86,44.0,51.0,51.0
87,48.0,46.0,46.0
88,45.0,47.0,47.0
89,45.0,47.0,47.0
90,45.0,50.0,50.0
91,43.0,49.0,49.0
92,45.0,44.0,44.0
93,45.0,51.0,51.0
94,47.0,50.0,50.0
95,45.0,45.0,45.0
96,46.0,50.0,50.0
97,48.0,49.0,49.0
98,46.0,45.0,45.0
99,44.0,50.0,50.0
100,46.0,49.0,49.0
101,44.0,44.0,44.0
102,45.0,49.0,49.0
103,47.0,48.0,48.0
104,45.0,44.0,44.0
105,44.0,45.0,45.0
106,46.0,44.0,45.0
107,44.0,45.0,45.0
108,41.0,47.0,47.0
109,42.0,48.0,48.0
110,42.0,48.0,48.0
111,41.0,52.0,52.0
112,42.0,53.0,53.0
113,42.0,53.0,53.0
114,40.0,51.0,51.0
115,42.0,52.0,52.0
116,44.0,52.0,52.0
117,41.0,47.0,47.0
118,43.0,48.0,48.0
119,45.0,48.0,48.0
120,44.0,51.0,51.0
121,43.0,50.0,50.0
122,45.0,45.0,45.0
123,43.0,52.0,52.0
124,45.0,51.0,51.0
125,44.0,45.0,45.0
126,44.0,51.0,51.0
127,46.0,50.0,50.0
128,45.0,45.0,45.0
129,42.0,51.0,51.0
130,44.0,50.0,50.0
131,43.0,44.0,44.0
132,43.0,50.0,50.0
133,45.0,49.0,49.0
134,44.0,45.0,45.0
135,44.0,46.0,46.0
136,45.0,45.0,45.0
137,45.0,44.0,44.0
138,52.0,44.0,44.0
139,46.0,45.0,45.0
140,51.0,46.0,46.0
141,51.0,46.0,46.0
142,46.0,48.0,48.0
143,50.0,45.0,45.0
144,52.0,45.0,45.0
145,47.0,49.0,49.0
146,51.0,46.0,46.0
147,50.0,45.0,45.0
148,45.0,50.0,50.0
149,49.0,46.0,46.0
150,51.0,44.0,44.0
151,46.0,51.0,51.0
152,50.0,45.0,45.0
153,51.0,44.0,44.0
154,47.0,49.0,49.0
155,50.0,46.0,46.0
156,49.0,44.0,44.0
157,44.0,49.0,49.0
158,48.0,45.0,45.0
159,50.0,43.0,43.0
160,45.0,50.0,50.0
161,49.0,45.0,45.0
162,50.0,43.0,43.0
163,46.0,48.0,48.0
164,49.0,45.0,45.0
165,51.0,38.0,40.0
166,45.0,44.0,44.0
167,50.0,44.0,46.0
