Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
0,59.0,55.0,55.0,55.0,53.0,53.0,58.0,55.0,56.0,56.0,56.0,55.0,54.0,59.0,54.0
1,58.0,57.0,57.0,56.0,56.0,54.0,57.0,58.0,57.0,57.0,57.0,55.0,54.0,58.0,56.0
2,57.0,56.0,60.0,56.0,56.0,54.0,58.0,57.0,57.0,56.0,60.0,55.0,54.0,59.0,56.0
3,61.0,56.0,59.0,59.0,57.0,57.0,61.0,59.0,58.0,59.0,58.0,58.0,58.0,59.0,55.0
4,60.0,61.0,59.0,61.0,59.0,57.0,60.0,60.0,61.0,61.0,61.0,60.0,57.0,60.0,60.0
5,61.0,59.0,60.0,57.0,57.0,58.0,59.0,61.0,60.0,60.0,60.0,59.0,58.0,60.0,58.0
6,59.0,55.0,58.0,58.0,58.0,56.0,59.0,55.0,59.0,59.0,59.0,59.0,56.0,59.0,54.0
7,60.0,57.0,60.0,62.0,60.0,57.0,59.0,57.0,61.0,62.0,61.0,61.0,57.0,60.0,56.0
8,61.0,57.0,59.0,58.0,56.0,58.0,59.0,58.0,60.0,61.0,60.0,60.0,58.0,60.0,57.0
9,58.0,59.0,59.0,56.0,54.0,57.0,57.0,58.0,58.0,59.0,58.0,58.0,57.0,58.0,57.0
10,60.0,58.0,59.0,56.0,56.0,58.0,58.0,59.0,59.0,56.0,59.0,58.0,58.0,60.0,59.0
11,57.0,59.0,60.0,57.0,57.0,58.0,58.0,59.0,56.0,56.0,59.0,54.0,58.0,60.0,58.0
12,57.0,58.0,58.0,57.0,54.0,57.0,58.0,57.0,58.0,58.0,58.0,58.0,57.0,58.0,56.0
13,59.0,58.0,58.0,55.0,55.0,58.0,60.0,58.0,58.0,55.0,58.0,57.0,58.0,59.0,58.0
14,56.0,58.0,59.0,56.0,56.0,58.0,58.0,61.0,56.0,55.0,58.0,55.0,58.0,59.0,57.0
15,58.0,54.0,55.0,58.0,54.0,53.0,59.0,54.0,59.0,59.0,59.0,59.0,55.0,58.0,53.0
16,57.0,56.0,58.0,56.0,56.0,54.0,58.0,57.0,56.0,56.0,58.0,58.0,54.0,59.0,55.0
17,57.0,56.0,57.0,57.0,57.0,54.0,58.0,57.0,56.0,56.0,56.0,56.0,54.0,60.0,55.0
18,61.0,55.0,59.0,60.0,61.0,61.0,61.0,60.0,58.0,61.0,58.0,58.0,61.0,60.0,54.0
19,62.0,61.0,60.0,63.0,63.0,61.0,61.0,60.0,61.0,63.0,61.0,60.0,61.0,60.0,60.0
20,62.0,59.0,60.0,60.0,60.0,58.0,61.0,62.0,60.0,62.0,60.0,59.0,58.0,62.0,58.0
21,61.0,54.0,59.0,60.0,62.0,59.0,59.0,59.0,59.0,61.0,59.0,59.0,59.0,61.0,53.0
22,62.0,61.0,61.0,64.0,64.0,61.0,61.0,60.0,61.0,64.0,61.0,61.0,61.0,61.0,60.0
23,63.0,58.0,61.0,61.0,60.0,58.0,61.0,62.0,60.0,63.0,60.0,60.0,58.0,63.0,58.0
24,60.0,59.0,59.0,58.0,58.0,60.0,59.0,62.0,58.0,61.0,58.0,58.0,60.0,61.0,57.0
25,62.0,59.0,59.0,60.0,60.0,62.0,62.0,61.0,60.0,60.0,60.0,60.0,62.0,61.0,59.0
26,62.0,59.0,60.0,57.0,57.0,63.0,63.0,63.0,60.0,59.0,60.0,59.0,63.0,64.0,58.0
27,60.0,58.0,58.0,58.0,58.0,59.0,58.0,61.0,58.0,60.0,58.0,58.0,59.0,60.0,56.0
28,61.0,62.0,58.0,59.0,59.0,61.0,61.0,61.0,59.0,59.0,59.0,60.0,61.0,60.0,61.0
29,61.0,60.0,59.0,59.0,59.0,62.0,62.0,62.0,59.0,59.0,59.0,59.0,62.0,63.0,59.0
30,60.0,54.0,59.0,59.0,58.0,56.0,59.0,58.0,59.0,61.0,59.0,59.0,59.0,58.0,53.0
31,60.0,58.0,58.0,60.0,60.0,58.0,58.0,59.0,60.0,60.0,60.0,61.0,58.0,59.0,58.0
32,62.0,59.0,60.0,59.0,59.0,58.0,62.0,60.0,60.0,60.0,60.0,60.0,58.0,60.0,57.0
33,59.0,53.0,59.0,59.0,57.0,56.0,59.0,54.0,58.0,58.0,58.0,58.0,56.0,57.0,52.0
34,60.0,55.0,61.0,61.0,58.0,57.0,61.0,56.0,60.0,60.0,60.0,60.0,57.0,58.0,55.0
35,61.0,57.0,61.0,61.0,59.0,58.0,62.0,58.0,60.0,60.0,60.0,60.0,58.0,63.0,57.0
36,58.0,57.0,59.0,59.0,56.0,60.0,60.0,58.0,59.0,59.0,59.0,59.0,60.0,58.0,57.0
37,60.0,58.0,57.0,61.0,57.0,58.0,58.0,59.0,61.0,61.0,61.0,61.0,58.0,62.0,58.0
38,62.0,58.0,57.0,57.0,57.0,63.0,63.0,63.0,60.0,60.0,60.0,60.0,63.0,64.0,58.0
39,57.0,56.0,59.0,59.0,56.0,59.0,59.0,57.0,58.0,58.0,58.0,58.0,59.0,57.0,56.0
40,59.0,57.0,56.0,60.0,56.0,57.0,57.0,58.0,60.0,60.0,60.0,60.0,57.0,61.0,57.0
41,61.0,58.0,59.0,60.0,56.0,62.0,62.0,62.0,60.0,60.0,60.0,60.0,62.0,63.0,57.0
42,58.0,54.0,60.0,60.0,56.0,55.0,59.0,54.0,59.0,59.0,59.0,59.0,55.0,57.0,53.0
43,57.0,56.0,56.0,61.0,57.0,54.0,57.0,56.0,61.0,61.0,61.0,61.0,54.0,58.0,55.0
44,62.0,59.0,60.0,60.0,57.0,58.0,62.0,59.0,61.0,61.0,61.0,61.0,58.0,60.0,57.0
45,55.0,56.0,60.0,55.0,54.0,56.0,56.0,58.0,58.0,58.0,58.0,58.0,61.0,58.0,56.0
46,61.0,59.0,57.0,57.0,57.0,62.0,62.0,62.0,56.0,55.0,56.0,55.0,62.0,63.0,58.0
47,57.0,58.0,60.0,56.0,56.0,58.0,58.0,59.0,55.0,55.0,55.0,54.0,58.0,60.0,57.0
48,56.0,57.0,59.0,58.0,54.0,56.0,56.0,57.0,58.0,58.0,58.0,58.0,60.0,57.0,56.0
49,60.0,58.0,61.0,60.0,60.0,61.0,61.0,61.0,59.0,58.0,59.0,58.0,61.0,62.0,58.0
50,59.0,59.0,61.0,55.0,55.0,58.0,58.0,61.0,59.0,59.0,59.0,59.0,58.0,59.0,57.0
51,57.0,57.0,60.0,58.0,54.0,56.0,56.0,57.0,59.0,59.0,59.0,59.0,56.0,58.0,56.0
52,61.0,58.0,61.0,60.0,60.0,57.0,61.0,58.0,59.0,58.0,59.0,58.0,57.0,59.0,58.0
53,60.0,59.0,61.0,56.0,56.0,58.0,58.0,59.0,60.0,60.0,60.0,60.0,58.0,60.0,58.0
54,55.0,56.0,59.0,57.0,53.0,56.0,56.0,56.0,57.0,57.0,57.0,57.0,59.0,57.0,55.0
55,60.0,58.0,60.0,59.0,59.0,60.0,60.0,60.0,58.0,57.0,58.0,57.0,60.0,61.0,58.0
56,58.0,59.0,60.0,55.0,55.0,58.0,60.0,61.0,58.0,58.0,58.0,58.0,58.0,59.0,58.0
57,56.0,57.0,59.0,57.0,53.0,56.0,56.0,57.0,58.0,58.0,58.0,58.0,56.0,57.0,56.0
58,60.0,58.0,60.0,59.0,59.0,57.0,60.0,58.0,58.0,57.0,58.0,57.0,57.0,58.0,58.0
59,59.0,60.0,60.0,55.0,55.0,58.0,60.0,60.0,59.0,59.0,59.0,59.0,58.0,59.0,59.0
60,55.0,53.0,56.0,56.0,51.0,52.0,56.0,53.0,58.0,58.0,58.0,59.0,52.0,55.0,52.0
61,56.0,56.0,56.0,56.0,56.0,53.0,56.0,56.0,55.0,54.0,55.0,54.0,53.0,57.0,55.0
62,57.0,56.0,58.0,56.0,56.0,54.0,58.0,57.0,56.0,55.0,56.0,58.0,54.0,58.0,55.0
63,61.0,54.0,58.0,60.0,60.0,60.0,60.0,59.0,58.0,61.0,58.0,57.0,60.0,60.0,53.0
64,62.0,60.0,60.0,62.0,62.0,61.0,61.0,59.0,62.0,63.0,62.0,62.0,61.0,60.0,59.0
65,64.0,58.0,62.0,61.0,61.0,58.0,61.0,62.0,62.0,62.0,62.0,62.0,58.0,62.0,57.0
66,61.0,53.0,59.0,61.0,61.0,58.0,58.0,58.0,58.0,61.0,58.0,58.0,58.0,61.0,53.0
67,62.0,60.0,61.0,63.0,63.0,61.0,61.0,59.0,63.0,64.0,63.0,63.0,61.0,61.0,59.0
68,64.0,58.0,63.0,62.0,62.0,58.0,61.0,62.0,63.0,63.0,63.0,63.0,58.0,63.0,58.0
69,61.0,58.0,58.0,59.0,59.0,61.0,58.0,62.0,58.0,60.0,58.0,58.0,61.0,60.0,56.0
70,63.0,62.0,58.0,60.0,60.0,62.0,61.0,63.0,64.0,64.0,64.0,64.0,62.0,61.0,62.0
71,66.0,62.0,59.0,60.0,59.0,62.0,62.0,63.0,59.0,61.0,59.0,59.0,62.0,63.0,62.0
72,60.0,57.0,58.0,59.0,59.0,60.0,57.0,61.0,57.0,60.0,57.0,58.0,60.0,59.0,55.0
73,62.0,61.0,57.0,59.0,59.0,61.0,60.0,62.0,63.0,63.0,63.0,63.0,61.0,60.0,61.0
