Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
0,48.0,48.0,49.0,48.0,49.0,48.0,48.0,49.0,51.0,48.0,48.0,48.0
1,48.0,48.0,46.0,44.0,47.0,50.0,48.0,46.0,48.0,50.0,50.0,50.0
2,44.0,44.0,47.0,44.0,45.0,49.0,44.0,47.0,49.0,46.0,49.0,49.0
3,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
4,54.0,54.0,50.0,48.0,49.0,50.0,54.0,50.0,50.0,54.0,54.0,54.0
5,49.0,49.0,50.0,49.0,50.0,53.0,49.0,50.0,50.0,49.0,53.0,53.0
6,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
7,55.0,55.0,51.0,49.0,50.0,49.0,55.0,51.0,51.0,55.0,55.0,55.0
8,50.0,50.0,51.0,50.0,51.0,53.0,50.0,51.0,51.0,50.0,53.0,53.0
9,48.0,48.0,49.0,48.0,48.0,49.0,48.0,49.0,48.0,48.0,49.0,49.0
10,47.0,47.0,49.0,45.0,49.0,52.0,47.0,49.0,49.0,49.0,52.0,52.0
11,44.0,44.0,48.0,44.0,48.0,49.0,44.0,48.0,48.0,44.0,49.0,49.0
12,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
13,47.0,47.0,49.0,47.0,49.0,51.0,47.0,49.0,49.0,48.0,51.0,51.0
14,47.0,47.0,49.0,47.0,49.0,49.0,47.0,49.0,49.0,48.0,49.0,49.0
15,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
16,48.0,48.0,50.0,48.0,49.0,49.0,48.0,50.0,50.0,49.0,49.0,49.0
17,48.0,48.0,50.0,48.0,50.0,50.0,48.0,50.0,50.0,49.0,50.0,50.0
18,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
19,54.0,54.0,50.0,48.0,49.0,50.0,54.0,50.0,50.0,54.0,54.0,54.0
20,53.0,53.0,54.0,53.0,54.0,53.0,53.0,54.0,54.0,53.0,53.0,53.0
21,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
22,55.0,55.0,51.0,49.0,50.0,49.0,55.0,51.0,51.0,55.0,55.0,55.0
23,54.0,54.0,55.0,54.0,55.0,54.0,54.0,55.0,55.0,54.0,54.0,54.0
24,52.0,52.0,51.0,52.0,50.0,52.0,52.0,51.0,49.0,52.0,52.0,52.0
25,53.0,53.0,53.0,52.0,53.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0
26,49.0,49.0,50.0,49.0,49.0,53.0,49.0,50.0,49.0,49.0,53.0,53.0
27,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
28,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
29,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
30,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
31,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
32,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
33,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
34,54.0,54.0,50.0,49.0,50.0,49.0,54.0,50.0,50.0,54.0,54.0,54.0
35,54.0,54.0,55.0,54.0,55.0,54.0,54.0,55.0,55.0,54.0,54.0,54.0
36,53.0,53.0,52.0,53.0,51.0,53.0,53.0,52.0,50.0,53.0,53.0,53.0
37,54.0,54.0,54.0,53.0,54.0,53.0,54.0,54.0,54.0,54.0,54.0,54.0
38,50.0,50.0,51.0,50.0,50.0,53.0,50.0,51.0,50.0,50.0,53.0,53.0
39,53.0,53.0,52.0,53.0,52.0,53.0,53.0,52.0,52.0,53.0,53.0,53.0
40,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
41,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
42,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
43,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
44,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
45,51.0,51.0,48.0,51.0,47.0,51.0,51.0,51.0,47.0,51.0,51.0,51.0
46,46.0,46.0,49.0,46.0,48.0,52.0,46.0,49.0,48.0,48.0,52.0,52.0
47,47.0,47.0,48.0,47.0,47.0,49.0,47.0,49.0,47.0,48.0,49.0,49.0
48,52.0,52.0,51.0,52.0,51.0,52.0,52.0,52.0,51.0,52.0,52.0,52.0
49,49.0,49.0,52.0,49.0,52.0,52.0,49.0,52.0,52.0,50.0,52.0,52.0
50,47.0,47.0,49.0,47.0,49.0,50.0,47.0,50.0,49.0,49.0,50.0,50.0
51,52.0,52.0,52.0,52.0,51.0,52.0,52.0,52.0,51.0,52.0,52.0,52.0
52,50.0,50.0,53.0,50.0,53.0,53.0,50.0,53.0,53.0,51.0,53.0,53.0
53,47.0,47.0,50.0,47.0,49.0,50.0,47.0,50.0,49.0,49.0,50.0,50.0
54,52.0,52.0,51.0,52.0,51.0,52.0,52.0,52.0,51.0,52.0,52.0,52.0
55,48.0,48.0,51.0,48.0,51.0,51.0,48.0,51.0,51.0,49.0,51.0,51.0
56,47.0,47.0,49.0,47.0,49.0,50.0,47.0,50.0,49.0,49.0,50.0,50.0
57,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
58,49.0,49.0,52.0,49.0,52.0,52.0,49.0,52.0,52.0,50.0,52.0,52.0
59,48.0,48.0,49.0,48.0,49.0,49.0,48.0,49.0,49.0,48.0,49.0,49.0
60,51.0,51.0,52.0,51.0,51.0,51.0,51.0,52.0,51.0,51.0,51.0,51.0
61,47.0,47.0,49.0,47.0,48.0,48.0,47.0,49.0,49.0,49.0,48.0,48.0
62,47.0,47.0,50.0,47.0,49.0,49.0,47.0,50.0,49.0,48.0,49.0,49.0
63,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
