Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
0,42.0,46.0,44.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,44.0
1,47.0,43.0,46.0,43.0,46.0,46.0,45.0,45.0,45.0,45.0,46.0
2,44.0,43.0,42.0,43.0,40.0,40.0,45.0,45.0,47.0,47.0,44.0
3,43.0,46.0,45.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
4,46.0,47.0,45.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,47.0
5,46.0,47.0,45.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,46.0
6,44.0,47.0,45.0,47.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
7,44.0,48.0,46.0,48.0,48.0,48.0,49.0,49.0,49.0,49.0,48.0
8,47.0,48.0,46.0,48.0,48.0,48.0,49.0,49.0,49.0,49.0,47.0
9,43.0,45.0,45.0,45.0,45.0,45.0,47.0,47.0,47.0,47.0,47.0
10,44.0,47.0,47.0,47.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0
11,44.0,43.0,42.0,43.0,40.0,40.0,45.0,45.0,47.0,47.0,44.0
12,42.0,46.0,45.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
13,43.0,47.0,47.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,45.0
14,45.0,47.0,45.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,44.0
15,43.0,47.0,45.0,47.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
16,43.0,48.0,48.0,48.0,48.0,48.0,49.0,49.0,49.0,49.0,46.0
17,46.0,48.0,46.0,48.0,48.0,48.0,49.0,49.0,49.0,49.0,45.0
18,45.0,48.0,44.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
19,45.0,46.0,44.0,46.0,46.0,46.0,48.0,48.0,47.0,47.0,47.0
20,47.0,49.0,44.0,49.0,46.0,46.0,48.0,48.0,49.0,49.0,46.0
21,46.0,49.0,45.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
22,45.0,47.0,45.0,47.0,47.0,47.0,49.0,49.0,48.0,48.0,48.0
23,48.0,50.0,45.0,50.0,47.0,47.0,49.0,49.0,50.0,50.0,47.0
24,43.0,47.0,47.0,47.0,46.0,46.0,47.0,47.0,46.0,46.0,47.0
25,43.0,49.0,49.0,49.0,45.0,45.0,48.0,48.0,46.0,46.0,48.0
26,45.0,46.0,46.0,46.0,41.0,41.0,48.0,48.0,46.0,46.0,48.0
27,42.0,48.0,47.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
28,43.0,49.0,49.0,49.0,48.0,48.0,48.0,48.0,47.0,47.0,48.0
29,44.0,49.0,46.0,49.0,48.0,48.0,48.0,48.0,49.0,49.0,48.0
30,43.0,49.0,44.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
31,44.0,50.0,50.0,50.0,49.0,49.0,49.0,49.0,48.0,48.0,49.0
32,45.0,50.0,47.0,50.0,49.0,49.0,49.0,49.0,50.0,50.0,49.0
33,46.0,46.0,45.0,46.0,48.0,48.0,48.0,48.0,47.0,47.0,48.0
34,46.0,47.0,45.0,47.0,46.0,46.0,49.0,49.0,46.0,46.0,48.0
