Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
0,35.0,38.0,38.0,38.0,38.0,38.0,38.0,34.0,39.0
1,37.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,41.0
2,36.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,41.0
3,39.0,39.0,39.0,39.0,39.0,39.0,39.0,34.0,41.0
4,41.0,43.0,43.0,43.0,43.0,43.0,43.0,39.0,42.0
5,40.0,42.0,42.0,42.0,42.0,42.0,42.0,38.0,42.0
6,38.0,38.0,38.0,38.0,38.0,38.0,38.0,34.0,40.0
7,39.0,44.0,44.0,44.0,44.0,44.0,44.0,40.0,41.0
8,39.0,42.0,42.0,42.0,42.0,42.0,42.0,38.0,42.0
9,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,41.0
10,43.0,42.0,42.0,42.0,42.0,42.0,42.0,41.0,41.0
11,39.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
12,39.0,38.0,38.0,38.0,38.0,38.0,38.0,39.0,41.0
13,43.0,44.0,44.0,44.0,44.0,44.0,44.0,41.0,43.0
14,39.0,40.0,40.0,40.0,40.0,40.0,40.0,41.0,43.0
15,38.0,39.0,39.0,39.0,39.0,39.0,39.0,35.0,39.0
16,39.0,45.0,45.0,45.0,45.0,45.0,45.0,41.0,37.0
17,38.0,40.0,40.0,40.0,40.0,40.0,40.0,36.0,41.0
18,39.0,39.0,39.0,39.0,39.0,39.0,39.0,34.0,41.0
19,41.0,44.0,44.0,44.0,44.0,44.0,44.0,39.0,42.0
20,40.0,43.0,43.0,43.0,43.0,43.0,43.0,40.0,42.0
21,39.0,39.0,39.0,39.0,39.0,39.0,39.0,35.0,41.0
22,40.0,45.0,45.0,45.0,45.0,45.0,45.0,40.0,43.0
23,40.0,43.0,43.0,43.0,43.0,43.0,43.0,41.0,43.0
24,43.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,41.0
25,45.0,43.0,43.0,43.0,43.0,43.0,43.0,44.0,42.0
26,41.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,41.0
27,43.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,42.0
28,45.0,45.0,45.0,45.0,45.0,45.0,45.0,44.0,42.0
29,41.0,42.0,42.0,42.0,42.0,42.0,42.0,43.0,44.0
30,39.0,40.0,40.0,40.0,40.0,40.0,40.0,34.0,41.0
31,44.0,46.0,46.0,46.0,46.0,46.0,46.0,41.0,41.0
32,42.0,43.0,43.0,43.0,43.0,43.0,43.0,39.0,40.0
33,38.0,38.0,38.0,38.0,38.0,38.0,38.0,36.0,40.0
34,39.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,42.0
35,39.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
36,42.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,40.0
37,44.0,42.0,42.0,42.0,42.0,42.0,42.0,45.0,42.0
38,41.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,42.0
39,42.0,38.0,38.0,38.0,38.0,38.0,38.0,39.0,40.0
40,44.0,41.0,41.0,41.0,41.0,41.0,41.0,45.0,41.0
41,42.0,42.0,42.0,42.0,42.0,42.0,42.0,43.0,42.0
42,39.0,39.0,39.0,39.0,39.0,39.0,39.0,34.0,40.0
43,45.0,41.0,41.0,41.0,41.0,41.0,41.0,39.0,42.0
44,43.0,43.0,43.0,43.0,43.0,43.0,43.0,39.0,41.0
45,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,44.0
46,41.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,44.0
47,39.0,41.0,41.0,41.0,41.0,41.0,41.0,42.0,41.0
48,43.0,39.0,39.0,39.0,39.0,39.0,39.0,40.0,44.0
49,45.0,42.0,42.0,42.0,42.0,42.0,42.0,45.0,43.0
50,43.0,41.0,41.0,41.0,41.0,41.0,41.0,42.0,42.0
51,42.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,41.0
52,44.0,43.0,43.0,43.0,43.0,43.0,43.0,46.0,42.0
53,44.0,42.0,42.0,42.0,42.0,42.0,42.0,41.0,42.0
54,43.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0
55,45.0,41.0,41.0,41.0,41.0,41.0,41.0,45.0,42.0
56,43.0,44.0,44.0,44.0,44.0,44.0,44.0,41.0,41.0
57,42.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
58,44.0,42.0,42.0,42.0,42.0,42.0,42.0,46.0,42.0
59,44.0,45.0,45.0,45.0,45.0,45.0,45.0,41.0,42.0
60,38.0,41.0,41.0,41.0,41.0,41.0,41.0,37.0,37.0
61,38.0,41.0,41.0,41.0,41.0,41.0,41.0,39.0,38.0
62,40.0,46.0,46.0,46.0,46.0,46.0,46.0,42.0,38.0
63,38.0,38.0,38.0,38.0,38.0,38.0,38.0,33.0,40.0
64,40.0,44.0,44.0,44.0,44.0,44.0,44.0,38.0,41.0
65,39.0,43.0,43.0,43.0,43.0,43.0,43.0,39.0,41.0
66,38.0,39.0,39.0,39.0,39.0,39.0,39.0,34.0,40.0
67,40.0,45.0,45.0,45.0,45.0,45.0,45.0,39.0,42.0
68,40.0,43.0,43.0,43.0,43.0,43.0,43.0,40.0,42.0
69,43.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0
70,45.0,43.0,43.0,43.0,43.0,43.0,43.0,44.0,41.0
71,43.0,44.0,44.0,44.0,44.0,44.0,44.0,43.0,41.0
72,43.0,39.0,39.0,39.0,39.0,39.0,39.0,38.0,41.0
73,45.0,45.0,45.0,45.0,45.0,45.0,45.0,44.0,41.0
74,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
75,39.0,40.0,40.0,40.0,40.0,40.0,40.0,33.0,40.0
76,44.0,46.0,46.0,46.0,46.0,46.0,46.0,40.0,40.0
77,42.0,44.0,44.0,44.0,44.0,44.0,44.0,38.0,40.0
78,38.0,39.0,39.0,39.0,39.0,39.0,39.0,35.0,39.0
79,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,41.0
80,40.0,43.0,43.0,43.0,43.0,43.0,43.0,41.0,41.0
81,42.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,39.0
82,44.0,43.0,43.0,43.0,43.0,43.0,43.0,45.0,41.0
83,43.0,44.0,44.0,44.0,44.0,44.0,44.0,43.0,42.0
