Scenario,Roll 0,Roll 1,Roll 2,Roll 3
0,45.0,46.0,45.0,45.0
1,46.0,46.0,46.0,46.0
2,46.0,43.0,46.0,46.0
3,46.0,50.0,50.0,46.0
4,51.0,51.0,51.0,51.0
5,50.0,48.0,51.0,50.0
6,46.0,50.0,46.0,45.0
7,51.0,51.0,47.0,47.0
8,50.0,48.0,47.0,46.0
9,46.0,47.0,46.0,46.0
10,47.0,46.0,47.0,50.0
11,46.0,43.0,47.0,47.0
12,45.0,49.0,45.0,45.0
13,46.0,50.0,46.0,50.0
14,46.0,46.0,50.0,47.0
15,45.0,46.0,45.0,45.0
16,46.0,48.0,46.0,47.0
17,46.0,47.0,47.0,47.0
18,46.0,50.0,50.0,46.0
19,51.0,51.0,51.0,51.0
20,50.0,51.0,51.0,50.0
21,46.0,50.0,50.0,46.0
22,51.0,51.0,51.0,51.0
23,50.0,51.0,51.0,50.0
24,47.0,50.0,51.0,47.0
25,52.0,51.0,52.0,52.0
26,51.0,48.0,52.0,51.0
27,46.0,50.0,50.0,46.0
28,51.0,51.0,51.0,51.0
29,51.0,51.0,52.0,51.0
30,46.0,50.0,50.0,46.0
31,51.0,51.0,51.0,51.0
32,51.0,51.0,52.0,51.0
33,46.0,50.0,46.0,44.0
34,51.0,51.0,47.0,47.0
35,50.0,51.0,47.0,46.0
36,47.0,50.0,47.0,46.0
37,52.0,51.0,48.0,50.0
38,51.0,48.0,48.0,47.0
39,46.0,50.0,46.0,46.0
40,51.0,51.0,47.0,50.0
41,51.0,51.0,50.0,47.0
42,46.0,50.0,46.0,44.0
43,51.0,51.0,47.0,47.0
44,51.0,51.0,48.0,47.0
45,46.0,47.0,44.0,45.0
46,46.0,47.0,46.0,51.0
47,47.0,43.0,47.0,47.0
48,45.0,50.0,45.0,45.0
49,46.0,51.0,46.0,51.0
50,47.0,47.0,51.0,50.0
51,45.0,47.0,44.0,45.0
52,46.0,48.0,46.0,50.0
53,47.0,47.0,47.0,50.0
54,44.0,49.0,44.0,44.0
55,45.0,50.0,45.0,50.0
56,46.0,50.0,50.0,50.0
57,45.0,49.0,44.0,44.0
58,45.0,50.0,45.0,50.0
59,46.0,50.0,50.0,50.0
60,45.0,46.0,40.0,44.0
61,45.0,47.0,45.0,45.0
62,46.0,48.0,46.0,47.0
63,45.0,49.0,48.0,45.0
64,50.0,50.0,49.0,50.0
65,49.0,50.0,51.0,49.0
66,45.0,49.0,49.0,45.0
67,50.0,50.0,50.0,50.0
68,49.0,50.0,51.0,49.0
69,46.0,49.0,50.0,46.0
70,51.0,50.0,51.0,51.0
71,50.0,48.0,52.0,50.0
72,45.0,49.0,49.0,45.0
73,50.0,50.0,50.0,50.0
74,51.0,51.0,51.0,51.0
75,45.0,49.0,49.0,45.0
76,50.0,50.0,50.0,50.0
77,51.0,51.0,51.0,51.0
78,46.0,49.0,45.0,46.0
79,50.0,50.0,46.0,46.0
80,49.0,50.0,51.0,47.0
81,46.0,49.0,46.0,46.0
82,51.0,50.0,47.0,49.0
83,50.0,48.0,52.0,47.0
84,45.0,49.0,48.0,45.0
85,50.0,50.0,49.0,49.0
86,51.0,51.0,51.0,51.0
87,45.0,49.0,45.0,45.0
88,50.0,50.0,46.0,46.0
89,51.0,51.0,51.0,51.0
90,46.0,47.0,46.0,46.0
91,48.0,48.0,47.0,50.0
92,48.0,48.0,52.0,48.0
93,46.0,49.0,48.0,46.0
94,47.0,50.0,50.0,50.0
95,52.0,51.0,52.0,52.0
96,46.0,46.0,46.0,46.0
97,47.0,47.0,46.0,49.0
98,52.0,51.0,52.0,52.0
99,45.0,48.0,47.0,45.0
100,46.0,49.0,49.0,49.0
101,51.0,51.0,51.0,51.0
102,45.0,48.0,48.0,45.0
103,47.0,49.0,49.0,49.0
104,51.0,51.0,51.0,51.0
105,45.0,46.0,45.0,45.0
106,46.0,47.0,45.0,46.0
107,51.0,51.0,51.0,51.0
108,46.0,46.0,41.0,42.0
109,46.0,46.0,41.0,42.0
110,47.0,47.0,47.0,45.0
111,46.0,47.0,45.0,45.0
112,47.0,47.0,45.0,45.0
113,47.0,48.0,48.0,46.0
114,45.0,48.0,44.0,45.0
115,47.0,49.0,45.0,45.0
116,51.0,51.0,50.0,47.0
117,45.0,46.0,41.0,41.0
118,46.0,47.0,41.0,42.0
119,51.0,51.0,47.0,47.0
120,46.0,47.0,45.0,45.0
121,48.0,48.0,46.0,46.0
122,48.0,48.0,48.0,47.0
123,46.0,49.0,45.0,45.0
124,47.0,50.0,46.0,46.0
125,52.0,51.0,51.0,50.0
126,46.0,46.0,44.0,44.0
127,47.0,48.0,45.0,45.0
128,52.0,51.0,48.0,50.0
