Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
0,44.0,44.0,44.0,46.0,50.0,51.0,45.0,45.0
1,41.0,41.0,44.0,48.0,49.0,48.0,48.0,47.0
2,45.0,45.0,48.0,51.0,50.0,51.0,47.0,51.0
3,45.0,45.0,47.0,46.0,51.0,51.0,45.0,46.0
4,46.0,46.0,46.0,48.0,49.0,48.0,48.0,48.0
5,50.0,50.0,47.0,51.0,50.0,51.0,47.0,52.0
6,46.0,46.0,48.0,45.0,52.0,52.0,46.0,45.0
7,45.0,45.0,47.0,49.0,48.0,49.0,48.0,47.0
8,50.0,50.0,48.0,51.0,50.0,51.0,48.0,51.0
9,48.0,48.0,47.0,49.0,46.0,47.0,46.0,48.0
10,49.0,49.0,51.0,54.0,46.0,47.0,49.0,49.0
11,52.0,52.0,49.0,54.0,50.0,51.0,48.0,54.0
12,47.0,47.0,47.0,48.0,46.0,46.0,46.0,47.0
13,48.0,48.0,51.0,53.0,47.0,47.0,49.0,49.0
14,51.0,51.0,49.0,53.0,49.0,50.0,48.0,53.0
15,44.0,44.0,46.0,45.0,45.0,46.0,46.0,40.0
16,41.0,41.0,46.0,47.0,47.0,48.0,46.0,42.0
17,45.0,45.0,46.0,51.0,49.0,49.0,48.0,45.0
18,47.0,47.0,47.0,45.0,51.0,50.0,46.0,46.0
19,48.0,48.0,47.0,48.0,49.0,48.0,47.0,48.0
20,49.0,49.0,51.0,50.0,51.0,51.0,52.0,52.0
21,46.0,46.0,48.0,45.0,52.0,51.0,47.0,45.0
22,49.0,49.0,48.0,49.0,50.0,49.0,48.0,49.0
23,50.0,50.0,52.0,51.0,52.0,51.0,53.0,51.0
24,48.0,48.0,48.0,49.0,47.0,47.0,50.0,48.0
25,54.0,54.0,50.0,54.0,46.0,47.0,51.0,54.0
26,54.0,54.0,48.0,53.0,50.0,51.0,52.0,54.0
27,47.0,47.0,48.0,48.0,47.0,46.0,50.0,47.0
28,53.0,53.0,50.0,53.0,46.0,47.0,50.0,53.0
29,53.0,53.0,48.0,52.0,49.0,50.0,52.0,53.0
30,44.0,44.0,46.0,45.0,48.0,46.0,46.0,44.0
31,46.0,46.0,45.0,48.0,47.0,48.0,46.0,46.0
32,50.0,50.0,46.0,51.0,50.0,49.0,48.0,50.0
33,45.0,45.0,49.0,44.0,50.0,47.0,45.0,43.0
34,49.0,49.0,49.0,49.0,49.0,48.0,45.0,48.0
35,50.0,50.0,53.0,49.0,51.0,49.0,51.0,49.0
36,48.0,48.0,49.0,49.0,48.0,47.0,48.0,47.0
37,54.0,54.0,49.0,53.0,46.0,47.0,52.0,53.0
38,54.0,54.0,49.0,53.0,50.0,51.0,53.0,53.0
39,47.0,47.0,49.0,48.0,48.0,46.0,48.0,46.0
40,53.0,53.0,49.0,52.0,47.0,47.0,51.0,52.0
41,53.0,53.0,49.0,52.0,50.0,50.0,53.0,52.0
42,44.0,44.0,47.0,45.0,48.0,46.0,44.0,43.0
43,46.0,46.0,46.0,49.0,48.0,48.0,46.0,45.0
44,49.0,49.0,47.0,50.0,51.0,50.0,47.0,49.0
45,50.0,50.0,48.0,55.0,49.0,50.0,52.0,49.0
46,47.0,47.0,49.0,52.0,46.0,46.0,54.0,47.0
47,51.0,51.0,50.0,55.0,50.0,51.0,49.0,52.0
48,49.0,49.0,48.0,54.0,49.0,49.0,52.0,49.0
49,48.0,48.0,49.0,53.0,49.0,50.0,54.0,47.0
50,51.0,51.0,50.0,54.0,49.0,50.0,49.0,51.0
51,48.0,48.0,48.0,50.0,46.0,46.0,47.0,46.0
52,48.0,48.0,49.0,52.0,50.0,51.0,53.0,48.0
53,51.0,51.0,51.0,55.0,49.0,49.0,49.0,51.0
54,48.0,48.0,47.0,53.0,48.0,48.0,51.0,48.0
55,47.0,47.0,48.0,52.0,49.0,50.0,53.0,46.0
56,50.0,50.0,50.0,53.0,48.0,49.0,48.0,50.0
57,48.0,48.0,48.0,49.0,45.0,45.0,47.0,45.0
58,48.0,48.0,48.0,53.0,50.0,51.0,52.0,47.0
59,51.0,51.0,51.0,54.0,48.0,49.0,49.0,51.0
60,45.0,45.0,43.0,44.0,46.0,46.0,44.0,39.0
61,41.0,41.0,45.0,46.0,47.0,47.0,46.0,41.0
62,45.0,45.0,47.0,50.0,49.0,50.0,46.0,45.0
63,46.0,46.0,46.0,44.0,50.0,49.0,46.0,45.0
64,48.0,48.0,46.0,47.0,48.0,48.0,46.0,48.0
65,48.0,48.0,50.0,49.0,51.0,50.0,52.0,51.0
66,46.0,46.0,47.0,44.0,51.0,50.0,47.0,44.0
67,49.0,49.0,47.0,48.0,49.0,49.0,47.0,49.0
68,49.0,49.0,51.0,50.0,52.0,50.0,53.0,50.0
69,48.0,48.0,47.0,48.0,51.0,46.0,50.0,48.0
70,54.0,54.0,49.0,53.0,47.0,46.0,51.0,54.0
71,53.0,53.0,52.0,52.0,51.0,50.0,53.0,53.0
72,47.0,47.0,47.0,47.0,50.0,45.0,50.0,47.0
73,53.0,53.0,49.0,52.0,47.0,47.0,50.0,53.0
74,52.0,52.0,52.0,51.0,50.0,49.0,53.0,52.0
75,44.0,44.0,45.0,44.0,48.0,45.0,45.0,44.0
76,46.0,46.0,44.0,48.0,48.0,48.0,45.0,46.0
77,49.0,49.0,46.0,50.0,51.0,49.0,47.0,49.0
78,45.0,45.0,48.0,43.0,49.0,46.0,45.0,44.0
79,49.0,49.0,48.0,49.0,49.0,47.0,45.0,48.0
80,49.0,49.0,52.0,48.0,51.0,49.0,51.0,49.0
81,49.0,49.0,48.0,48.0,52.0,46.0,48.0,49.0
82,54.0,54.0,48.0,53.0,48.0,46.0,52.0,53.0
83,53.0,53.0,53.0,52.0,52.0,50.0,54.0,52.0
84,48.0,48.0,48.0,47.0,51.0,45.0,48.0,48.0
85,53.0,53.0,48.0,52.0,48.0,46.0,51.0,52.0
86,52.0,52.0,53.0,51.0,51.0,49.0,54.0,51.0
87,45.0,45.0,46.0,44.0,47.0,45.0,44.0,45.0
88,46.0,46.0,45.0,49.0,49.0,47.0,46.0,46.0
89,50.0,50.0,47.0,49.0,52.0,50.0,48.0,50.0
90,54.0,54.0,48.0,55.0,49.0,50.0,52.0,54.0
91,51.0,51.0,54.0,52.0,45.0,46.0,54.0,51.0
92,55.0,55.0,52.0,54.0,50.0,51.0,49.0,55.0
93,54.0,54.0,48.0,54.0,49.0,49.0,52.0,54.0
94,51.0,51.0,54.0,53.0,49.0,50.0,54.0,51.0
95,54.0,54.0,52.0,53.0,49.0,50.0,49.0,54.0
96,50.0,50.0,47.0,49.0,50.0,46.0,47.0,50.0
97,52.0,52.0,49.0,52.0,50.0,51.0,53.0,52.0
98,55.0,55.0,50.0,54.0,50.0,49.0,49.0,55.0
99,53.0,53.0,47.0,53.0,48.0,48.0,51.0,53.0
100,50.0,50.0,53.0,52.0,49.0,50.0,53.0,50.0
101,53.0,53.0,51.0,52.0,48.0,49.0,48.0,53.0
102,49.0,49.0,47.0,48.0,49.0,45.0,46.0,49.0
103,51.0,51.0,48.0,53.0,50.0,51.0,52.0,51.0
104,54.0,54.0,50.0,53.0,49.0,49.0,48.0,54.0
105,44.0,44.0,42.0,44.0,47.0,45.0,44.0,44.0
106,46.0,46.0,44.0,46.0,47.0,47.0,46.0,46.0
107,50.0,50.0,46.0,49.0,49.0,50.0,46.0,50.0
108,44.0,44.0,43.0,43.0,48.0,45.0,40.0,42.0
109,45.0,45.0,42.0,44.0,48.0,46.0,40.0,44.0
110,49.0,49.0,47.0,49.0,49.0,46.0,46.0,48.0
