Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
0,45.0,46.0,46.0,48.0,48.0,48.0,49.0
1,40.0,46.0,47.0,49.0,49.0,49.0,49.0
2,45.0,49.0,49.0,51.0,51.0,49.0,49.0
3,45.0,47.0,48.0,48.0,47.0,48.0,48.0
4,44.0,48.0,49.0,49.0,48.0,49.0,49.0
5,48.0,49.0,50.0,52.0,52.0,50.0,50.0
6,45.0,45.0,49.0,49.0,46.0,48.0,49.0
7,45.0,46.0,50.0,50.0,47.0,48.0,50.0
8,49.0,50.0,51.0,51.0,51.0,51.0,51.0
9,51.0,48.0,48.0,50.0,50.0,48.0,49.0
10,46.0,50.0,50.0,50.0,50.0,50.0,50.0
11,51.0,49.0,49.0,50.0,50.0,48.0,48.0
12,50.0,47.0,47.0,49.0,49.0,47.0,48.0
13,45.0,49.0,49.0,49.0,49.0,49.0,49.0
14,50.0,48.0,48.0,49.0,49.0,49.0,49.0
15,45.0,45.0,46.0,46.0,46.0,47.0,48.0
16,41.0,46.0,46.0,46.0,46.0,47.0,46.0
17,46.0,47.0,47.0,48.0,48.0,48.0,48.0
18,44.0,48.0,49.0,49.0,48.0,47.0,49.0
19,44.0,49.0,50.0,50.0,49.0,49.0,50.0
20,47.0,50.0,51.0,51.0,51.0,50.0,51.0
21,45.0,49.0,49.0,49.0,49.0,48.0,50.0
22,45.0,50.0,50.0,50.0,50.0,50.0,50.0
23,48.0,51.0,52.0,52.0,51.0,51.0,52.0
24,50.0,49.0,49.0,49.0,49.0,48.0,50.0
25,49.0,51.0,51.0,51.0,51.0,50.0,51.0
26,51.0,50.0,50.0,50.0,50.0,52.0,52.0
27,49.0,48.0,48.0,48.0,48.0,47.0,49.0
28,48.0,50.0,50.0,50.0,50.0,49.0,50.0
29,50.0,50.0,50.0,50.0,50.0,51.0,51.0
30,45.0,48.0,48.0,48.0,48.0,48.0,48.0
31,44.0,50.0,50.0,50.0,50.0,49.0,49.0
32,49.0,50.0,50.0,50.0,50.0,50.0,50.0
33,45.0,45.0,46.0,46.0,45.0,48.0,49.0
34,45.0,46.0,47.0,47.0,46.0,50.0,51.0
35,48.0,50.0,51.0,51.0,50.0,51.0,52.0
36,51.0,48.0,48.0,48.0,48.0,48.0,51.0
37,50.0,50.0,50.0,50.0,50.0,50.0,51.0
38,52.0,51.0,51.0,51.0,51.0,53.0,53.0
39,50.0,47.0,47.0,47.0,47.0,47.0,50.0
40,49.0,49.0,49.0,49.0,49.0,49.0,50.0
41,51.0,51.0,51.0,51.0,51.0,52.0,52.0
42,45.0,45.0,46.0,46.0,45.0,47.0,49.0
43,45.0,46.0,46.0,46.0,46.0,47.0,50.0
44,50.0,51.0,51.0,51.0,51.0,51.0,51.0
45,53.0,49.0,49.0,49.0,49.0,50.0,50.0
46,47.0,51.0,51.0,51.0,51.0,52.0,52.0
47,52.0,47.0,47.0,49.0,49.0,47.0,48.0
48,53.0,49.0,49.0,49.0,49.0,49.0,49.0
49,47.0,51.0,51.0,51.0,51.0,51.0,51.0
50,52.0,50.0,50.0,50.0,50.0,51.0,48.0
51,50.0,50.0,50.0,50.0,50.0,50.0,48.0
52,47.0,51.0,51.0,51.0,51.0,50.0,50.0
53,52.0,51.0,51.0,51.0,51.0,52.0,47.0
54,52.0,48.0,48.0,48.0,48.0,48.0,48.0
55,46.0,50.0,50.0,50.0,50.0,50.0,50.0
56,51.0,49.0,49.0,49.0,49.0,50.0,47.0
57,49.0,49.0,49.0,49.0,49.0,49.0,47.0
58,46.0,50.0,50.0,50.0,50.0,49.0,49.0
59,51.0,50.0,50.0,50.0,50.0,51.0,47.0
60,45.0,45.0,45.0,45.0,45.0,45.0,46.0
61,42.0,46.0,46.0,46.0,46.0,46.0,46.0
62,46.0,46.0,46.0,46.0,46.0,47.0,46.0
63,43.0,47.0,48.0,48.0,47.0,46.0,48.0
64,43.0,48.0,49.0,49.0,48.0,48.0,49.0
65,46.0,49.0,50.0,50.0,50.0,49.0,50.0
66,44.0,48.0,48.0,48.0,48.0,47.0,49.0
67,44.0,49.0,49.0,49.0,49.0,49.0,49.0
68,47.0,50.0,51.0,51.0,50.0,50.0,51.0
69,49.0,48.0,48.0,48.0,48.0,47.0,49.0
70,48.0,50.0,50.0,50.0,50.0,49.0,50.0
71,50.0,49.0,49.0,49.0,49.0,51.0,51.0
72,48.0,47.0,47.0,47.0,47.0,46.0,48.0
