Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
0,49.0,47.0,52.0,52.0,52.0,50.0,50.0,47.0,50.0,50.0
1,53.0,48.0,48.0,48.0,48.0,49.0,49.0,47.0,49.0,50.0
2,51.0,47.0,50.0,50.0,50.0,51.0,50.0,47.0,51.0,50.0
3,50.0,49.0,54.0,54.0,54.0,52.0,52.0,47.0,50.0,50.0
4,52.0,50.0,48.0,48.0,48.0,52.0,52.0,47.0,49.0,50.0
5,52.0,48.0,54.0,54.0,54.0,54.0,54.0,49.0,53.0,51.0
6,49.0,50.0,52.0,52.0,52.0,47.0,47.0,47.0,47.0,49.0
7,51.0,50.0,49.0,49.0,49.0,49.0,49.0,48.0,49.0,49.0
8,53.0,47.0,50.0,50.0,50.0,51.0,50.0,50.0,51.0,49.0
9,49.0,48.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,50.0
10,53.0,49.0,48.0,48.0,48.0,52.0,52.0,49.0,52.0,50.0
11,50.0,48.0,50.0,50.0,50.0,54.0,54.0,49.0,54.0,51.0
12,50.0,49.0,51.0,51.0,51.0,50.0,50.0,49.0,50.0,51.0
13,52.0,50.0,53.0,53.0,53.0,52.0,52.0,51.0,52.0,51.0
14,53.0,48.0,51.0,51.0,51.0,54.0,54.0,50.0,54.0,51.0
15,51.0,50.0,50.0,50.0,50.0,51.0,51.0,47.0,51.0,50.0
16,51.0,49.0,52.0,52.0,52.0,50.0,50.0,50.0,50.0,52.0
17,53.0,48.0,52.0,52.0,52.0,52.0,52.0,51.0,52.0,52.0
18,49.0,49.0,54.0,54.0,54.0,51.0,51.0,49.0,49.0,51.0
19,51.0,50.0,48.0,48.0,48.0,51.0,51.0,49.0,49.0,49.0
20,53.0,49.0,54.0,54.0,54.0,54.0,53.0,49.0,53.0,51.0
21,48.0,50.0,52.0,52.0,52.0,52.0,52.0,49.0,47.0,51.0
22,50.0,50.0,49.0,49.0,49.0,51.0,51.0,49.0,49.0,49.0
23,53.0,50.0,50.0,50.0,50.0,54.0,53.0,49.0,53.0,51.0
24,49.0,50.0,50.0,50.0,50.0,52.0,52.0,48.0,49.0,52.0
25,52.0,52.0,48.0,48.0,48.0,54.0,54.0,48.0,51.0,51.0
26,51.0,49.0,50.0,50.0,50.0,54.0,54.0,51.0,54.0,52.0
27,49.0,50.0,52.0,52.0,52.0,52.0,52.0,49.0,50.0,52.0
28,51.0,53.0,53.0,53.0,53.0,54.0,54.0,50.0,51.0,51.0
29,52.0,50.0,52.0,52.0,52.0,54.0,54.0,51.0,54.0,53.0
30,50.0,50.0,53.0,53.0,53.0,53.0,53.0,50.0,51.0,51.0
31,50.0,50.0,52.0,52.0,52.0,52.0,52.0,49.0,49.0,52.0
32,52.0,51.0,53.0,53.0,53.0,53.0,54.0,50.0,52.0,54.0
33,47.0,48.0,48.0,48.0,48.0,46.0,46.0,47.0,46.0,48.0
34,49.0,50.0,45.0,45.0,45.0,48.0,48.0,46.0,48.0,47.0
35,51.0,50.0,50.0,50.0,50.0,50.0,50.0,49.0,50.0,47.0
36,48.0,51.0,49.0,49.0,49.0,49.0,49.0,48.0,49.0,50.0
37,51.0,52.0,48.0,48.0,48.0,50.0,50.0,48.0,50.0,49.0
