Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
0,57.0,55.0,58.0,58.0,58.0,58.0,55.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
1,62.0,57.0,53.0,57.0,58.0,58.0,57.0,57.0,53.0,57.0,53.0,57.0,57.0,53.0,57.0,53.0
2,61.0,57.0,56.0,56.0,55.0,55.0,57.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
3,58.0,56.0,57.0,58.0,57.0,57.0,56.0,58.0,57.0,58.0,57.0,57.0,58.0,57.0,57.0,58.0
4,63.0,61.0,58.0,57.0,62.0,62.0,61.0,57.0,58.0,57.0,58.0,57.0,57.0,58.0,57.0,58.0
5,61.0,60.0,58.0,58.0,59.0,59.0,60.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
6,57.0,55.0,57.0,57.0,57.0,57.0,55.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
7,62.0,57.0,59.0,58.0,63.0,63.0,57.0,58.0,59.0,58.0,59.0,56.0,58.0,59.0,56.0,59.0
8,59.0,57.0,58.0,58.0,58.0,58.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
9,58.0,62.0,57.0,57.0,58.0,58.0,62.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
10,64.0,62.0,59.0,59.0,55.0,55.0,62.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
11,61.0,61.0,56.0,56.0,55.0,55.0,61.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
12,58.0,62.0,58.0,57.0,57.0,57.0,62.0,57.0,58.0,57.0,58.0,57.0,57.0,58.0,57.0,58.0
13,63.0,61.0,63.0,63.0,54.0,54.0,61.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
14,63.0,61.0,58.0,59.0,59.0,59.0,61.0,59.0,58.0,59.0,58.0,58.0,59.0,58.0,58.0,59.0
15,58.0,59.0,57.0,57.0,57.0,57.0,59.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
