Move,Piece,Rotation,Flip,Row,Col
0,Piece.THREE_H_JUNCTION,Rotation.R270,False,5,6
0,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,6
0,Piece.HIGHWAY_CORNER,Rotation.R180,False,3,6
0,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
0,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,5
1,Piece.CORNER_JUNCTION,Rotation.I,False,5,5
1,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,4
1,Piece.RAILWAY_STRAIGHT,Rotation.I,False,0,0
1,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,5
1,Piece.STRAIGHT_STATION,Rotation.I,False,6,5
2,Piece.THREE_H_JUNCTION,Rotation.R270,False,5,5
2,Piece.STRAIGHT_STATION,Rotation.R180,False,6,4
2,Piece.RAILWAY_STRAIGHT,Rotation.I,False,0,0
2,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,5
2,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,5
3,Piece.RAILWAY_STRAIGHT,Rotation.I,False,0,2
3,Piece.THREE_H_JUNCTION,Rotation.R270,False,5,5
3,Piece.STRAIGHT_STATION,Rotation.R180,False,0,0
3,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,5
3,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,5
4,Piece.THREE_H_JUNCTION,Rotation.R270,False,5,6
4,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,6
4,Piece.HIGHWAY_CORNER,Rotation.R180,False,3,6
4,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
4,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,4,6
5,Piece.STRAIGHT_STATION,Rotation.R180,False,0,2
5,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,6
5,Piece.THREE_H_JUNCTION,Rotation.R270,False,5,5
5,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,5
5,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,5
6,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,6
6,Piece.CORNER_JUNCTION,Rotation.I,False,5,5
6,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,4
6,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,5
6,Piece.STRAIGHT_STATION,Rotation.I,False,6,5
7,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,6
7,Piece.THREE_H_JUNCTION,Rotation.R270,False,5,5
7,Piece.STRAIGHT_STATION,Rotation.R180,False,6,4
7,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,5
7,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,5
8,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,6
8,Piece.THREE_H_JUNCTION,Rotation.R180,False,5,5
8,Piece.HIGHWAY_CORNER,Rotation.R180,False,3,6
8,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
8,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,4,6
9,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,6
9,Piece.HIGHWAY_JUNCTION,Rotation.I,False,5,5
9,Piece.HIGHWAY_CORNER,Rotation.R180,False,3,6
9,Piece.STRAIGHT_STATION,Rotation.R180,False,0,5
9,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,4,6
10,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,6
10,Piece.CORNER_JUNCTION,Rotation.I,False,5,5
10,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,4,5
10,Piece.STRAIGHT_STATION,Rotation.I,False,6,5
10,Piece.HIGHWAY_CORNER,Rotation.R180,False,3,5
11,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,6,2
11,Piece.THREE_H_JUNCTION,Rotation.R270,False,5,5
11,Piece.STRAIGHT_STATION,Rotation.R180,False,0,0
11,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,5
11,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,5
12,Piece.THREE_H_JUNCTION,Rotation.R270,False,5,5
12,Piece.RAILWAY_STRAIGHT,Rotation.I,False,0,0
12,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,5
12,Piece.STRAIGHT_STATION,Rotation.R90,False,5,2
12,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,5
13,Piece.STRAIGHT_STATION,Rotation.R90,False,6,2
13,Piece.THREE_H_JUNCTION,Rotation.R270,False,5,5
13,Piece.RAILWAY_STRAIGHT,Rotation.I,False,0,0
13,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,5
13,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,5
14,Piece.THREE_H_JUNCTION,Rotation.R270,False,5,5
14,Piece.STRAIGHT_STATION,Rotation.R180,False,0,0
14,Piece.HIGHWAY_CORNER,Rotation.R180,False,4,5
14,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,2
14,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,5
15,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,6
15,Piece.HIGHWAY_JUNCTION,Rotation.I,False,3,6
15,Piece.STRAIGHT_STATION,Rotation.R180,False,6,4
15,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,5
15,Piece.HIGHWAY_CORNER,Rotation.I,False,4,6
