Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
0,53.0,48.0,48.0,48.0,52.0,47.0,47.0,47.0,53.0,53.0,54.0,45.0,46.0,45.0
1,48.0,48.0,48.0,48.0,54.0,51.0,51.0,51.0,50.0,50.0,56.0,47.0,47.0,47.0
2,48.0,52.0,52.0,52.0,50.0,52.0,52.0,52.0,53.0,53.0,53.0,49.0,50.0,49.0
3,53.0,51.0,51.0,51.0,52.0,49.0,49.0,49.0,53.0,53.0,54.0,49.0,50.0,49.0
4,48.0,51.0,51.0,51.0,54.0,51.0,51.0,51.0,50.0,50.0,56.0,50.0,50.0,50.0
5,51.0,53.0,53.0,53.0,54.0,54.0,54.0,54.0,54.0,54.0,56.0,50.0,51.0,50.0
6,53.0,50.0,50.0,50.0,52.0,49.0,49.0,49.0,53.0,53.0,54.0,49.0,49.0,49.0
7,48.0,51.0,51.0,51.0,54.0,51.0,51.0,51.0,50.0,50.0,56.0,50.0,50.0,50.0
8,48.0,52.0,52.0,52.0,50.0,54.0,54.0,54.0,53.0,53.0,56.0,50.0,51.0,50.0
9,53.0,53.0,53.0,53.0,53.0,54.0,54.0,54.0,51.0,52.0,55.0,50.0,51.0,50.0
10,48.0,53.0,53.0,53.0,54.0,56.0,56.0,56.0,49.0,50.0,56.0,51.0,52.0,51.0
11,48.0,53.0,53.0,53.0,51.0,53.0,53.0,53.0,53.0,53.0,53.0,50.0,51.0,50.0
12,53.0,52.0,52.0,52.0,54.0,54.0,54.0,54.0,54.0,54.0,55.0,49.0,50.0,49.0
13,54.0,56.0,56.0,56.0,54.0,56.0,56.0,56.0,53.0,53.0,56.0,55.0,55.0,55.0
14,54.0,53.0,53.0,53.0,54.0,53.0,53.0,53.0,54.0,54.0,57.0,51.0,52.0,51.0
15,53.0,50.0,50.0,50.0,53.0,48.0,48.0,48.0,53.0,53.0,54.0,47.0,48.0,47.0
16,54.0,52.0,52.0,52.0,54.0,52.0,52.0,52.0,54.0,54.0,56.0,51.0,51.0,51.0
17,54.0,51.0,51.0,52.0,55.0,52.0,51.0,51.0,54.0,54.0,57.0,50.0,51.0,50.0
18,52.0,54.0,54.0,54.0,52.0,49.0,49.0,49.0,53.0,53.0,54.0,53.0,53.0,53.0
19,47.0,52.0,52.0,52.0,53.0,51.0,51.0,51.0,50.0,50.0,56.0,51.0,51.0,51.0
20,51.0,53.0,53.0,53.0,54.0,54.0,54.0,54.0,54.0,54.0,56.0,52.0,52.0,52.0
21,53.0,54.0,54.0,54.0,52.0,49.0,49.0,49.0,53.0,53.0,54.0,53.0,53.0,53.0
22,48.0,52.0,52.0,52.0,54.0,52.0,52.0,52.0,50.0,50.0,56.0,51.0,51.0,51.0
