Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
0,43.0,43.0,46.0,46.0,40.0
1,39.0,39.0,43.0,43.0,42.0
2,39.0,39.0,42.0,42.0,41.0
3,47.0,47.0,45.0,45.0,41.0
4,43.0,43.0,42.0,42.0,45.0
5,43.0,43.0,42.0,42.0,44.0
6,48.0,48.0,46.0,46.0,42.0
7,44.0,44.0,43.0,43.0,46.0
8,44.0,44.0,43.0,43.0,45.0
9,42.0,42.0,38.0,38.0,43.0
10,39.0,39.0,42.0,42.0,42.0
11,39.0,39.0,42.0,42.0,41.0
12,47.0,47.0,38.0,38.0,42.0
13,41.0,41.0,42.0,42.0,44.0
14,41.0,41.0,42.0,42.0,42.0
15,47.0,47.0,39.0,39.0,42.0
16,41.0,41.0,43.0,43.0,44.0
17,41.0,41.0,42.0,42.0,42.0
18,46.0,46.0,45.0,45.0,40.0
19,42.0,42.0,41.0,41.0,44.0
20,43.0,43.0,42.0,42.0,44.0
21,47.0,47.0,46.0,46.0,41.0
22,43.0,43.0,42.0,42.0,45.0
23,44.0,44.0,42.0,42.0,45.0
24,42.0,42.0,37.0,37.0,42.0
25,40.0,40.0,42.0,42.0,44.0
26,40.0,40.0,42.0,42.0,43.0
27,46.0,46.0,37.0,37.0,41.0
28,40.0,40.0,42.0,42.0,44.0
29,45.0,45.0,42.0,42.0,43.0
30,46.0,46.0,38.0,38.0,41.0
31,40.0,40.0,42.0,42.0,43.0
32,45.0,45.0,42.0,42.0,43.0
33,48.0,48.0,43.0,43.0,42.0
34,44.0,44.0,42.0,42.0,44.0
35,44.0,44.0,43.0,43.0,46.0
36,43.0,43.0,38.0,38.0,43.0
37,41.0,41.0,43.0,43.0,45.0
38,41.0,41.0,43.0,43.0,44.0
39,47.0,47.0,38.0,38.0,42.0
40,41.0,41.0,43.0,43.0,45.0
41,46.0,46.0,43.0,43.0,44.0
42,47.0,47.0,38.0,38.0,42.0
43,41.0,41.0,43.0,43.0,42.0
44,46.0,46.0,43.0,43.0,44.0
45,38.0,38.0,38.0,41.0,40.0
46,39.0,39.0,42.0,42.0,41.0
47,40.0,40.0,42.0,42.0,41.0
48,42.0,42.0,41.0,41.0,42.0
49,43.0,43.0,42.0,42.0,43.0
50,41.0,41.0,42.0,42.0,42.0
51,42.0,42.0,42.0,42.0,40.0
52,43.0,43.0,43.0,43.0,44.0
53,41.0,41.0,43.0,43.0,42.0
54,41.0,41.0,40.0,40.0,42.0
55,42.0,42.0,42.0,42.0,43.0
56,41.0,41.0,42.0,42.0,43.0
57,41.0,41.0,41.0,41.0,42.0
58,42.0,42.0,43.0,43.0,43.0
59,41.0,41.0,43.0,43.0,43.0
60,39.0,39.0,40.0,40.0,39.0
61,39.0,39.0,43.0,43.0,40.0
62,41.0,41.0,43.0,43.0,43.0
63,46.0,46.0,44.0,44.0,41.0
64,42.0,42.0,40.0,40.0,43.0
65,43.0,43.0,41.0,41.0,43.0
66,47.0,47.0,45.0,45.0,42.0
67,43.0,43.0,41.0,41.0,44.0
68,44.0,44.0,41.0,41.0,44.0
69,42.0,42.0,37.0,37.0,43.0
70,39.0,39.0,41.0,41.0,44.0
71,39.0,39.0,41.0,41.0,45.0
