Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
0,48.0,48.0,50.0,50.0,50.0,50.0,54.0,52.0,52.0,52.0,54.0,52.0,50.0
1,50.0,50.0,51.0,51.0,51.0,51.0,53.0,45.0,45.0,45.0,53.0,45.0,51.0
2,51.0,51.0,52.0,52.0,52.0,52.0,51.0,46.0,46.0,46.0,51.0,46.0,52.0
3,52.0,52.0,54.0,54.0,54.0,54.0,56.0,57.0,57.0,57.0,56.0,57.0,54.0
4,54.0,54.0,55.0,55.0,55.0,55.0,57.0,50.0,50.0,50.0,57.0,50.0,55.0
5,55.0,55.0,56.0,56.0,56.0,56.0,55.0,51.0,51.0,51.0,55.0,51.0,56.0
6,45.0,45.0,49.0,49.0,49.0,49.0,56.0,49.0,49.0,49.0,56.0,49.0,49.0
7,50.0,50.0,51.0,51.0,51.0,51.0,50.0,48.0,48.0,48.0,50.0,48.0,51.0
8,50.0,50.0,52.0,52.0,52.0,52.0,53.0,45.0,45.0,45.0,53.0,45.0,52.0
9,50.0,50.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,51.0
10,55.0,55.0,52.0,52.0,52.0,52.0,50.0,45.0,45.0,45.0,50.0,45.0,52.0
11,55.0,55.0,53.0,53.0,53.0,53.0,51.0,46.0,46.0,46.0,51.0,46.0,53.0
12,55.0,55.0,55.0,55.0,55.0,55.0,60.0,56.0,56.0,56.0,60.0,56.0,55.0
13,57.0,57.0,56.0,56.0,56.0,56.0,57.0,52.0,52.0,52.0,57.0,52.0,56.0
14,57.0,57.0,57.0,57.0,57.0,57.0,57.0,53.0,53.0,53.0,57.0,53.0,57.0
15,53.0,53.0,55.0,55.0,55.0,55.0,61.0,57.0,57.0,57.0,61.0,57.0,55.0
16,53.0,53.0,57.0,57.0,57.0,57.0,58.0,53.0,53.0,53.0,58.0,53.0,57.0
17,53.0,53.0,58.0,58.0,58.0,58.0,58.0,54.0,54.0,54.0,58.0,54.0,58.0
18,52.0,52.0,53.0,53.0,53.0,53.0,59.0,61.0,61.0,61.0,59.0,61.0,53.0
19,58.0,58.0,55.0,55.0,55.0,55.0,57.0,54.0,54.0,54.0,57.0,54.0,55.0
