Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
0,51.0,50.0,49.0,46.0,50.0,50.0,54.0,51.0,53.0
1,48.0,50.0,51.0,51.0,52.0,48.0,52.0,53.0,50.0
2,50.0,50.0,51.0,52.0,52.0,45.0,47.0,53.0,51.0
3,56.0,53.0,58.0,55.0,49.0,49.0,55.0,52.0,52.0
4,50.0,55.0,52.0,52.0,52.0,49.0,61.0,52.0,55.0
5,50.0,55.0,56.0,51.0,53.0,51.0,56.0,57.0,56.0
6,57.0,50.0,53.0,56.0,50.0,48.0,54.0,51.0,48.0
7,51.0,50.0,53.0,53.0,52.0,49.0,56.0,53.0,50.0
8,51.0,50.0,53.0,52.0,52.0,52.0,56.0,53.0,51.0
9,48.0,50.0,51.0,45.0,53.0,47.0,55.0,52.0,48.0
10,50.0,49.0,52.0,50.0,55.0,51.0,51.0,54.0,50.0
11,50.0,50.0,52.0,51.0,55.0,45.0,46.0,54.0,50.0
12,48.0,49.0,54.0,50.0,52.0,46.0,55.0,51.0,47.0
13,49.0,50.0,51.0,50.0,54.0,50.0,56.0,53.0,50.0
14,49.0,50.0,51.0,50.0,54.0,47.0,51.0,53.0,51.0
15,49.0,50.0,51.0,45.0,49.0,47.0,56.0,52.0,48.0
16,47.0,49.0,51.0,50.0,51.0,48.0,50.0,54.0,50.0
17,50.0,50.0,52.0,51.0,51.0,48.0,51.0,54.0,50.0
18,55.0,52.0,59.0,54.0,48.0,49.0,54.0,51.0,51.0
19,49.0,54.0,61.0,61.0,52.0,54.0,60.0,51.0,54.0
20,49.0,55.0,61.0,56.0,52.0,55.0,55.0,57.0,55.0
21,56.0,53.0,60.0,55.0,49.0,50.0,55.0,52.0,50.0
22,50.0,55.0,62.0,62.0,53.0,55.0,61.0,52.0,55.0
23,50.0,55.0,62.0,57.0,52.0,56.0,56.0,57.0,56.0
24,47.0,53.0,60.0,54.0,52.0,47.0,54.0,53.0,50.0
25,49.0,55.0,51.0,51.0,54.0,50.0,50.0,53.0,54.0
26,49.0,55.0,54.0,50.0,54.0,49.0,49.0,57.0,55.0
27,48.0,52.0,59.0,55.0,51.0,46.0,54.0,52.0,49.0
28,48.0,54.0,56.0,56.0,53.0,49.0,55.0,53.0,54.0
29,54.0,54.0,58.0,51.0,56.0,50.0,52.0,57.0,55.0
30,48.0,53.0,60.0,56.0,48.0,47.0,55.0,53.0,49.0
31,46.0,55.0,51.0,50.0,50.0,49.0,50.0,53.0,54.0
32,49.0,55.0,54.0,51.0,51.0,49.0,50.0,57.0,55.0
33,47.0,50.0,55.0,56.0,49.0,48.0,45.0,50.0,48.0
34,47.0,50.0,57.0,58.0,51.0,50.0,52.0,52.0,50.0
35,50.0,50.0,57.0,58.0,51.0,50.0,47.0,52.0,50.0
36,48.0,50.0,55.0,55.0,53.0,48.0,44.0,51.0,48.0
37,50.0,50.0,52.0,52.0,55.0,50.0,51.0,53.0,50.0
38,50.0,50.0,54.0,51.0,55.0,50.0,50.0,53.0,50.0
39,49.0,49.0,57.0,56.0,52.0,47.0,49.0,50.0,47.0
40,49.0,50.0,57.0,57.0,54.0,50.0,56.0,52.0,50.0
41,55.0,50.0,59.0,52.0,54.0,51.0,51.0,53.0,51.0
42,47.0,50.0,55.0,57.0,49.0,47.0,44.0,51.0,47.0
43,47.0,50.0,51.0,51.0,51.0,49.0,51.0,53.0,49.0
44,50.0,50.0,53.0,52.0,51.0,49.0,50.0,53.0,49.0
45,48.0,51.0,51.0,44.0,52.0,48.0,44.0,52.0,51.0
46,49.0,51.0,53.0,49.0,54.0,50.0,49.0,54.0,50.0
47,49.0,51.0,53.0,50.0,54.0,44.0,45.0,54.0,50.0
48,49.0,56.0,55.0,49.0,51.0,49.0,49.0,51.0,56.0
49,55.0,51.0,55.0,50.0,53.0,49.0,48.0,53.0,50.0
50,50.0,51.0,52.0,49.0,53.0,50.0,49.0,53.0,50.0
51,47.0,51.0,51.0,46.0,52.0,48.0,45.0,52.0,50.0
52,50.0,51.0,53.0,51.0,54.0,46.0,47.0,54.0,51.0
53,50.0,51.0,53.0,49.0,54.0,51.0,50.0,54.0,51.0
54,48.0,55.0,54.0,50.0,50.0,48.0,49.0,50.0,55.0
55,54.0,50.0,54.0,50.0,52.0,48.0,47.0,52.0,49.0
56,49.0,50.0,51.0,48.0,52.0,49.0,49.0,52.0,49.0
57,47.0,56.0,55.0,51.0,51.0,47.0,50.0,51.0,49.0
58,49.0,51.0,52.0,51.0,53.0,45.0,47.0,53.0,50.0
59,49.0,51.0,52.0,49.0,53.0,50.0,50.0,53.0,50.0
60,46.0,50.0,50.0,45.0,48.0,48.0,44.0,52.0,48.0
61,45.0,50.0,52.0,49.0,50.0,43.0,47.0,53.0,49.0
62,49.0,50.0,52.0,49.0,50.0,48.0,48.0,54.0,50.0
63,54.0,51.0,58.0,53.0,47.0,48.0,52.0,50.0,50.0
64,48.0,53.0,60.0,60.0,52.0,53.0,59.0,50.0,53.0
65,48.0,54.0,60.0,55.0,51.0,54.0,54.0,56.0,54.0
66,55.0,52.0,59.0,54.0,48.0,49.0,53.0,51.0,49.0
67,49.0,54.0,61.0,61.0,53.0,54.0,60.0,51.0,54.0
68,49.0,55.0,61.0,56.0,52.0,55.0,55.0,57.0,55.0
69,46.0,52.0,59.0,53.0,51.0,48.0,53.0,52.0,49.0
70,48.0,54.0,50.0,50.0,53.0,49.0,49.0,52.0,53.0
71,48.0,54.0,53.0,49.0,53.0,54.0,48.0,56.0,54.0
72,47.0,51.0,58.0,54.0,50.0,47.0,53.0,51.0,48.0
73,47.0,53.0,55.0,55.0,52.0,48.0,54.0,52.0,53.0
74,53.0,54.0,57.0,50.0,55.0,53.0,51.0,56.0,54.0
75,47.0,52.0,59.0,55.0,47.0,47.0,54.0,52.0,48.0
76,45.0,54.0,50.0,49.0,49.0,48.0,49.0,52.0,53.0
77,48.0,54.0,53.0,50.0,51.0,53.0,49.0,56.0,54.0
78,46.0,51.0,54.0,55.0,48.0,47.0,44.0,51.0,47.0
79,46.0,51.0,56.0,57.0,50.0,49.0,51.0,51.0,49.0
80,49.0,55.0,56.0,57.0,50.0,49.0,46.0,56.0,49.0
81,47.0,50.0,54.0,54.0,52.0,49.0,43.0,52.0,50.0
82,49.0,54.0,51.0,51.0,54.0,49.0,50.0,52.0,49.0
83,49.0,55.0,54.0,50.0,54.0,55.0,49.0,56.0,55.0
84,48.0,49.0,56.0,55.0,51.0,48.0,48.0,51.0,49.0
85,48.0,53.0,56.0,56.0,53.0,49.0,55.0,52.0,49.0
86,54.0,55.0,58.0,51.0,56.0,54.0,50.0,56.0,54.0
87,46.0,50.0,54.0,56.0,48.0,48.0,43.0,52.0,48.0
88,46.0,50.0,51.0,50.0,50.0,49.0,50.0,52.0,49.0
89,49.0,55.0,54.0,51.0,52.0,54.0,49.0,56.0,54.0
90,47.0,50.0,52.0,43.0,51.0,50.0,43.0,53.0,50.0
91,48.0,54.0,52.0,48.0,53.0,49.0,48.0,53.0,49.0
92,48.0,50.0,54.0,49.0,53.0,49.0,47.0,55.0,54.0
93,48.0,55.0,54.0,48.0,50.0,51.0,48.0,52.0,55.0
94,54.0,54.0,54.0,49.0,55.0,48.0,47.0,53.0,49.0
95,49.0,50.0,54.0,48.0,55.0,49.0,48.0,55.0,54.0
96,46.0,50.0,52.0,45.0,51.0,49.0,44.0,53.0,50.0
97,49.0,54.0,52.0,50.0,53.0,48.0,46.0,53.0,50.0
98,49.0,50.0,54.0,48.0,53.0,50.0,49.0,55.0,54.0
99,47.0,54.0,53.0,49.0,49.0,50.0,48.0,51.0,54.0
100,53.0,53.0,53.0,49.0,55.0,47.0,46.0,52.0,48.0
101,48.0,49.0,54.0,47.0,54.0,48.0,48.0,55.0,52.0
102,46.0,55.0,54.0,50.0,50.0,48.0,49.0,52.0,49.0
103,48.0,54.0,52.0,50.0,52.0,47.0,46.0,52.0,49.0
104,48.0,50.0,54.0,48.0,52.0,49.0,49.0,55.0,53.0
105,45.0,49.0,51.0,44.0,47.0,47.0,43.0,52.0,48.0
106,44.0,49.0,51.0,48.0,49.0,43.0,46.0,52.0,48.0
107,48.0,49.0,54.0,48.0,49.0,47.0,49.0,55.0,53.0
108,45.0,46.0,44.0,44.0,40.0,43.0,44.0,43.0,43.0
109,46.0,43.0,45.0,46.0,42.0,43.0,46.0,45.0,43.0
110,48.0,48.0,50.0,46.0,42.0,44.0,46.0,47.0,44.0
111,47.0,44.0,45.0,45.0,44.0,44.0,44.0,44.0,44.0
112,48.0,48.0,51.0,47.0,46.0,44.0,45.0,48.0,44.0
113,49.0,48.0,51.0,47.0,46.0,49.0,46.0,49.0,49.0
114,47.0,46.0,49.0,50.0,43.0,43.0,43.0,46.0,43.0
115,47.0,47.0,51.0,52.0,45.0,44.0,46.0,47.0,44.0
116,48.0,50.0,51.0,52.0,48.0,48.0,49.0,52.0,48.0
117,46.0,44.0,45.0,45.0,40.0,44.0,44.0,44.0,44.0
118,46.0,45.0,46.0,46.0,42.0,45.0,45.0,46.0,45.0
119,49.0,48.0,49.0,50.0,44.0,49.0,50.0,47.0,49.0
120,48.0,48.0,46.0,44.0,44.0,51.0,43.0,45.0,51.0
121,49.0,48.0,50.0,44.0,46.0,50.0,45.0,48.0,50.0
122,49.0,45.0,50.0,50.0,46.0,50.0,48.0,49.0,50.0
123,48.0,53.0,50.0,49.0,47.0,52.0,42.0,47.0,53.0
124,49.0,49.0,52.0,45.0,49.0,49.0,45.0,48.0,49.0
125,50.0,50.0,52.0,49.0,49.0,50.0,47.0,51.0,50.0
126,46.0,50.0,46.0,46.0,44.0,50.0,43.0,45.0,50.0
