Scenario,Roll 0,Roll 1,Roll 2
0,60.0,59.0,55.0
1,59.0,55.0,57.0
2,59.0,57.0,57.0
3,60.0,60.0,58.0
4,61.0,59.0,60.0
5,61.0,59.0,57.0
6,60.0,59.0,54.0
7,62.0,55.0,61.0
8,62.0,57.0,57.0
9,60.0,59.0,56.0
10,63.0,58.0,58.0
11,61.0,58.0,58.0
12,60.0,59.0,55.0
13,62.0,60.0,59.0
14,61.0,60.0,57.0
15,60.0,59.0,53.0
16,62.0,61.0,60.0
17,61.0,61.0,56.0
18,59.0,59.0,58.0
19,60.0,58.0,60.0
20,60.0,62.0,60.0
21,59.0,60.0,58.0
22,61.0,59.0,60.0
23,61.0,62.0,60.0
24,60.0,60.0,59.0
25,62.0,63.0,61.0
26,64.0,59.0,60.0
27,60.0,60.0,58.0
28,61.0,62.0,60.0
29,64.0,63.0,60.0
30,60.0,60.0,59.0
31,61.0,60.0,61.0
32,65.0,64.0,61.0
33,59.0,58.0,56.0
34,62.0,55.0,58.0
35,62.0,58.0,61.0
36,61.0,60.0,59.0
37,61.0,59.0,58.0
38,65.0,59.0,61.0
39,60.0,59.0,58.0
40,61.0,60.0,59.0
41,65.0,64.0,60.0
42,60.0,59.0,56.0
43,62.0,61.0,57.0
44,66.0,65.0,61.0
45,63.0,61.0,57.0
46,66.0,60.0,62.0
47,61.0,61.0,59.0
48,65.0,64.0,61.0
49,66.0,65.0,61.0
50,63.0,62.0,58.0
51,65.0,64.0,57.0
52,67.0,66.0,59.0
53,63.0,62.0,59.0
54,64.0,63.0,60.0
55,65.0,64.0,60.0
56,62.0,61.0,59.0
57,64.0,63.0,56.0
58,66.0,65.0,60.0
59,62.0,61.0,59.0
60,62.0,61.0,54.0
61,62.0,61.0,56.0
62,62.0,61.0,60.0
63,58.0,58.0,58.0
64,59.0,57.0,59.0
65,59.0,62.0,64.0
66,58.0,59.0,58.0
67,60.0,58.0,59.0
68,60.0,62.0,64.0
69,59.0,59.0,58.0
70,61.0,62.0,60.0
71,63.0,62.0,61.0
72,59.0,59.0,58.0
73,60.0,61.0,63.0
74,63.0,62.0,64.0
75,59.0,59.0,58.0
76,60.0,59.0,60.0
77,64.0,63.0,61.0
78,58.0,60.0,55.0
79,61.0,58.0,57.0
80,61.0,62.0,60.0
81,60.0,60.0,59.0
82,60.0,63.0,61.0
83,64.0,63.0,61.0
84,60.0,60.0,58.0
85,60.0,62.0,60.0
86,64.0,63.0,60.0
87,60.0,60.0,56.0
88,61.0,60.0,58.0
89,65.0,64.0,61.0
90,62.0,61.0,64.0
91,65.0,64.0,62.0
92,63.0,60.0,62.0
93,64.0,63.0,68.0
94,65.0,64.0,61.0
95,63.0,62.0,61.0
96,64.0,63.0,64.0
97,66.0,65.0,62.0
98,63.0,62.0,62.0
99,63.0,62.0,67.0
100,64.0,63.0,60.0
101,62.0,61.0,64.0
102,63.0,62.0,63.0
103,65.0,64.0,61.0
104,63.0,61.0,64.0
105,61.0,60.0,57.0
106,61.0,60.0,59.0
107,61.0,60.0,62.0
108,55.0,54.0,52.0
109,53.0,54.0,54.0
110,56.0,58.0,57.0
111,59.0,56.0,56.0
112,60.0,59.0,58.0
113,65.0,59.0,61.0
114,58.0,55.0,55.0
115,60.0,58.0,57.0
116,64.0,59.0,60.0
117,55.0,54.0,55.0
118,55.0,55.0,55.0
119,61.0,60.0,58.0
120,63.0,57.0,60.0
121,66.0,60.0,62.0
122,64.0,56.0,62.0
123,62.0,57.0,64.0
124,65.0,60.0,61.0
125,64.0,58.0,61.0
126,60.0,57.0,60.0
127,61.0,60.0,59.0
128,64.0,58.0,62.0
129,61.0,56.0,63.0
130,64.0,59.0,60.0
131,63.0,57.0,60.0
132,60.0,56.0,59.0
133,60.0,59.0,58.0
134,64.0,58.0,61.0
135,55.0,54.0,54.0
136,55.0,55.0,55.0
137,61.0,58.0,59.0
138,62.0,55.0,58.0
139,65.0,54.0,63.0
140,61.0,55.0,60.0
141,62.0,57.0,64.0
142,65.0,58.0,62.0
143,64.0,58.0,59.0
144,62.0,57.0,60.0
145,65.0,59.0,63.0
146,64.0,59.0,60.0
147,63.0,59.0,63.0
148,64.0,58.0,61.0
149,65.0,61.0,60.0
150,63.0,60.0,63.0
151,65.0,59.0,62.0
152,65.0,62.0,60.0
153,59.0,61.0,58.0
154,61.0,60.0,60.0
155,64.0,62.0,61.0
156,62.0,58.0,62.0
157,63.0,57.0,60.0
158,64.0,60.0,59.0
159,62.0,59.0,62.0
160,64.0,58.0,61.0
161,64.0,61.0,60.0
162,60.0,60.0,57.0
163,60.0,59.0,59.0
164,63.0,61.0,60.0
165,55.0,54.0,54.0
166,55.0,54.0,55.0
167,61.0,59.0,56.0
