Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
0,69.0,63.0,63.0,69.0,69.0,69.0,69.0,69.0,63.0,63.0,61.0,63.0
1,69.0,69.0,69.0,69.0,69.0,69.0,65.0,65.0,54.0,54.0,55.0,69.0
2,71.0,68.0,68.0,71.0,71.0,71.0,69.0,69.0,59.0,59.0,58.0,68.0
3,69.0,63.0,63.0,69.0,69.0,69.0,69.0,69.0,62.0,63.0,61.0,63.0
4,68.0,68.0,68.0,68.0,68.0,68.0,67.0,67.0,56.0,61.0,61.0,68.0
5,72.0,67.0,67.0,71.0,71.0,71.0,71.0,71.0,60.0,62.0,67.0,67.0
6,67.0,63.0,63.0,67.0,67.0,67.0,66.0,66.0,60.0,64.0,62.0,63.0
7,69.0,66.0,65.0,67.0,69.0,67.0,67.0,67.0,57.0,62.0,62.0,65.0
8,73.0,68.0,68.0,72.0,72.0,72.0,71.0,71.0,61.0,63.0,68.0,68.0
9,66.0,63.0,63.0,66.0,66.0,66.0,65.0,65.0,59.0,62.0,60.0,62.0
10,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,55.0,55.0,56.0,65.0
11,67.0,67.0,67.0,67.0,67.0,67.0,68.0,68.0,58.0,59.0,59.0,66.0
12,67.0,67.0,67.0,67.0,65.0,65.0,64.0,64.0,61.0,67.0,61.0,61.0
13,66.0,64.0,64.0,66.0,64.0,64.0,64.0,64.0,61.0,61.0,61.0,64.0
14,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,65.0,67.0,67.0,67.0
15,68.0,68.0,68.0,68.0,65.0,65.0,65.0,65.0,60.0,62.0,62.0,62.0
16,67.0,65.0,65.0,67.0,65.0,65.0,65.0,65.0,62.0,62.0,62.0,65.0
17,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,66.0,68.0,68.0,68.0
18,68.0,67.0,67.0,68.0,68.0,68.0,68.0,68.0,61.0,62.0,63.0,67.0
19,68.0,67.0,67.0,68.0,68.0,67.0,66.0,66.0,55.0,60.0,60.0,67.0
20,72.0,69.0,69.0,70.0,70.0,70.0,70.0,70.0,60.0,61.0,66.0,69.0
21,69.0,67.0,67.0,68.0,69.0,68.0,68.0,68.0,62.0,63.0,64.0,67.0
22,69.0,65.0,65.0,69.0,69.0,67.0,67.0,67.0,56.0,61.0,61.0,65.0
23,73.0,70.0,70.0,71.0,71.0,71.0,71.0,71.0,61.0,62.0,67.0,70.0
24,66.0,65.0,65.0,66.0,65.0,65.0,65.0,65.0,58.0,61.0,60.0,64.0
25,67.0,64.0,64.0,67.0,67.0,67.0,66.0,66.0,60.0,60.0,65.0,64.0
26,68.0,66.0,66.0,68.0,67.0,67.0,69.0,69.0,61.0,61.0,66.0,66.0
27,66.0,66.0,66.0,66.0,64.0,64.0,64.0,64.0,63.0,66.0,63.0,63.0
28,68.0,63.0,63.0,68.0,66.0,66.0,65.0,65.0,60.0,60.0,64.0,63.0
29,68.0,66.0,66.0,68.0,66.0,66.0,68.0,68.0,65.0,66.0,66.0,66.0
30,67.0,67.0,67.0,67.0,65.0,65.0,64.0,64.0,64.0,64.0,64.0,63.0
31,69.0,64.0,64.0,69.0,66.0,66.0,66.0,66.0,61.0,61.0,61.0,64.0
32,69.0,67.0,67.0,69.0,67.0,67.0,69.0,69.0,66.0,67.0,67.0,67.0
33,69.0,65.0,65.0,69.0,69.0,69.0,69.0,69.0,63.0,63.0,65.0,65.0
34,69.0,66.0,66.0,67.0,69.0,67.0,67.0,67.0,56.0,62.0,61.0,66.0
35,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,62.0,62.0,67.0,71.0
36,66.0,66.0,66.0,66.0,66.0,66.0,65.0,65.0,59.0,60.0,61.0,65.0
37,67.0,63.0,63.0,67.0,67.0,67.0,66.0,66.0,61.0,61.0,66.0,63.0
38,68.0,67.0,67.0,68.0,67.0,67.0,69.0,69.0,62.0,62.0,67.0,67.0
39,65.0,65.0,65.0,65.0,65.0,65.0,64.0,64.0,64.0,64.0,64.0,64.0
40,66.0,62.0,62.0,66.0,66.0,66.0,65.0,65.0,60.0,61.0,65.0,62.0
41,67.0,66.0,66.0,67.0,66.0,66.0,68.0,68.0,66.0,66.0,66.0,66.0
42,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,64.0
43,67.0,62.0,62.0,67.0,66.0,66.0,66.0,66.0,61.0,62.0,61.0,62.0
