Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
0,57.0,54.0,55.0,54.0,54.0,54.0,60.0,59.0,52.0,55.0,56.0
1,56.0,51.0,56.0,56.0,51.0,51.0,58.0,52.0,46.0,56.0,48.0
2,57.0,53.0,59.0,58.0,53.0,51.0,59.0,53.0,49.0,57.0,53.0
3,61.0,58.0,59.0,58.0,58.0,57.0,64.0,63.0,56.0,59.0,56.0
4,57.0,58.0,58.0,58.0,58.0,55.0,62.0,56.0,53.0,60.0,52.0
5,58.0,59.0,60.0,59.0,59.0,56.0,61.0,57.0,53.0,61.0,55.0
6,57.0,54.0,55.0,54.0,54.0,58.0,63.0,62.0,56.0,55.0,53.0
7,58.0,59.0,59.0,59.0,59.0,56.0,61.0,54.0,54.0,56.0,53.0
8,59.0,60.0,61.0,60.0,60.0,57.0,61.0,55.0,53.0,57.0,55.0
9,60.0,55.0,56.0,55.0,55.0,59.0,59.0,58.0,58.0,60.0,54.0
10,57.0,50.0,55.0,56.0,50.0,56.0,57.0,52.0,51.0,57.0,52.0
11,58.0,53.0,58.0,58.0,53.0,57.0,58.0,54.0,55.0,58.0,56.0
12,59.0,55.0,60.0,60.0,55.0,58.0,64.0,63.0,57.0,59.0,53.0
13,56.0,54.0,56.0,55.0,54.0,59.0,61.0,60.0,54.0,56.0,54.0
14,57.0,55.0,57.0,57.0,55.0,56.0,63.0,62.0,54.0,57.0,55.0
15,58.0,55.0,60.0,60.0,55.0,54.0,64.0,64.0,58.0,55.0,50.0
16,56.0,50.0,55.0,55.0,50.0,55.0,61.0,61.0,51.0,56.0,50.0
17,57.0,52.0,57.0,57.0,52.0,52.0,63.0,63.0,55.0,57.0,51.0
18,61.0,57.0,58.0,57.0,57.0,61.0,66.0,65.0,59.0,58.0,57.0
19,61.0,62.0,62.0,62.0,62.0,57.0,64.0,57.0,57.0,59.0,56.0
20,62.0,63.0,64.0,63.0,63.0,58.0,65.0,59.0,56.0,61.0,58.0
21,61.0,58.0,59.0,58.0,58.0,62.0,67.0,66.0,60.0,59.0,57.0
22,62.0,63.0,63.0,63.0,63.0,58.0,65.0,58.0,58.0,60.0,57.0
23,63.0,64.0,65.0,64.0,64.0,59.0,65.0,59.0,57.0,61.0,59.0
24,63.0,59.0,60.0,59.0,59.0,63.0,63.0,62.0,62.0,64.0,58.0
25,58.0,55.0,55.0,55.0,55.0,60.0,61.0,56.0,57.0,61.0,56.0
26,60.0,60.0,60.0,60.0,60.0,62.0,62.0,58.0,59.0,62.0,60.0
27,62.0,62.0,62.0,62.0,62.0,62.0,68.0,67.0,61.0,63.0,60.0
28,58.0,58.0,58.0,58.0,58.0,59.0,65.0,64.0,58.0,60.0,58.0
29,59.0,59.0,60.0,59.0,59.0,61.0,67.0,66.0,58.0,61.0,59.0
30,62.0,62.0,62.0,62.0,62.0,58.0,68.0,68.0,62.0,59.0,56.0
31,58.0,54.0,54.0,54.0,54.0,55.0,65.0,65.0,58.0,60.0,55.0
32,59.0,59.0,59.0,59.0,59.0,57.0,67.0,67.0,59.0,61.0,55.0
33,57.0,54.0,54.0,54.0,54.0,58.0,61.0,60.0,56.0,54.0,50.0
34,58.0,56.0,57.0,57.0,56.0,59.0,59.0,52.0,53.0,55.0,55.0
35,59.0,60.0,60.0,60.0,60.0,59.0,60.0,53.0,53.0,56.0,55.0
36,63.0,57.0,57.0,57.0,57.0,64.0,56.0,55.0,62.0,60.0,55.0
37,59.0,56.0,56.0,56.0,56.0,61.0,56.0,53.0,58.0,56.0,55.0
38,59.0,61.0,61.0,61.0,61.0,63.0,61.0,51.0,58.0,58.0,60.0
39,62.0,63.0,63.0,63.0,63.0,63.0,63.0,62.0,61.0,59.0,61.0
40,59.0,57.0,59.0,57.0,59.0,60.0,58.0,60.0,58.0,56.0,57.0
41,59.0,60.0,60.0,60.0,60.0,62.0,60.0,59.0,59.0,57.0,59.0
42,58.0,63.0,63.0,63.0,63.0,59.0,63.0,63.0,58.0,55.0,57.0
43,59.0,55.0,55.0,55.0,55.0,56.0,58.0,58.0,59.0,56.0,56.0
44,59.0,60.0,60.0,60.0,60.0,58.0,60.0,60.0,59.0,57.0,55.0
45,59.0,56.0,56.0,56.0,56.0,58.0,56.0,53.0,58.0,59.0,56.0
46,56.0,48.0,53.0,53.0,48.0,55.0,54.0,51.0,49.0,56.0,52.0
47,58.0,53.0,57.0,58.0,53.0,57.0,58.0,52.0,55.0,58.0,56.0
48,64.0,58.0,59.0,60.0,58.0,59.0,60.0,59.0,63.0,61.0,56.0
49,61.0,51.0,55.0,55.0,51.0,56.0,60.0,59.0,54.0,61.0,51.0
50,63.0,56.0,57.0,57.0,56.0,58.0,61.0,60.0,60.0,63.0,56.0
