Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
0,46.0,49.0,51.0,49.0,50.0,51.0
1,49.0,52.0,50.0,53.0,53.0,50.0
2,52.0,51.0,52.0,55.0,56.0,51.0
3,46.0,50.0,53.0,50.0,50.0,50.0
4,52.0,52.0,52.0,53.0,53.0,52.0
5,52.0,53.0,57.0,55.0,55.0,56.0
6,46.0,50.0,51.0,50.0,50.0,51.0
7,52.0,50.0,53.0,51.0,51.0,53.0
8,52.0,53.0,57.0,55.0,56.0,57.0
9,49.0,55.0,54.0,54.0,54.0,54.0
10,54.0,53.0,50.0,53.0,54.0,51.0
11,55.0,51.0,55.0,54.0,54.0,56.0
12,54.0,54.0,53.0,53.0,53.0,53.0
13,53.0,52.0,49.0,52.0,53.0,50.0
14,54.0,51.0,54.0,53.0,53.0,55.0
15,50.0,50.0,50.0,50.0,50.0,50.0
16,50.0,51.0,46.0,51.0,51.0,50.0
17,50.0,52.0,51.0,54.0,54.0,51.0
18,45.0,49.0,53.0,52.0,52.0,49.0
19,53.0,54.0,53.0,53.0,53.0,52.0
20,51.0,53.0,56.0,55.0,54.0,55.0
21,46.0,49.0,53.0,52.0,52.0,50.0
22,53.0,55.0,54.0,54.0,54.0,53.0
23,52.0,53.0,57.0,55.0,55.0,56.0
24,49.0,55.0,55.0,55.0,55.0,55.0
25,55.0,53.0,56.0,54.0,54.0,56.0
26,55.0,55.0,61.0,54.0,54.0,61.0
27,55.0,54.0,54.0,54.0,54.0,54.0
28,54.0,56.0,55.0,55.0,55.0,55.0
29,54.0,55.0,60.0,54.0,54.0,60.0
30,51.0,50.0,51.0,54.0,54.0,51.0
31,50.0,56.0,52.0,55.0,55.0,52.0
32,50.0,55.0,57.0,54.0,54.0,57.0
33,45.0,49.0,51.0,52.0,52.0,51.0
34,51.0,55.0,52.0,54.0,54.0,52.0
35,51.0,53.0,57.0,55.0,56.0,57.0
36,49.0,55.0,56.0,53.0,53.0,56.0
37,53.0,53.0,57.0,52.0,54.0,57.0
38,55.0,55.0,62.0,54.0,54.0,62.0
39,53.0,54.0,55.0,54.0,54.0,55.0
40,52.0,56.0,56.0,55.0,55.0,56.0
41,54.0,55.0,61.0,54.0,54.0,61.0
42,49.0,50.0,52.0,54.0,54.0,52.0
43,50.0,56.0,53.0,55.0,55.0,53.0
44,50.0,55.0,58.0,54.0,54.0,58.0
45,50.0,54.0,55.0,53.0,53.0,55.0
46,55.0,55.0,50.0,54.0,54.0,52.0
47,54.0,51.0,54.0,55.0,55.0,51.0
48,54.0,55.0,54.0,56.0,56.0,54.0
49,55.0,56.0,52.0,54.0,54.0,51.0
50,54.0,56.0,53.0,55.0,55.0,50.0
51,50.0,55.0,55.0,56.0,56.0,55.0
52,55.0,56.0,50.0,54.0,54.0,51.0
53,54.0,56.0,54.0,55.0,55.0,51.0
54,56.0,54.0,54.0,55.0,55.0,54.0
55,61.0,61.0,51.0,60.0,60.0,50.0
56,55.0,56.0,53.0,55.0,55.0,50.0
57,56.0,54.0,54.0,55.0,55.0,54.0
58,61.0,61.0,52.0,60.0,60.0,50.0
59,55.0,56.0,53.0,55.0,55.0,50.0
60,52.0,50.0,51.0,54.0,54.0,51.0
61,57.0,57.0,47.0,56.0,56.0,46.0
62,51.0,52.0,49.0,54.0,54.0,47.0
63,44.0,48.0,52.0,53.0,53.0,48.0
64,52.0,54.0,54.0,54.0,54.0,51.0
65,50.0,53.0,55.0,53.0,53.0,54.0
66,45.0,48.0,53.0,53.0,53.0,49.0
67,52.0,55.0,55.0,55.0,55.0,52.0
68,51.0,53.0,56.0,54.0,54.0,55.0
69,48.0,54.0,54.0,54.0,54.0,54.0
70,54.0,53.0,55.0,53.0,53.0,55.0
71,54.0,55.0,60.0,55.0,55.0,60.0
72,54.0,53.0,53.0,55.0,55.0,53.0
73,53.0,56.0,59.0,56.0,56.0,54.0
74,53.0,54.0,59.0,54.0,54.0,59.0
75,50.0,49.0,50.0,55.0,55.0,50.0
76,50.0,56.0,54.0,56.0,56.0,51.0
77,50.0,54.0,56.0,54.0,54.0,56.0
78,45.0,49.0,52.0,53.0,53.0,50.0
79,50.0,55.0,55.0,55.0,55.0,51.0
80,51.0,53.0,57.0,55.0,55.0,56.0
81,49.0,54.0,55.0,54.0,54.0,55.0
82,54.0,54.0,56.0,53.0,53.0,56.0
83,55.0,55.0,61.0,55.0,55.0,61.0
84,54.0,53.0,54.0,55.0,55.0,54.0
85,53.0,56.0,60.0,56.0,56.0,55.0
86,54.0,55.0,60.0,54.0,54.0,60.0
87,50.0,49.0,51.0,55.0,55.0,51.0
88,50.0,56.0,55.0,56.0,56.0,52.0
89,50.0,55.0,57.0,54.0,54.0,57.0
90,50.0,54.0,54.0,54.0,54.0,54.0
91,56.0,55.0,49.0,55.0,55.0,51.0
92,55.0,54.0,53.0,54.0,54.0,51.0
93,55.0,55.0,53.0,55.0,55.0,53.0
94,56.0,55.0,51.0,55.0,55.0,50.0
95,54.0,56.0,52.0,56.0,56.0,50.0
96,51.0,54.0,54.0,55.0,55.0,54.0
97,56.0,55.0,49.0,55.0,55.0,50.0
98,55.0,56.0,53.0,56.0,56.0,51.0
99,56.0,54.0,53.0,56.0,56.0,53.0
100,62.0,61.0,51.0,61.0,61.0,49.0
101,56.0,56.0,52.0,56.0,56.0,50.0
102,56.0,54.0,53.0,56.0,56.0,53.0
103,62.0,61.0,52.0,61.0,61.0,49.0
104,56.0,56.0,53.0,56.0,56.0,50.0
105,52.0,50.0,50.0,55.0,55.0,50.0
106,58.0,57.0,47.0,57.0,57.0,46.0
107,52.0,55.0,48.0,55.0,55.0,47.0
108,44.0,49.0,45.0,52.0,52.0,42.0
109,48.0,55.0,49.0,55.0,55.0,46.0
110,50.0,53.0,51.0,54.0,54.0,48.0
111,48.0,54.0,49.0,52.0,52.0,46.0
112,53.0,54.0,50.0,52.0,53.0,51.0
113,54.0,55.0,55.0,54.0,54.0,52.0
114,51.0,53.0,52.0,53.0,53.0,45.0
115,52.0,56.0,54.0,55.0,55.0,50.0
116,53.0,55.0,54.0,54.0,54.0,51.0
117,47.0,49.0,47.0,53.0,53.0,42.0
118,50.0,56.0,49.0,56.0,56.0,47.0
119,49.0,55.0,51.0,54.0,54.0,48.0
120,49.0,54.0,49.0,52.0,52.0,46.0
121,55.0,55.0,49.0,54.0,54.0,52.0
122,54.0,54.0,54.0,54.0,54.0,52.0
123,52.0,55.0,48.0,55.0,55.0,45.0
124,54.0,55.0,51.0,53.0,53.0,51.0
125,53.0,56.0,53.0,55.0,55.0,51.0
126,49.0,54.0,48.0,55.0,55.0,46.0
127,55.0,55.0,49.0,54.0,54.0,51.0
128,53.0,56.0,54.0,56.0,56.0,52.0
129,55.0,54.0,51.0,54.0,54.0,45.0
130,60.0,61.0,52.0,59.0,59.0,50.0
131,54.0,56.0,53.0,54.0,54.0,51.0
132,55.0,54.0,52.0,54.0,54.0,45.0
133,60.0,61.0,53.0,59.0,59.0,50.0
134,54.0,56.0,54.0,55.0,55.0,51.0
135,51.0,50.0,47.0,53.0,53.0,42.0
136,56.0,57.0,48.0,57.0,57.0,46.0
137,50.0,55.0,49.0,55.0,55.0,48.0
138,50.0,54.0,48.0,51.0,51.0,46.0
139,55.0,54.0,49.0,54.0,54.0,52.0
140,55.0,52.0,52.0,54.0,54.0,51.0
141,50.0,55.0,47.0,55.0,55.0,45.0
142,56.0,55.0,50.0,55.0,55.0,51.0
143,54.0,55.0,52.0,54.0,54.0,50.0
144,50.0,54.0,48.0,55.0,55.0,46.0
145,57.0,55.0,50.0,56.0,56.0,52.0
146,55.0,55.0,52.0,54.0,54.0,51.0
147,56.0,55.0,47.0,56.0,56.0,45.0
148,56.0,60.0,51.0,55.0,55.0,51.0
149,53.0,57.0,52.0,56.0,56.0,50.0
150,56.0,55.0,47.0,56.0,56.0,45.0
151,57.0,60.0,52.0,56.0,56.0,51.0
152,54.0,57.0,52.0,57.0,57.0,50.0
153,52.0,54.0,47.0,55.0,55.0,45.0
154,57.0,56.0,49.0,56.0,56.0,50.0
155,53.0,55.0,52.0,57.0,57.0,51.0
156,55.0,54.0,46.0,55.0,55.0,44.0
157,62.0,60.0,50.0,61.0,61.0,50.0
158,56.0,56.0,51.0,56.0,56.0,49.0
159,56.0,54.0,46.0,55.0,55.0,44.0
160,63.0,60.0,51.0,62.0,62.0,50.0
161,57.0,57.0,52.0,57.0,57.0,50.0
162,56.0,55.0,47.0,55.0,55.0,44.0
163,63.0,60.0,51.0,62.0,62.0,50.0
164,57.0,57.0,52.0,57.0,57.0,50.0
165,52.0,49.0,43.0,51.0,50.0,41.0
166,59.0,56.0,46.0,58.0,58.0,46.0
167,53.0,53.0,48.0,54.0,54.0,46.0
