Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
0,53.0,53.0,61.0,61.0,63.0,63.0,53.0,53.0,63.0,63.0,63.0,61.0,63.0,63.0,63.0,60.0
1,56.0,57.0,57.0,57.0,60.0,60.0,57.0,56.0,59.0,59.0,59.0,57.0,59.0,59.0,60.0,56.0
2,57.0,58.0,58.0,58.0,60.0,60.0,58.0,57.0,59.0,59.0,59.0,58.0,59.0,59.0,60.0,57.0
3,55.0,55.0,61.0,61.0,63.0,63.0,55.0,55.0,63.0,63.0,63.0,61.0,63.0,63.0,63.0,61.0
4,57.0,57.0,65.0,65.0,67.0,67.0,57.0,57.0,67.0,67.0,67.0,65.0,67.0,67.0,67.0,65.0
5,57.0,57.0,63.0,63.0,65.0,63.0,57.0,57.0,65.0,65.0,65.0,63.0,63.0,63.0,65.0,62.0
6,54.0,54.0,62.0,62.0,64.0,63.0,54.0,54.0,64.0,64.0,64.0,62.0,63.0,63.0,64.0,61.0
7,57.0,57.0,66.0,66.0,68.0,68.0,57.0,57.0,68.0,68.0,68.0,66.0,68.0,68.0,68.0,66.0
8,58.0,58.0,64.0,64.0,66.0,64.0,58.0,58.0,66.0,66.0,66.0,64.0,64.0,64.0,66.0,63.0
9,63.0,63.0,62.0,62.0,63.0,63.0,63.0,63.0,64.0,63.0,63.0,62.0,63.0,63.0,63.0,62.0
10,57.0,57.0,58.0,58.0,60.0,60.0,57.0,57.0,68.0,59.0,59.0,58.0,68.0,59.0,60.0,65.0
11,58.0,58.0,60.0,60.0,60.0,60.0,58.0,58.0,66.0,59.0,59.0,58.0,64.0,59.0,60.0,63.0
12,63.0,63.0,61.0,61.0,62.0,62.0,63.0,63.0,63.0,62.0,62.0,61.0,62.0,62.0,62.0,61.0
13,56.0,56.0,59.0,59.0,60.0,60.0,56.0,56.0,67.0,59.0,59.0,59.0,67.0,59.0,60.0,64.0
14,57.0,57.0,59.0,59.0,59.0,59.0,57.0,57.0,65.0,59.0,59.0,57.0,63.0,59.0,59.0,62.0
15,64.0,64.0,62.0,62.0,63.0,63.0,64.0,64.0,63.0,63.0,63.0,62.0,63.0,63.0,63.0,62.0
16,57.0,57.0,60.0,60.0,61.0,61.0,57.0,57.0,60.0,60.0,60.0,60.0,60.0,60.0,61.0,59.0
17,58.0,58.0,60.0,60.0,60.0,60.0,58.0,58.0,59.0,59.0,59.0,58.0,59.0,59.0,60.0,58.0
18,56.0,56.0,61.0,61.0,63.0,63.0,56.0,56.0,62.0,62.0,62.0,61.0,63.0,67.0,63.0,61.0
19,59.0,59.0,65.0,65.0,67.0,67.0,59.0,59.0,67.0,67.0,67.0,65.0,67.0,67.0,67.0,66.0
20,57.0,58.0,63.0,63.0,65.0,63.0,58.0,57.0,64.0,64.0,64.0,62.0,63.0,63.0,65.0,63.0
21,57.0,57.0,62.0,62.0,64.0,63.0,57.0,57.0,63.0,63.0,63.0,62.0,64.0,68.0,64.0,62.0
22,60.0,60.0,66.0,66.0,68.0,68.0,60.0,60.0,68.0,68.0,68.0,66.0,68.0,68.0,68.0,67.0
23,58.0,59.0,64.0,64.0,66.0,64.0,59.0,58.0,65.0,65.0,65.0,63.0,64.0,64.0,66.0,64.0
24,63.0,63.0,62.0,62.0,64.0,63.0,63.0,63.0,64.0,64.0,64.0,62.0,63.0,63.0,64.0,63.0
25,57.0,57.0,67.0,67.0,67.0,67.0,57.0,57.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,66.0
26,57.0,57.0,64.0,64.0,66.0,64.0,57.0,57.0,66.0,66.0,66.0,64.0,64.0,64.0,66.0,64.0
27,63.0,63.0,62.0,62.0,63.0,62.0,63.0,63.0,63.0,63.0,63.0,62.0,62.0,62.0,63.0,62.0
28,56.0,56.0,66.0,66.0,66.0,66.0,56.0,56.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,65.0
29,57.0,57.0,63.0,63.0,65.0,63.0,57.0,57.0,65.0,65.0,65.0,63.0,63.0,63.0,65.0,63.0
30,64.0,64.0,63.0,63.0,63.0,63.0,64.0,64.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
31,57.0,57.0,67.0,67.0,67.0,67.0,57.0,57.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,66.0
32,57.0,57.0,63.0,63.0,63.0,63.0,57.0,57.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,62.0
33,56.0,56.0,62.0,62.0,63.0,63.0,56.0,56.0,63.0,63.0,63.0,62.0,63.0,64.0,63.0,61.0
34,57.0,57.0,66.0,66.0,68.0,68.0,57.0,57.0,68.0,68.0,68.0,66.0,68.0,68.0,68.0,66.0
35,57.0,58.0,64.0,64.0,64.0,64.0,58.0,57.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.0
36,63.0,63.0,63.0,63.0,65.0,63.0,63.0,63.0,65.0,65.0,65.0,63.0,63.0,63.0,65.0,62.0
37,58.0,58.0,68.0,68.0,68.0,68.0,58.0,58.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,67.0
38,58.0,58.0,65.0,65.0,67.0,65.0,58.0,58.0,67.0,67.0,67.0,65.0,65.0,65.0,67.0,64.0
39,63.0,63.0,62.0,62.0,64.0,62.0,63.0,63.0,64.0,64.0,64.0,62.0,62.0,62.0,64.0,61.0
40,57.0,57.0,67.0,67.0,67.0,67.0,57.0,57.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,66.0
41,58.0,58.0,64.0,64.0,66.0,64.0,58.0,58.0,66.0,66.0,66.0,64.0,64.0,64.0,66.0,63.0
42,64.0,64.0,62.0,62.0,63.0,63.0,64.0,64.0,63.0,63.0,63.0,62.0,63.0,63.0,63.0,62.0
43,57.0,57.0,68.0,68.0,68.0,68.0,57.0,57.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,67.0
44,58.0,58.0,64.0,64.0,64.0,64.0,58.0,58.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.0
45,63.0,63.0,64.0,64.0,64.0,64.0,63.0,63.0,65.0,64.0,64.0,64.0,64.0,64.0,64.0,63.0
46,60.0,57.0,60.0,60.0,61.0,61.0,60.0,57.0,68.0,60.0,60.0,60.0,68.0,60.0,61.0,67.0
47,60.0,58.0,60.0,60.0,61.0,61.0,60.0,58.0,67.0,60.0,60.0,60.0,65.0,60.0,61.0,64.0
48,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,64.0,63.0,63.0,63.0,64.0,63.0,63.0,63.0
49,68.0,68.0,60.0,60.0,60.0,60.0,68.0,68.0,67.0,59.0,59.0,59.0,67.0,59.0,60.0,66.0
50,64.0,64.0,59.0,59.0,60.0,60.0,64.0,64.0,66.0,59.0,59.0,59.0,64.0,59.0,60.0,63.0
51,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,65.0,64.0,64.0,64.0,65.0,64.0,64.0,64.0
