Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
0,51.0,51.0,49.0,52.0,52.0
1,55.0,52.0,46.0,56.0,53.0
2,51.0,49.0,46.0,57.0,50.0
3,55.0,55.0,54.0,54.0,56.0
4,57.0,56.0,53.0,60.0,57.0
5,54.0,53.0,52.0,60.0,54.0
6,51.0,51.0,54.0,52.0,52.0
7,55.0,53.0,54.0,55.0,53.0
8,54.0,54.0,52.0,57.0,55.0
9,55.0,55.0,50.0,54.0,53.0
10,54.0,54.0,46.0,55.0,55.0
11,51.0,49.0,47.0,57.0,50.0
12,54.0,54.0,55.0,53.0,52.0
13,54.0,53.0,51.0,54.0,54.0
14,53.0,52.0,52.0,57.0,53.0
15,51.0,51.0,55.0,51.0,52.0
16,54.0,53.0,51.0,54.0,54.0
17,53.0,52.0,52.0,57.0,53.0
18,56.0,56.0,58.0,55.0,56.0
19,57.0,57.0,57.0,59.0,57.0
20,57.0,57.0,56.0,59.0,58.0
21,55.0,55.0,58.0,55.0,56.0
22,57.0,57.0,58.0,56.0,57.0
23,58.0,58.0,56.0,58.0,59.0
24,59.0,59.0,54.0,58.0,57.0
25,58.0,58.0,53.0,59.0,59.0
26,53.0,53.0,51.0,59.0,54.0
27,58.0,58.0,59.0,57.0,56.0
28,57.0,57.0,58.0,58.0,58.0
29,56.0,56.0,56.0,58.0,57.0
30,55.0,55.0,59.0,53.0,56.0
31,57.0,57.0,58.0,55.0,58.0
32,56.0,56.0,56.0,58.0,57.0
33,50.0,50.0,53.0,53.0,50.0
34,54.0,53.0,53.0,55.0,53.0
35,51.0,51.0,53.0,51.0,52.0
36,52.0,52.0,54.0,54.0,50.0
37,54.0,53.0,54.0,54.0,54.0
38,52.0,52.0,50.0,56.0,53.0
39,51.0,51.0,54.0,53.0,50.0
40,54.0,52.0,59.0,54.0,53.0
41,53.0,52.0,55.0,55.0,53.0
42,50.0,50.0,54.0,51.0,50.0
43,54.0,53.0,59.0,54.0,54.0
44,53.0,52.0,55.0,51.0,53.0
45,55.0,55.0,50.0,59.0,53.0
46,56.0,56.0,49.0,53.0,55.0
47,52.0,51.0,47.0,56.0,50.0
48,55.0,55.0,55.0,58.0,53.0
49,56.0,56.0,50.0,55.0,54.0
50,56.0,56.0,52.0,56.0,54.0
51,51.0,52.0,55.0,53.0,50.0
52,57.0,57.0,50.0,56.0,55.0
53,57.0,57.0,52.0,56.0,55.0
54,54.0,54.0,55.0,57.0,52.0
55,55.0,55.0,51.0,54.0,53.0
56,55.0,55.0,52.0,55.0,53.0
57,51.0,51.0,55.0,52.0,52.0
58,56.0,56.0,52.0,55.0,54.0
59,56.0,56.0,52.0,55.0,54.0
60,51.0,51.0,55.0,50.0,52.0
61,54.0,53.0,52.0,53.0,54.0
62,53.0,53.0,52.0,50.0,54.0
63,55.0,55.0,57.0,54.0,55.0
64,61.0,61.0,56.0,58.0,61.0
65,56.0,56.0,56.0,58.0,57.0
66,54.0,54.0,57.0,54.0,55.0
67,61.0,61.0,57.0,55.0,61.0
68,57.0,57.0,57.0,57.0,58.0
69,58.0,58.0,57.0,57.0,56.0
70,57.0,57.0,57.0,58.0,58.0
71,53.0,53.0,53.0,58.0,54.0
72,57.0,57.0,58.0,56.0,55.0
73,56.0,56.0,62.0,57.0,57.0
74,56.0,56.0,58.0,57.0,57.0
75,54.0,54.0,58.0,52.0,55.0
76,56.0,56.0,62.0,54.0,57.0
77,56.0,56.0,58.0,57.0,57.0
78,51.0,50.0,57.0,54.0,51.0
79,57.0,57.0,57.0,55.0,57.0
80,54.0,53.0,57.0,53.0,54.0
81,55.0,54.0,58.0,58.0,52.0
82,54.0,53.0,58.0,55.0,54.0
83,53.0,53.0,54.0,57.0,54.0
84,54.0,53.0,58.0,57.0,51.0
85,56.0,56.0,63.0,54.0,57.0
86,56.0,56.0,59.0,56.0,57.0
87,52.0,51.0,58.0,53.0,52.0
88,56.0,56.0,63.0,55.0,57.0
89,56.0,56.0,59.0,55.0,57.0
90,58.0,58.0,54.0,61.0,56.0
91,60.0,60.0,50.0,54.0,58.0
92,56.0,55.0,51.0,58.0,54.0
93,58.0,58.0,59.0,60.0,56.0
94,60.0,60.0,54.0,59.0,58.0
95,60.0,60.0,56.0,57.0,58.0
96,55.0,56.0,59.0,57.0,54.0
97,61.0,61.0,54.0,60.0,59.0
98,61.0,61.0,56.0,57.0,59.0
99,57.0,57.0,59.0,59.0,56.0
100,59.0,59.0,54.0,58.0,57.0
101,59.0,59.0,56.0,56.0,57.0
102,55.0,55.0,59.0,56.0,56.0
103,60.0,60.0,54.0,59.0,58.0
104,60.0,60.0,56.0,56.0,58.0
105,55.0,55.0,59.0,52.0,56.0
106,56.0,56.0,54.0,54.0,57.0
107,56.0,56.0,56.0,54.0,57.0
108,47.0,47.0,50.0,50.0,48.0
109,52.0,52.0,50.0,54.0,52.0
110,49.0,49.0,50.0,50.0,50.0
111,48.0,47.0,51.0,51.0,48.0
112,54.0,52.0,51.0,54.0,53.0
113,50.0,49.0,47.0,51.0,50.0
114,47.0,47.0,54.0,50.0,48.0
115,53.0,51.0,56.0,54.0,52.0
116,53.0,52.0,52.0,50.0,53.0
117,48.0,47.0,54.0,50.0,48.0
118,54.0,52.0,56.0,54.0,53.0
119,53.0,52.0,52.0,50.0,53.0
120,55.0,55.0,50.0,59.0,53.0
121,54.0,54.0,46.0,53.0,55.0
122,53.0,53.0,46.0,55.0,53.0
123,55.0,55.0,54.0,58.0,53.0
124,54.0,53.0,51.0,53.0,54.0
125,53.0,53.0,49.0,54.0,54.0
126,50.0,49.0,54.0,50.0,48.0
127,54.0,54.0,51.0,53.0,55.0
128,54.0,54.0,50.0,51.0,54.0
129,54.0,54.0,54.0,57.0,52.0
130,53.0,52.0,54.0,52.0,53.0
131,53.0,52.0,54.0,53.0,53.0
132,49.0,48.0,54.0,50.0,49.0
133,54.0,53.0,54.0,53.0,54.0
134,53.0,53.0,55.0,50.0,54.0
135,48.0,48.0,54.0,50.0,49.0
136,54.0,53.0,51.0,53.0,54.0
137,53.0,53.0,55.0,50.0,54.0
138,55.0,55.0,45.0,58.0,53.0
139,54.0,54.0,45.0,52.0,55.0
140,50.0,49.0,41.0,55.0,50.0
141,55.0,55.0,50.0,58.0,53.0
142,60.0,60.0,50.0,60.0,58.0
143,56.0,56.0,46.0,56.0,54.0
144,56.0,56.0,50.0,58.0,54.0
145,61.0,61.0,50.0,61.0,59.0
146,57.0,57.0,46.0,57.0,55.0
147,55.0,55.0,51.0,57.0,53.0
148,60.0,60.0,51.0,59.0,58.0
149,59.0,59.0,49.0,55.0,57.0
150,56.0,56.0,51.0,57.0,54.0
151,61.0,61.0,51.0,60.0,59.0
152,60.0,60.0,50.0,56.0,58.0
153,50.0,50.0,48.0,49.0,51.0
154,54.0,54.0,48.0,52.0,55.0
155,53.0,53.0,50.0,51.0,54.0
156,54.0,54.0,50.0,56.0,52.0
157,59.0,59.0,50.0,58.0,57.0
