Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
0,47.0,47.0,49.0,49.0,49.0,52.0,52.0,54.0
1,46.0,46.0,50.0,47.0,51.0,50.0,52.0,56.0
2,52.0,52.0,49.0,49.0,55.0,55.0,54.0,57.0
3,52.0,52.0,52.0,53.0,52.0,53.0,52.0,54.0
4,51.0,51.0,52.0,52.0,55.0,51.0,54.0,56.0
5,57.0,57.0,54.0,54.0,55.0,55.0,54.0,57.0
6,49.0,49.0,52.0,53.0,49.0,52.0,49.0,54.0
7,47.0,47.0,52.0,52.0,51.0,51.0,52.0,57.0
8,53.0,53.0,54.0,54.0,55.0,55.0,55.0,56.0
9,58.0,58.0,55.0,55.0,55.0,61.0,55.0,57.0
10,54.0,54.0,53.0,50.0,56.0,54.0,56.0,59.0
11,54.0,54.0,50.0,50.0,60.0,56.0,60.0,59.0
12,57.0,57.0,54.0,54.0,55.0,60.0,55.0,56.0
13,53.0,53.0,52.0,50.0,57.0,54.0,55.0,58.0
14,53.0,53.0,49.0,50.0,59.0,56.0,60.0,58.0
15,50.0,50.0,51.0,53.0,50.0,53.0,49.0,55.0
16,46.0,47.0,52.0,51.0,52.0,50.0,50.0,57.0
17,52.0,52.0,50.0,51.0,55.0,56.0,55.0,57.0
18,54.0,54.0,51.0,53.0,52.0,52.0,52.0,53.0
19,51.0,51.0,53.0,52.0,55.0,50.0,54.0,56.0
20,57.0,57.0,53.0,53.0,55.0,54.0,54.0,57.0
21,53.0,53.0,52.0,53.0,49.0,53.0,49.0,54.0
22,52.0,52.0,53.0,52.0,55.0,50.0,55.0,57.0
23,53.0,53.0,54.0,54.0,55.0,55.0,55.0,56.0
24,63.0,63.0,60.0,60.0,57.0,61.0,57.0,57.0
25,55.0,55.0,55.0,55.0,60.0,55.0,60.0,59.0
26,58.0,58.0,55.0,55.0,60.0,56.0,60.0,59.0
27,62.0,62.0,59.0,59.0,58.0,60.0,58.0,56.0
28,54.0,54.0,54.0,55.0,60.0,55.0,60.0,58.0
29,57.0,57.0,54.0,55.0,60.0,55.0,60.0,58.0
30,55.0,55.0,51.0,54.0,51.0,54.0,50.0,55.0
31,51.0,52.0,52.0,56.0,55.0,54.0,55.0,57.0
32,54.0,54.0,53.0,56.0,55.0,55.0,55.0,57.0
33,46.0,46.0,52.0,53.0,45.0,52.0,45.0,53.0
34,47.0,47.0,52.0,52.0,50.0,51.0,49.0,56.0
35,50.0,50.0,54.0,54.0,51.0,52.0,51.0,55.0
36,56.0,56.0,60.0,60.0,54.0,61.0,54.0,55.0
37,53.0,53.0,55.0,55.0,55.0,54.0,55.0,56.0
38,54.0,54.0,55.0,55.0,60.0,56.0,60.0,57.0
39,55.0,55.0,59.0,59.0,55.0,60.0,54.0,54.0
40,52.0,52.0,54.0,55.0,57.0,54.0,55.0,56.0
41,53.0,53.0,54.0,55.0,59.0,55.0,60.0,56.0
42,48.0,48.0,51.0,54.0,48.0,53.0,47.0,55.0
43,48.0,48.0,52.0,56.0,50.0,55.0,49.0,57.0
