Move,Piece,Rotation,Flip,Row,Col
0,Piece.CORNER_STATION,Rotation.R90,True,6,2
0,Piece.RAILWAY_CORNER,Rotation.I,False,3,3
0,Piece.CORNER_JUNCTION,Rotation.R90,False,3,6
0,Piece.RAILWAY_CORNER,Rotation.R180,False,2,3
0,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,4,3
1,Piece.CORNER_STATION,Rotation.R90,True,6,2
1,Piece.RAILWAY_CORNER,Rotation.R180,False,2,5
1,Piece.THREE_R_JUNCTION,Rotation.R90,False,3,6
1,Piece.RAILWAY_CORNER,Rotation.R270,False,2,6
1,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,4,3
2,Piece.CORNER_STATION,Rotation.R90,True,6,2
2,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,3
2,Piece.THREE_R_JUNCTION,Rotation.R180,False,3,3
2,Piece.RAILWAY_CORNER,Rotation.R180,False,2,3
2,Piece.RAILWAY_CORNER,Rotation.R270,False,2,4
3,Piece.CORNER_STATION,Rotation.R90,True,6,2
3,Piece.THREE_H_JUNCTION,Rotation.R180,False,0,3
3,Piece.RAILWAY_CORNER,Rotation.I,False,3,3
3,Piece.RAILWAY_CORNER,Rotation.R180,False,2,3
3,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,4,3
4,Piece.CORNER_STATION,Rotation.R90,True,6,2
4,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,5,1
4,Piece.RAILWAY_CORNER,Rotation.R180,False,2,5
4,Piece.THREE_R_JUNCTION,Rotation.R90,False,3,6
4,Piece.RAILWAY_CORNER,Rotation.R270,False,2,6
5,Piece.CORNER_STATION,Rotation.R90,True,6,2
5,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,3
5,Piece.RAILWAY_CORNER,Rotation.R270,False,2,5
5,Piece.THREE_R_JUNCTION,Rotation.R90,False,3,6
5,Piece.RAILWAY_CORNER,Rotation.R90,False,3,5
6,Piece.CORNER_STATION,Rotation.R90,True,6,2
6,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,3
6,Piece.RAILWAY_CORNER,Rotation.R270,False,2,5
6,Piece.CORNER_JUNCTION,Rotation.R90,False,3,6
6,Piece.RAILWAY_CORNER,Rotation.R90,False,3,5
7,Piece.CORNER_STATION,Rotation.R90,True,6,2
7,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,3
7,Piece.RAILWAY_JUNCTION,Rotation.I,False,3,3
7,Piece.RAILWAY_CORNER,Rotation.R180,False,2,3
7,Piece.RAILWAY_CORNER,Rotation.R270,False,2,4
8,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,1,3
8,Piece.RAILWAY_CORNER,Rotation.R270,False,2,1
8,Piece.CORNER_STATION,Rotation.R90,True,6,2
8,Piece.THREE_H_JUNCTION,Rotation.R180,False,0,3
8,Piece.RAILWAY_CORNER,Rotation.R90,False,3,1
9,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,1,3
9,Piece.CORNER_STATION,Rotation.R90,True,6,2
9,Piece.THREE_H_JUNCTION,Rotation.R180,False,0,3
9,Piece.RAILWAY_CORNER,Rotation.I,False,3,3
9,Piece.RAILWAY_CORNER,Rotation.R270,False,3,6
10,Piece.CORNER_STATION,Rotation.R90,True,6,2
10,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,5,1
10,Piece.CORNER_JUNCTION,Rotation.R90,False,3,6
10,Piece.RAILWAY_CORNER,Rotation.I,False,4,5
10,Piece.RAILWAY_CORNER,Rotation.R180,False,3,5
11,Piece.CORNER_STATION,Rotation.R90,True,6,2
11,Piece.RAILWAY_CORNER,Rotation.I,False,3,3
11,Piece.THREE_R_JUNCTION,Rotation.R90,False,3,6
11,Piece.RAILWAY_CORNER,Rotation.R270,False,2,6
11,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,4,3
12,Piece.CORNER_STATION,Rotation.R90,True,6,2
12,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,3
12,Piece.RAILWAY_CORNER,Rotation.R270,False,3,3
12,Piece.THREE_R_JUNCTION,Rotation.R90,False,3,6
12,Piece.RAILWAY_CORNER,Rotation.R180,False,2,6
13,Piece.CORNER_STATION,Rotation.R90,True,6,2
13,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,3
13,Piece.RAILWAY_CORNER,Rotation.R270,False,3,3
13,Piece.RAILWAY_CORNER,Rotation.I,False,4,4
13,Piece.CORNER_JUNCTION,Rotation.R270,False,4,3
14,Piece.CORNER_STATION,Rotation.R90,True,6,2
14,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,5,1
14,Piece.RAILWAY_CORNER,Rotation.I,False,3,3
14,Piece.CORNER_JUNCTION,Rotation.R90,False,3,6
14,Piece.RAILWAY_CORNER,Rotation.R90,False,3,5
15,Piece.CORNER_STATION,Rotation.R90,True,6,2
15,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,5,1
15,Piece.RAILWAY_CORNER,Rotation.I,False,3,3
15,Piece.THREE_R_JUNCTION,Rotation.R90,False,3,6
15,Piece.RAILWAY_CORNER,Rotation.R90,False,3,5
