Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
0,52.0,53.0,56.0,51.0,57.0,55.0,51.0,48.0,50.0,56.0,50.0,56.0,53.0,51.0
1,49.0,48.0,47.0,46.0,52.0,53.0,46.0,41.0,42.0,46.0,49.0,52.0,46.0,43.0
2,52.0,52.0,51.0,52.0,52.0,49.0,47.0,44.0,48.0,51.0,52.0,52.0,47.0,46.0
3,53.0,53.0,56.0,52.0,56.0,54.0,51.0,57.0,57.0,55.0,54.0,55.0,60.0,58.0
4,56.0,54.0,49.0,52.0,52.0,52.0,52.0,49.0,49.0,47.0,56.0,53.0,53.0,53.0
5,59.0,58.0,52.0,58.0,55.0,53.0,53.0,53.0,55.0,51.0,59.0,51.0,54.0,56.0
6,54.0,54.0,55.0,53.0,56.0,55.0,52.0,58.0,57.0,55.0,53.0,55.0,55.0,58.0
7,54.0,55.0,46.0,53.0,52.0,53.0,53.0,50.0,49.0,47.0,51.0,53.0,50.0,54.0
8,60.0,59.0,51.0,59.0,55.0,54.0,54.0,54.0,55.0,51.0,54.0,51.0,52.0,51.0
9,56.0,57.0,53.0,55.0,55.0,55.0,55.0,50.0,52.0,55.0,54.0,55.0,55.0,49.0
10,51.0,50.0,50.0,48.0,54.0,51.0,48.0,43.0,44.0,50.0,51.0,53.0,48.0,43.0
11,57.0,53.0,54.0,53.0,53.0,50.0,48.0,46.0,50.0,54.0,56.0,53.0,49.0,47.0
12,58.0,56.0,58.0,54.0,56.0,54.0,54.0,57.0,58.0,58.0,55.0,58.0,61.0,57.0
13,50.0,49.0,56.0,47.0,58.0,56.0,47.0,49.0,50.0,56.0,57.0,56.0,54.0,51.0
14,56.0,52.0,60.0,52.0,61.0,56.0,47.0,52.0,56.0,60.0,60.0,60.0,55.0,55.0
15,54.0,53.0,55.0,51.0,56.0,54.0,51.0,57.0,56.0,55.0,54.0,55.0,57.0,57.0
16,47.0,46.0,56.0,45.0,58.0,56.0,44.0,49.0,49.0,56.0,52.0,56.0,54.0,51.0
17,53.0,49.0,60.0,49.0,61.0,56.0,46.0,52.0,54.0,60.0,55.0,60.0,55.0,55.0
18,58.0,59.0,65.0,57.0,58.0,63.0,57.0,64.0,63.0,57.0,56.0,57.0,59.0,58.0
19,56.0,57.0,57.0,55.0,51.0,61.0,55.0,56.0,55.0,49.0,55.0,55.0,53.0,55.0
20,60.0,57.0,61.0,57.0,55.0,56.0,56.0,60.0,61.0,50.0,59.0,52.0,53.0,55.0
21,59.0,60.0,66.0,58.0,59.0,64.0,58.0,65.0,64.0,58.0,55.0,58.0,60.0,59.0
22,57.0,58.0,57.0,56.0,52.0,62.0,56.0,57.0,56.0,50.0,55.0,56.0,54.0,55.0
23,61.0,58.0,62.0,58.0,55.0,57.0,57.0,61.0,62.0,51.0,59.0,53.0,54.0,53.0
24,57.0,58.0,59.0,56.0,55.0,56.0,56.0,59.0,58.0,55.0,57.0,55.0,59.0,58.0
25,57.0,58.0,51.0,56.0,54.0,56.0,56.0,51.0,50.0,50.0,58.0,53.0,53.0,51.0
26,63.0,62.0,55.0,62.0,59.0,57.0,57.0,55.0,56.0,54.0,63.0,53.0,54.0,56.0
27,64.0,65.0,65.0,63.0,58.0,63.0,63.0,65.0,64.0,58.0,57.0,58.0,60.0,58.0
28,56.0,57.0,57.0,55.0,57.0,55.0,55.0,57.0,56.0,56.0,58.0,56.0,61.0,59.0
29,62.0,61.0,61.0,61.0,61.0,57.0,56.0,61.0,62.0,60.0,62.0,60.0,61.0,59.0
30,60.0,61.0,65.0,59.0,58.0,63.0,59.0,64.0,63.0,57.0,55.0,57.0,59.0,58.0
31,53.0,54.0,57.0,52.0,57.0,55.0,52.0,56.0,56.0,56.0,55.0,56.0,61.0,59.0
32,59.0,58.0,60.0,58.0,61.0,57.0,55.0,59.0,61.0,60.0,59.0,60.0,61.0,59.0
33,59.0,60.0,61.0,58.0,58.0,65.0,58.0,60.0,59.0,57.0,53.0,57.0,56.0,58.0
34,57.0,58.0,52.0,56.0,52.0,63.0,56.0,54.0,53.0,49.0,51.0,55.0,54.0,53.0
35,60.0,59.0,57.0,59.0,55.0,58.0,54.0,58.0,59.0,51.0,54.0,51.0,53.0,53.0
36,58.0,59.0,60.0,57.0,55.0,57.0,57.0,60.0,59.0,55.0,56.0,55.0,55.0,59.0
37,58.0,59.0,52.0,57.0,54.0,57.0,57.0,52.0,51.0,50.0,53.0,53.0,50.0,52.0
38,64.0,63.0,56.0,63.0,59.0,58.0,58.0,56.0,57.0,54.0,58.0,53.0,50.0,52.0
39,65.0,66.0,66.0,64.0,57.0,64.0,64.0,66.0,65.0,58.0,56.0,58.0,61.0,58.0
40,57.0,58.0,58.0,56.0,57.0,56.0,56.0,58.0,57.0,56.0,56.0,56.0,57.0,60.0
41,63.0,62.0,62.0,62.0,61.0,58.0,57.0,62.0,63.0,60.0,60.0,60.0,56.0,60.0
42,61.0,62.0,61.0,60.0,57.0,64.0,60.0,62.0,61.0,56.0,54.0,56.0,57.0,59.0
43,54.0,55.0,55.0,53.0,57.0,56.0,53.0,54.0,53.0,56.0,54.0,56.0,57.0,60.0
44,60.0,59.0,60.0,59.0,61.0,58.0,56.0,60.0,59.0,60.0,58.0,60.0,57.0,60.0
45,57.0,58.0,54.0,56.0,57.0,56.0,56.0,51.0,50.0,54.0,53.0,55.0,54.0,51.0
46,50.0,50.0,50.0,48.0,58.0,51.0,50.0,43.0,43.0,50.0,53.0,53.0,48.0,42.0
47,55.0,53.0,54.0,53.0,63.0,51.0,48.0,46.0,48.0,55.0,58.0,54.0,49.0,47.0
48,57.0,58.0,59.0,56.0,58.0,56.0,56.0,59.0,58.0,59.0,58.0,59.0,60.0,58.0
49,50.0,50.0,56.0,48.0,59.0,58.0,49.0,51.0,51.0,56.0,59.0,56.0,56.0,49.0
50,55.0,53.0,60.0,53.0,64.0,55.0,48.0,54.0,56.0,61.0,64.0,61.0,56.0,54.0
51,57.0,58.0,59.0,56.0,57.0,56.0,56.0,59.0,58.0,55.0,57.0,55.0,56.0,58.0
52,50.0,50.0,56.0,48.0,58.0,58.0,48.0,51.0,51.0,56.0,54.0,56.0,56.0,49.0
53,55.0,53.0,59.0,53.0,61.0,55.0,48.0,54.0,56.0,61.0,59.0,61.0,56.0,54.0
