Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
0,40.0,34.0,35.0,40.0,39.0,39.0,35.0
1,38.0,38.0,40.0,38.0,34.0,34.0,40.0
2,39.0,39.0,41.0,39.0,36.0,35.0,41.0
3,41.0,41.0,40.0,41.0,39.0,39.0,40.0
4,44.0,44.0,43.0,44.0,40.0,40.0,43.0
5,45.0,45.0,44.0,45.0,40.0,40.0,44.0
6,41.0,37.0,36.0,41.0,39.0,39.0,36.0
7,44.0,40.0,40.0,44.0,40.0,40.0,40.0
8,45.0,41.0,40.0,45.0,40.0,40.0,40.0
9,44.0,38.0,38.0,44.0,44.0,44.0,38.0
10,43.0,43.0,46.0,43.0,39.0,39.0,46.0
11,43.0,43.0,44.0,43.0,40.0,40.0,44.0
12,44.0,43.0,42.0,43.0,43.0,43.0,42.0
13,43.0,43.0,45.0,43.0,42.0,41.0,45.0
14,42.0,42.0,43.0,42.0,39.0,39.0,43.0
15,40.0,39.0,38.0,39.0,39.0,39.0,38.0
16,39.0,39.0,41.0,39.0,38.0,37.0,41.0
17,38.0,38.0,39.0,38.0,35.0,35.0,39.0
18,40.0,40.0,39.0,40.0,43.0,43.0,39.0
19,47.0,47.0,46.0,47.0,46.0,46.0,46.0
20,45.0,45.0,44.0,45.0,44.0,44.0,44.0
21,40.0,40.0,39.0,40.0,43.0,43.0,40.0
22,47.0,47.0,46.0,47.0,46.0,46.0,46.0
23,46.0,46.0,45.0,46.0,44.0,44.0,45.0
24,44.0,44.0,43.0,44.0,43.0,43.0,43.0
25,48.0,48.0,47.0,48.0,44.0,44.0,47.0
26,49.0,49.0,48.0,49.0,45.0,45.0,48.0
27,52.0,52.0,51.0,52.0,51.0,51.0,51.0
28,48.0,48.0,47.0,48.0,50.0,50.0,47.0
29,48.0,48.0,47.0,48.0,44.0,44.0,47.0
30,48.0,48.0,47.0,48.0,47.0,47.0,47.0
31,44.0,44.0,43.0,44.0,46.0,46.0,43.0
32,44.0,44.0,43.0,44.0,40.0,40.0,43.0
33,41.0,36.0,35.0,41.0,39.0,39.0,36.0
34,47.0,43.0,42.0,47.0,46.0,46.0,42.0
35,46.0,42.0,41.0,46.0,44.0,44.0,41.0
36,45.0,40.0,39.0,45.0,43.0,43.0,39.0
37,48.0,44.0,43.0,48.0,44.0,44.0,43.0
38,49.0,45.0,44.0,49.0,45.0,45.0,44.0
39,52.0,48.0,47.0,52.0,51.0,51.0,47.0
40,48.0,44.0,43.0,48.0,50.0,50.0,43.0
41,48.0,44.0,43.0,48.0,44.0,44.0,43.0
42,48.0,44.0,43.0,48.0,47.0,47.0,43.0
43,44.0,40.0,39.0,44.0,46.0,46.0,39.0
44,44.0,40.0,39.0,44.0,40.0,40.0,39.0
45,43.0,39.0,38.0,43.0,43.0,43.0,38.0
46,43.0,43.0,42.0,43.0,38.0,38.0,42.0
47,43.0,43.0,42.0,43.0,40.0,40.0,42.0
48,44.0,42.0,41.0,44.0,43.0,43.0,41.0
49,44.0,44.0,43.0,44.0,41.0,40.0,43.0
50,44.0,44.0,43.0,44.0,40.0,40.0,43.0
51,43.0,39.0,38.0,43.0,42.0,42.0,38.0
52,43.0,43.0,42.0,43.0,39.0,39.0,42.0
53,43.0,43.0,42.0,43.0,39.0,39.0,42.0
