Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
0,49.0,49.0,49.0,52.0,52.0,48.0,48.0,49.0,49.0,49.0
1,40.0,40.0,44.0,46.0,46.0,38.0,48.0,48.0,48.0,48.0
2,45.0,45.0,45.0,51.0,51.0,44.0,44.0,49.0,49.0,49.0
3,49.0,49.0,54.0,58.0,58.0,50.0,52.0,52.0,52.0,52.0
4,45.0,45.0,49.0,52.0,52.0,45.0,54.0,54.0,54.0,54.0
5,45.0,45.0,49.0,56.0,56.0,46.0,50.0,54.0,54.0,54.0
6,50.0,50.0,54.0,54.0,54.0,51.0,52.0,53.0,53.0,53.0
7,46.0,46.0,49.0,52.0,52.0,46.0,54.0,54.0,54.0,54.0
8,46.0,46.0,49.0,51.0,51.0,47.0,50.0,50.0,50.0,51.0
9,55.0,55.0,55.0,50.0,50.0,55.0,48.0,49.0,49.0,49.0
10,44.0,44.0,50.0,48.0,48.0,44.0,48.0,47.0,47.0,47.0
11,50.0,50.0,50.0,50.0,50.0,50.0,44.0,48.0,48.0,48.0
12,54.0,54.0,54.0,50.0,49.0,54.0,52.0,52.0,52.0,52.0
13,48.0,48.0,49.0,50.0,50.0,48.0,49.0,54.0,54.0,54.0
14,49.0,49.0,49.0,55.0,55.0,49.0,49.0,55.0,55.0,55.0
15,49.0,49.0,53.0,51.0,50.0,49.0,53.0,50.0,50.0,50.0
16,49.0,49.0,49.0,51.0,50.0,48.0,50.0,51.0,51.0,50.0
17,49.0,49.0,49.0,56.0,56.0,49.0,50.0,56.0,56.0,56.0
18,56.0,56.0,56.0,58.0,58.0,54.0,54.0,53.0,53.0,53.0
19,46.0,46.0,51.0,56.0,56.0,49.0,54.0,54.0,54.0,54.0
20,52.0,52.0,52.0,55.0,55.0,50.0,49.0,53.0,53.0,53.0
21,57.0,57.0,57.0,57.0,57.0,55.0,55.0,53.0,53.0,53.0
22,47.0,47.0,52.0,56.0,56.0,50.0,55.0,54.0,54.0,54.0
23,53.0,53.0,53.0,54.0,54.0,51.0,50.0,53.0,53.0,53.0
24,54.0,54.0,56.0,53.0,53.0,55.0,52.0,51.0,51.0,51.0
25,51.0,51.0,56.0,51.0,51.0,51.0,54.0,50.0,50.0,50.0
26,51.0,51.0,56.0,55.0,55.0,51.0,50.0,53.0,53.0,53.0
27,53.0,53.0,55.0,52.0,52.0,54.0,54.0,52.0,52.0,52.0
28,50.0,50.0,55.0,54.0,54.0,52.0,53.0,54.0,54.0,54.0
29,50.0,50.0,55.0,54.0,54.0,50.0,54.0,54.0,54.0,54.0
30,54.0,54.0,54.0,53.0,53.0,49.0,55.0,53.0,53.0,53.0
31,49.0,49.0,54.0,52.0,51.0,49.0,54.0,51.0,54.0,50.0
32,49.0,49.0,54.0,55.0,55.0,49.0,55.0,55.0,55.0,55.0
33,58.0,58.0,58.0,57.0,57.0,51.0,56.0,53.0,53.0,53.0
34,47.0,47.0,52.0,54.0,53.0,48.0,56.0,50.0,50.0,50.0
35,53.0,53.0,53.0,54.0,54.0,48.0,51.0,50.0,50.0,50.0
36,55.0,55.0,57.0,52.0,52.0,56.0,52.0,49.0,49.0,49.0
37,52.0,52.0,56.0,51.0,51.0,52.0,54.0,50.0,50.0,50.0
38,52.0,52.0,56.0,51.0,51.0,52.0,50.0,50.0,50.0,51.0
39,54.0,54.0,56.0,52.0,52.0,55.0,54.0,52.0,52.0,52.0
40,51.0,51.0,55.0,54.0,54.0,51.0,53.0,54.0,54.0,54.0
41,51.0,51.0,55.0,51.0,51.0,51.0,54.0,53.0,53.0,53.0
42,54.0,54.0,54.0,53.0,53.0,50.0,55.0,53.0,53.0,53.0
43,50.0,50.0,54.0,52.0,51.0,50.0,54.0,51.0,54.0,50.0
44,50.0,50.0,54.0,52.0,52.0,50.0,55.0,54.0,54.0,54.0
45,54.0,54.0,54.0,55.0,55.0,54.0,51.0,53.0,53.0,53.0
46,45.0,45.0,49.0,44.0,45.0,46.0,51.0,45.0,45.0,46.0
47,49.0,49.0,50.0,50.0,50.0,49.0,46.0,47.0,47.0,47.0
48,53.0,54.0,53.0,54.0,54.0,53.0,52.0,52.0,52.0,52.0
49,54.0,54.0,54.0,49.0,49.0,54.0,50.0,50.0,50.0,49.0
50,54.0,54.0,54.0,54.0,54.0,54.0,49.0,54.0,54.0,54.0
51,54.0,54.0,54.0,50.0,50.0,54.0,53.0,49.0,49.0,49.0
52,55.0,55.0,55.0,50.0,50.0,55.0,50.0,50.0,50.0,50.0
53,55.0,55.0,55.0,55.0,55.0,55.0,49.0,55.0,55.0,55.0
54,53.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,52.0
55,53.0,53.0,53.0,49.0,48.0,53.0,53.0,49.0,49.0,49.0
56,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
57,54.0,54.0,54.0,49.0,49.0,54.0,53.0,53.0,53.0,53.0
58,54.0,54.0,54.0,50.0,49.0,54.0,54.0,50.0,50.0,50.0
59,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
60,49.0,49.0,53.0,50.0,49.0,49.0,53.0,50.0,50.0,49.0
61,49.0,49.0,53.0,50.0,49.0,49.0,54.0,50.0,50.0,49.0
62,48.0,48.0,48.0,52.0,51.0,48.0,49.0,52.0,52.0,51.0
63,56.0,56.0,60.0,61.0,61.0,53.0,57.0,56.0,56.0,56.0
64,52.0,52.0,56.0,57.0,56.0,50.0,59.0,58.0,58.0,58.0
65,52.0,52.0,56.0,57.0,57.0,50.0,54.0,54.0,54.0,54.0
66,57.0,57.0,61.0,62.0,62.0,54.0,58.0,57.0,57.0,57.0
67,53.0,53.0,57.0,58.0,57.0,51.0,60.0,58.0,58.0,58.0
68,53.0,53.0,57.0,58.0,58.0,51.0,55.0,54.0,54.0,54.0
69,62.0,62.0,62.0,55.0,55.0,59.0,53.0,53.0,53.0,53.0
70,51.0,51.0,55.0,55.0,55.0,55.0,53.0,52.0,52.0,52.0
71,57.0,57.0,57.0,54.0,54.0,55.0,49.0,53.0,53.0,53.0
72,61.0,61.0,61.0,55.0,54.0,58.0,58.0,57.0,57.0,57.0
73,54.0,54.0,54.0,59.0,59.0,54.0,55.0,59.0,59.0,59.0
74,56.0,56.0,56.0,53.0,53.0,54.0,55.0,54.0,54.0,54.0
75,55.0,55.0,58.0,56.0,55.0,52.0,58.0,54.0,54.0,54.0
76,55.0,55.0,55.0,56.0,55.0,48.0,56.0,55.0,55.0,54.0
77,55.0,55.0,55.0,54.0,54.0,48.0,56.0,54.0,54.0,54.0
78,58.0,58.0,62.0,62.0,62.0,55.0,59.0,54.0,54.0,54.0
79,54.0,54.0,57.0,58.0,57.0,52.0,61.0,54.0,54.0,54.0
