Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
0,55.0,60.0,56.0,56.0,56.0,60.0,55.0,55.0,55.0,55.0,52.0,56.0,60.0,56.0,60.0
1,52.0,58.0,51.0,51.0,52.0,58.0,56.0,54.0,56.0,54.0,51.0,53.0,57.0,55.0,57.0
2,56.0,58.0,56.0,56.0,56.0,58.0,53.0,53.0,53.0,53.0,50.0,53.0,58.0,54.0,58.0
3,60.0,61.0,60.0,60.0,60.0,61.0,58.0,59.0,58.0,59.0,59.0,59.0,61.0,58.0,61.0
4,58.0,60.0,57.0,57.0,58.0,59.0,60.0,60.0,59.0,59.0,60.0,57.0,60.0,60.0,59.0
5,61.0,61.0,61.0,61.0,61.0,61.0,57.0,57.0,57.0,57.0,57.0,61.0,60.0,58.0,59.0
6,60.0,62.0,60.0,60.0,60.0,61.0,59.0,58.0,59.0,58.0,58.0,59.0,61.0,58.0,61.0
7,59.0,60.0,57.0,57.0,58.0,60.0,60.0,57.0,59.0,57.0,55.0,57.0,58.0,60.0,58.0
8,61.0,61.0,61.0,61.0,61.0,61.0,57.0,58.0,57.0,58.0,56.0,61.0,61.0,58.0,60.0
9,58.0,63.0,58.0,58.0,58.0,61.0,57.0,61.0,57.0,61.0,57.0,58.0,58.0,58.0,61.0
10,55.0,60.0,53.0,54.0,55.0,59.0,58.0,56.0,58.0,59.0,53.0,57.0,52.0,57.0,60.0
11,59.0,59.0,58.0,58.0,58.0,59.0,55.0,55.0,55.0,56.0,51.0,55.0,54.0,55.0,58.0
12,60.0,64.0,60.0,60.0,60.0,61.0,59.0,62.0,60.0,62.0,59.0,60.0,61.0,60.0,61.0
13,59.0,62.0,57.0,57.0,59.0,62.0,61.0,59.0,61.0,61.0,56.0,56.0,55.0,60.0,62.0
14,61.0,62.0,61.0,61.0,61.0,62.0,59.0,57.0,59.0,59.0,55.0,56.0,57.0,58.0,62.0
15,59.0,63.0,61.0,61.0,61.0,62.0,60.0,62.0,61.0,62.0,58.0,61.0,62.0,61.0,62.0
16,57.0,63.0,58.0,58.0,58.0,63.0,62.0,60.0,62.0,60.0,57.0,57.0,56.0,61.0,63.0
17,61.0,63.0,62.0,62.0,62.0,63.0,60.0,58.0,60.0,58.0,56.0,57.0,58.0,59.0,63.0
18,63.0,62.0,59.0,62.0,63.0,61.0,60.0,62.0,60.0,62.0,60.0,59.0,61.0,58.0,61.0
19,60.0,60.0,56.0,58.0,60.0,60.0,63.0,63.0,63.0,63.0,60.0,58.0,59.0,60.0,59.0
20,62.0,62.0,61.0,62.0,62.0,62.0,58.0,60.0,58.0,60.0,57.0,61.0,61.0,58.0,61.0
21,63.0,63.0,60.0,63.0,63.0,62.0,61.0,63.0,61.0,63.0,61.0,60.0,62.0,58.0,62.0
22,61.0,61.0,57.0,59.0,60.0,61.0,64.0,64.0,64.0,64.0,61.0,58.0,60.0,60.0,60.0
23,62.0,62.0,61.0,62.0,62.0,62.0,59.0,61.0,59.0,61.0,58.0,62.0,62.0,58.0,62.0
24,62.0,66.0,66.0,66.0,62.0,62.0,64.0,64.0,64.0,64.0,61.0,61.0,62.0,65.0,62.0
25,60.0,61.0,59.0,60.0,60.0,61.0,61.0,61.0,61.0,61.0,62.0,60.0,61.0,62.0,61.0
26,63.0,63.0,62.0,63.0,63.0,63.0,58.0,58.0,58.0,58.0,58.0,63.0,61.0,59.0,61.0
27,66.0,65.0,65.0,65.0,66.0,62.0,63.0,63.0,63.0,63.0,62.0,61.0,63.0,64.0,63.0
28,64.0,64.0,61.0,61.0,64.0,63.0,64.0,64.0,64.0,64.0,65.0,61.0,64.0,64.0,64.0
29,65.0,65.0,64.0,65.0,65.0,65.0,61.0,61.0,62.0,62.0,62.0,65.0,64.0,62.0,64.0
30,64.0,65.0,65.0,65.0,64.0,63.0,63.0,63.0,63.0,63.0,63.0,62.0,63.0,63.0,63.0
31,63.0,65.0,62.0,62.0,63.0,64.0,65.0,65.0,65.0,65.0,66.0,62.0,65.0,65.0,65.0
32,66.0,66.0,65.0,66.0,66.0,66.0,62.0,62.0,63.0,63.0,63.0,66.0,65.0,63.0,65.0
33,62.0,62.0,60.0,63.0,63.0,61.0,61.0,62.0,61.0,62.0,60.0,60.0,59.0,58.0,61.0
34,61.0,58.0,57.0,59.0,60.0,59.0,64.0,59.0,64.0,59.0,57.0,58.0,56.0,60.0,58.0
35,61.0,61.0,61.0,62.0,62.0,61.0,59.0,60.0,59.0,60.0,58.0,62.0,61.0,58.0,61.0
36,63.0,67.0,66.0,66.0,62.0,62.0,64.0,64.0,64.0,63.0,62.0,61.0,63.0,65.0,63.0
37,60.0,61.0,59.0,60.0,60.0,61.0,61.0,59.0,61.0,59.0,61.0,60.0,60.0,62.0,60.0
38,64.0,64.0,62.0,63.0,63.0,64.0,58.0,59.0,58.0,59.0,57.0,63.0,62.0,59.0,62.0
39,67.0,66.0,65.0,65.0,66.0,63.0,63.0,63.0,63.0,63.0,63.0,62.0,64.0,64.0,64.0
40,63.0,62.0,61.0,61.0,64.0,63.0,64.0,60.0,64.0,61.0,63.0,61.0,62.0,64.0,63.0
41,66.0,66.0,64.0,65.0,65.0,66.0,61.0,61.0,62.0,61.0,61.0,65.0,65.0,62.0,65.0
42,65.0,65.0,65.0,65.0,64.0,64.0,64.0,64.0,64.0,62.0,64.0,63.0,63.0,63.0,64.0
43,64.0,62.0,62.0,62.0,63.0,64.0,65.0,61.0,65.0,61.0,62.0,62.0,61.0,65.0,64.0
