Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
0,44.0,47.0,47.0,48.0,45.0
1,46.0,45.0,45.0,43.0,46.0
2,45.0,45.0,45.0,44.0,46.0
3,48.0,46.0,46.0,47.0,49.0
4,45.0,46.0,46.0,47.0,46.0
5,45.0,45.0,45.0,48.0,49.0
6,45.0,44.0,44.0,46.0,46.0
7,46.0,47.0,47.0,48.0,47.0
8,46.0,46.0,46.0,47.0,47.0
9,45.0,48.0,48.0,45.0,45.0
10,46.0,45.0,45.0,43.0,47.0
11,45.0,45.0,45.0,41.0,46.0
12,49.0,52.0,52.0,47.0,49.0
13,50.0,49.0,49.0,46.0,50.0
14,49.0,49.0,49.0,50.0,49.0
15,44.0,44.0,44.0,45.0,46.0
16,45.0,45.0,45.0,41.0,47.0
17,45.0,45.0,45.0,45.0,47.0
18,49.0,47.0,47.0,46.0,50.0
19,50.0,45.0,45.0,46.0,51.0
20,50.0,44.0,44.0,50.0,51.0
21,50.0,48.0,48.0,46.0,51.0
22,51.0,46.0,46.0,47.0,52.0
23,51.0,45.0,45.0,51.0,52.0
24,49.0,47.0,47.0,45.0,50.0
25,46.0,45.0,45.0,47.0,47.0
26,45.0,44.0,44.0,46.0,49.0
27,53.0,51.0,51.0,49.0,50.0
28,50.0,49.0,49.0,47.0,51.0
29,49.0,48.0,48.0,50.0,50.0
30,49.0,43.0,43.0,45.0,50.0
31,44.0,44.0,44.0,46.0,46.0
32,44.0,44.0,44.0,47.0,46.0
33,41.0,39.0,39.0,45.0,42.0
34,43.0,43.0,43.0,46.0,43.0
35,42.0,42.0,42.0,47.0,43.0
36,44.0,44.0,44.0,45.0,46.0
37,46.0,45.0,45.0,47.0,48.0
38,46.0,45.0,45.0,47.0,47.0
39,48.0,48.0,48.0,46.0,50.0
40,50.0,49.0,49.0,47.0,52.0
41,50.0,49.0,49.0,51.0,51.0
42,40.0,39.0,39.0,46.0,41.0
43,44.0,43.0,43.0,46.0,43.0
44,43.0,42.0,42.0,48.0,42.0
45,44.0,43.0,43.0,45.0,45.0
