Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
0,45.0,55.0,54.0,50.0,57.0,46.0,46.0,46.0
1,38.0,48.0,48.0,44.0,50.0,39.0,39.0,39.0
2,43.0,48.0,47.0,43.0,52.0,39.0,39.0,39.0
3,53.0,55.0,58.0,55.0,57.0,54.0,54.0,54.0
4,46.0,56.0,56.0,52.0,58.0,47.0,47.0,47.0
5,47.0,56.0,55.0,51.0,58.0,47.0,47.0,47.0
6,54.0,55.0,59.0,56.0,58.0,55.0,55.0,55.0
7,47.0,57.0,57.0,53.0,59.0,48.0,48.0,48.0
8,48.0,57.0,56.0,52.0,59.0,48.0,48.0,48.0
9,47.0,54.0,54.0,50.0,55.0,51.0,51.0,51.0
10,43.0,50.0,48.0,47.0,52.0,44.0,44.0,44.0
11,46.0,50.0,48.0,44.0,52.0,44.0,44.0,44.0
12,53.0,55.0,58.0,55.0,56.0,54.0,54.0,54.0
13,48.0,56.0,56.0,52.0,57.0,48.0,48.0,48.0
14,52.0,56.0,55.0,51.0,58.0,47.0,47.0,47.0
15,54.0,55.0,59.0,56.0,57.0,55.0,55.0,55.0
16,48.0,51.0,57.0,53.0,58.0,49.0,49.0,49.0
17,51.0,51.0,56.0,52.0,58.0,48.0,48.0,48.0
18,52.0,55.0,58.0,57.0,57.0,55.0,55.0,55.0
19,46.0,57.0,56.0,56.0,57.0,47.0,47.0,47.0
20,50.0,56.0,55.0,55.0,57.0,51.0,51.0,51.0
21,53.0,56.0,59.0,58.0,58.0,56.0,56.0,56.0
22,47.0,58.0,57.0,57.0,58.0,48.0,48.0,48.0
23,51.0,57.0,56.0,56.0,58.0,52.0,52.0,52.0
24,53.0,58.0,55.0,55.0,56.0,59.0,59.0,59.0
25,51.0,56.0,55.0,55.0,57.0,52.0,52.0,52.0
26,54.0,56.0,51.0,51.0,58.0,52.0,52.0,52.0
27,54.0,57.0,58.0,55.0,57.0,58.0,58.0,58.0
28,55.0,59.0,56.0,56.0,58.0,56.0,56.0,56.0
29,60.0,59.0,56.0,56.0,58.0,55.0,55.0,55.0
30,54.0,56.0,59.0,56.0,58.0,55.0,55.0,55.0
31,56.0,56.0,57.0,57.0,59.0,57.0,57.0,57.0
32,55.0,56.0,57.0,57.0,58.0,56.0,56.0,56.0
33,54.0,55.0,60.0,59.0,58.0,55.0,55.0,55.0
34,48.0,57.0,57.0,57.0,57.0,48.0,48.0,48.0
35,52.0,56.0,57.0,57.0,58.0,48.0,48.0,48.0
36,54.0,59.0,56.0,56.0,57.0,60.0,60.0,60.0
37,52.0,57.0,56.0,56.0,58.0,53.0,53.0,53.0
38,55.0,57.0,52.0,52.0,59.0,53.0,53.0,53.0
39,55.0,58.0,59.0,56.0,57.0,59.0,59.0,59.0
40,56.0,60.0,57.0,57.0,59.0,57.0,57.0,57.0
41,61.0,60.0,57.0,57.0,59.0,56.0,56.0,56.0
