Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
0,51.0,56.0,53.0,54.0,56.0,55.0,51.0,55.0,55.0,54.0,55.0,48.0,54.0,54.0,55.0
1,53.0,45.0,50.0,52.0,47.0,55.0,52.0,55.0,55.0,55.0,55.0,49.0,56.0,55.0,55.0
2,51.0,52.0,49.0,54.0,52.0,57.0,50.0,57.0,57.0,56.0,57.0,49.0,54.0,56.0,57.0
3,55.0,56.0,55.0,54.0,56.0,55.0,52.0,55.0,55.0,54.0,55.0,50.0,55.0,54.0,55.0
4,53.0,45.0,53.0,54.0,46.0,55.0,56.0,56.0,56.0,55.0,55.0,52.0,56.0,55.0,55.0
5,55.0,52.0,48.0,56.0,52.0,57.0,54.0,57.0,57.0,56.0,57.0,49.0,57.0,56.0,57.0
6,55.0,56.0,56.0,55.0,56.0,55.0,53.0,55.0,55.0,53.0,55.0,48.0,56.0,54.0,55.0
7,53.0,45.0,53.0,55.0,45.0,55.0,57.0,55.0,55.0,55.0,55.0,49.0,56.0,56.0,55.0
8,55.0,48.0,49.0,56.0,52.0,57.0,55.0,57.0,57.0,55.0,57.0,50.0,58.0,56.0,57.0
9,53.0,54.0,52.0,53.0,55.0,56.0,53.0,56.0,56.0,55.0,56.0,54.0,54.0,55.0,55.0
10,53.0,52.0,48.0,52.0,52.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,56.0,55.0,53.0
11,55.0,53.0,48.0,52.0,53.0,55.0,55.0,55.0,55.0,55.0,55.0,53.0,56.0,55.0,54.0
12,55.0,56.0,54.0,54.0,56.0,55.0,55.0,55.0,55.0,55.0,55.0,53.0,55.0,55.0,55.0
13,56.0,57.0,54.0,54.0,57.0,56.0,56.0,56.0,56.0,56.0,56.0,54.0,57.0,56.0,55.0
14,55.0,57.0,54.0,56.0,58.0,57.0,54.0,57.0,57.0,57.0,57.0,52.0,57.0,57.0,57.0
15,55.0,54.0,55.0,55.0,55.0,54.0,51.0,54.0,54.0,53.0,54.0,51.0,54.0,53.0,53.0
16,57.0,56.0,53.0,55.0,56.0,55.0,53.0,55.0,55.0,55.0,55.0,51.0,56.0,55.0,53.0
17,55.0,56.0,55.0,57.0,56.0,55.0,49.0,55.0,55.0,54.0,55.0,50.0,53.0,54.0,54.0
18,55.0,55.0,55.0,54.0,55.0,55.0,52.0,55.0,55.0,53.0,55.0,50.0,55.0,53.0,54.0
19,53.0,44.0,53.0,54.0,45.0,55.0,56.0,56.0,56.0,55.0,55.0,52.0,55.0,55.0,54.0
20,55.0,51.0,48.0,56.0,51.0,57.0,54.0,57.0,57.0,55.0,57.0,49.0,57.0,55.0,56.0
