Move,Piece,Rotation,Flip,Row,Col
0,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,1,2
0,Piece.CORNER_STATION,Rotation.R180,False,0,4
0,Piece.RAILWAY_T,Rotation.R90,False,1,4
0,Piece.RAILWAY_CORNER,Rotation.I,False,2,4
1,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,1,2
1,Piece.CORNER_STATION,Rotation.R180,False,0,4
1,Piece.RAILWAY_T,Rotation.I,False,2,3
1,Piece.RAILWAY_CORNER,Rotation.I,False,2,4
2,Piece.RAILWAY_CORNER,Rotation.R90,False,1,6
2,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,6
2,Piece.RAILWAY_T,Rotation.I,False,6,4
2,Piece.CORNER_STATION,Rotation.R270,False,6,5
3,Piece.RAILWAY_T,Rotation.R90,False,1,6
3,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,1,2
3,Piece.CORNER_STATION,Rotation.R90,True,3,6
3,Piece.RAILWAY_CORNER,Rotation.R270,False,6,4
4,Piece.RAILWAY_T,Rotation.I,False,1,6
4,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,1,2
4,Piece.RAILWAY_CORNER,Rotation.I,False,2,3
4,Piece.CORNER_STATION,Rotation.R270,False,6,5
5,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,6
5,Piece.CORNER_STATION,Rotation.R180,False,0,4
5,Piece.RAILWAY_T,Rotation.R180,False,2,3
5,Piece.RAILWAY_CORNER,Rotation.I,False,2,4
6,Piece.RAILWAY_T,Rotation.I,False,2,3
6,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,5
6,Piece.CORNER_STATION,Rotation.R90,True,3,4
6,Piece.RAILWAY_CORNER,Rotation.R270,False,2,4
7,Piece.RAILWAY_CORNER,Rotation.R90,False,1,6
7,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,6
7,Piece.RAILWAY_T,Rotation.R180,False,6,4
7,Piece.CORNER_STATION,Rotation.R270,False,6,5
8,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,1,2
8,Piece.CORNER_STATION,Rotation.R180,False,0,4
8,Piece.RAILWAY_T,Rotation.R270,False,1,4
8,Piece.RAILWAY_CORNER,Rotation.I,False,2,4
9,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,6
9,Piece.CORNER_STATION,Rotation.R180,False,0,4
9,Piece.RAILWAY_T,Rotation.I,False,2,3
9,Piece.RAILWAY_CORNER,Rotation.I,False,2,4
10,Piece.CORNER_STATION,Rotation.R90,False,5,6
10,Piece.RAILWAY_T,Rotation.R90,False,1,6
10,Piece.RAILWAY_CORNER,Rotation.I,False,2,6
10,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,4,6
11,Piece.CORNER_STATION,Rotation.R90,False,5,6
11,Piece.RAILWAY_T,Rotation.I,False,1,6
11,Piece.RAILWAY_CORNER,Rotation.I,False,2,3
11,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,4,6
12,Piece.RAILWAY_T,Rotation.I,False,1,6
12,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,1,2
12,Piece.CORNER_STATION,Rotation.R180,False,0,4
12,Piece.RAILWAY_CORNER,Rotation.R90,False,1,4
13,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,1,2
13,Piece.RAILWAY_T,Rotation.I,False,6,4
13,Piece.RAILWAY_CORNER,Rotation.I,False,2,3
13,Piece.CORNER_STATION,Rotation.R270,False,6,5
14,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,1,2
14,Piece.RAILWAY_T,Rotation.R180,False,6,4
14,Piece.RAILWAY_CORNER,Rotation.I,False,2,3
14,Piece.CORNER_STATION,Rotation.R270,False,6,5
15,Piece.RAILWAY_CORNER,Rotation.R90,False,1,6
15,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,1,2
15,Piece.RAILWAY_T,Rotation.I,False,2,3
15,Piece.CORNER_STATION,Rotation.R270,False,6,5
