Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
0,39.0,43.0,39.0,43.0,41.0,39.0,39.0,43.0,43.0,39.0
1,46.0,45.0,46.0,48.0,43.0,46.0,46.0,48.0,42.0,46.0
2,41.0,45.0,41.0,45.0,45.0,41.0,41.0,45.0,44.0,41.0
3,41.0,46.0,41.0,45.0,41.0,41.0,41.0,45.0,44.0,41.0
4,46.0,47.0,46.0,47.0,42.0,45.0,45.0,47.0,45.0,45.0
5,46.0,47.0,46.0,50.0,44.0,46.0,46.0,50.0,49.0,46.0
6,42.0,46.0,42.0,46.0,42.0,42.0,42.0,46.0,44.0,42.0
7,46.0,47.0,46.0,48.0,43.0,45.0,46.0,48.0,45.0,46.0
8,47.0,47.0,47.0,51.0,45.0,47.0,47.0,51.0,45.0,47.0
9,42.0,45.0,42.0,43.0,41.0,42.0,42.0,43.0,44.0,42.0
10,46.0,47.0,45.0,50.0,42.0,45.0,45.0,50.0,41.0,45.0
11,41.0,45.0,41.0,45.0,46.0,41.0,41.0,45.0,46.0,41.0
12,41.0,45.0,41.0,42.0,42.0,41.0,41.0,42.0,43.0,41.0
13,45.0,47.0,44.0,50.0,43.0,44.0,44.0,50.0,41.0,44.0
14,44.0,45.0,44.0,48.0,47.0,44.0,44.0,48.0,46.0,44.0
15,40.0,45.0,40.0,42.0,42.0,40.0,40.0,42.0,43.0,40.0
16,45.0,47.0,45.0,45.0,43.0,45.0,45.0,45.0,41.0,45.0
17,45.0,45.0,45.0,48.0,47.0,45.0,45.0,48.0,46.0,45.0
18,41.0,45.0,41.0,44.0,41.0,42.0,42.0,45.0,43.0,42.0
19,45.0,46.0,45.0,46.0,41.0,44.0,44.0,46.0,44.0,44.0
20,45.0,49.0,45.0,49.0,43.0,45.0,45.0,49.0,49.0,45.0
21,42.0,46.0,42.0,45.0,42.0,43.0,43.0,45.0,44.0,43.0
22,45.0,47.0,45.0,47.0,42.0,45.0,45.0,47.0,45.0,45.0
23,46.0,50.0,46.0,50.0,44.0,46.0,46.0,50.0,49.0,46.0
24,41.0,45.0,41.0,42.0,40.0,42.0,42.0,42.0,44.0,42.0
25,45.0,46.0,44.0,49.0,42.0,44.0,44.0,49.0,40.0,45.0
26,45.0,46.0,45.0,44.0,45.0,45.0,45.0,44.0,45.0,45.0
27,40.0,45.0,40.0,41.0,41.0,41.0,41.0,41.0,43.0,41.0
28,44.0,46.0,43.0,49.0,42.0,43.0,43.0,49.0,40.0,44.0
29,44.0,46.0,44.0,47.0,46.0,44.0,44.0,47.0,45.0,44.0
30,39.0,45.0,39.0,41.0,41.0,39.0,39.0,41.0,43.0,39.0
31,44.0,46.0,44.0,44.0,42.0,44.0,44.0,44.0,40.0,44.0
32,45.0,46.0,45.0,47.0,46.0,44.0,44.0,47.0,45.0,44.0
33,40.0,42.0,40.0,44.0,41.0,41.0,41.0,44.0,40.0,41.0
34,45.0,48.0,45.0,46.0,42.0,46.0,46.0,46.0,41.0,45.0
35,45.0,46.0,45.0,45.0,45.0,44.0,45.0,45.0,44.0,47.0
36,42.0,42.0,42.0,43.0,41.0,42.0,42.0,43.0,42.0,42.0
37,44.0,45.0,43.0,45.0,43.0,43.0,43.0,45.0,41.0,46.0
38,46.0,47.0,46.0,45.0,46.0,46.0,46.0,45.0,46.0,46.0
39,41.0,41.0,41.0,42.0,42.0,41.0,41.0,42.0,41.0,41.0
40,44.0,46.0,43.0,44.0,43.0,43.0,43.0,44.0,41.0,45.0
41,45.0,47.0,45.0,48.0,47.0,45.0,45.0,48.0,46.0,45.0
42,40.0,41.0,40.0,42.0,42.0,40.0,40.0,42.0,40.0,40.0
43,44.0,47.0,44.0,45.0,43.0,44.0,44.0,45.0,41.0,44.0
44,45.0,47.0,45.0,48.0,47.0,44.0,45.0,48.0,46.0,45.0
45,41.0,41.0,40.0,42.0,42.0,41.0,41.0,42.0,42.0,41.0
46,45.0,45.0,45.0,44.0,42.0,45.0,45.0,44.0,40.0,45.0
47,41.0,45.0,41.0,45.0,46.0,41.0,41.0,45.0,46.0,41.0
48,41.0,41.0,41.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
49,45.0,45.0,46.0,44.0,43.0,46.0,46.0,44.0,40.0,44.0
50,45.0,45.0,45.0,48.0,47.0,45.0,45.0,48.0,46.0,45.0
51,42.0,41.0,42.0,43.0,41.0,42.0,42.0,43.0,42.0,42.0
52,46.0,45.0,47.0,45.0,43.0,47.0,47.0,45.0,41.0,45.0
53,45.0,46.0,44.0,49.0,47.0,44.0,44.0,49.0,46.0,44.0
54,42.0,40.0,42.0,42.0,41.0,42.0,42.0,42.0,41.0,42.0
55,44.0,44.0,45.0,43.0,43.0,45.0,45.0,43.0,39.0,43.0
56,48.0,45.0,48.0,48.0,47.0,48.0,48.0,48.0,45.0,48.0
57,43.0,40.0,43.0,43.0,41.0,43.0,43.0,43.0,41.0,43.0
58,45.0,45.0,46.0,44.0,43.0,46.0,46.0,44.0,40.0,44.0
59,49.0,46.0,49.0,49.0,47.0,49.0,49.0,49.0,46.0,49.0
60,38.0,40.0,38.0,42.0,41.0,38.0,38.0,42.0,40.0,38.0
61,41.0,46.0,42.0,44.0,43.0,42.0,42.0,44.0,40.0,39.0
62,44.0,46.0,44.0,45.0,47.0,44.0,44.0,45.0,46.0,44.0
63,40.0,45.0,40.0,43.0,40.0,41.0,41.0,44.0,43.0,41.0
64,44.0,46.0,44.0,45.0,40.0,44.0,44.0,45.0,44.0,43.0
65,44.0,48.0,44.0,48.0,43.0,45.0,45.0,48.0,48.0,45.0
66,41.0,46.0,41.0,44.0,41.0,42.0,42.0,44.0,44.0,42.0
67,44.0,47.0,44.0,46.0,41.0,45.0,45.0,46.0,45.0,44.0
68,45.0,49.0,45.0,49.0,44.0,46.0,46.0,49.0,48.0,46.0
69,40.0,44.0,40.0,41.0,39.0,41.0,41.0,41.0,43.0,41.0
70,44.0,45.0,43.0,48.0,41.0,43.0,43.0,48.0,39.0,44.0
71,44.0,46.0,44.0,43.0,44.0,44.0,44.0,43.0,44.0,44.0
72,39.0,44.0,39.0,40.0,40.0,40.0,40.0,40.0,42.0,40.0
73,43.0,45.0,42.0,48.0,41.0,42.0,42.0,48.0,39.0,43.0
74,43.0,46.0,43.0,46.0,45.0,43.0,43.0,46.0,44.0,43.0
75,38.0,44.0,38.0,40.0,40.0,39.0,39.0,40.0,42.0,39.0
76,43.0,45.0,43.0,43.0,41.0,43.0,43.0,43.0,39.0,43.0
77,44.0,46.0,44.0,46.0,45.0,43.0,43.0,46.0,44.0,43.0
78,40.0,42.0,39.0,43.0,40.0,41.0,41.0,43.0,40.0,41.0
79,44.0,47.0,44.0,45.0,41.0,46.0,46.0,45.0,41.0,44.0
80,45.0,45.0,44.0,44.0,45.0,44.0,44.0,44.0,45.0,46.0
81,41.0,41.0,41.0,42.0,40.0,42.0,42.0,42.0,41.0,42.0
82,44.0,45.0,42.0,44.0,42.0,42.0,42.0,44.0,40.0,45.0
83,45.0,47.0,45.0,44.0,45.0,45.0,45.0,44.0,45.0,45.0
84,40.0,41.0,40.0,41.0,41.0,41.0,41.0,41.0,40.0,41.0
85,44.0,45.0,42.0,43.0,42.0,42.0,42.0,43.0,40.0,44.0
86,44.0,47.0,44.0,47.0,46.0,44.0,44.0,47.0,45.0,44.0
