Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
0,36.0,36.0,38.0,38.0,41.0,40.0
1,37.0,36.0,38.0,40.0,38.0,40.0
2,36.0,36.0,41.0,38.0,38.0,42.0
3,37.0,37.0,40.0,38.0,40.0,39.0
4,39.0,39.0,38.0,39.0,38.0,39.0
5,40.0,40.0,41.0,38.0,38.0,41.0
6,38.0,38.0,41.0,39.0,41.0,40.0
7,38.0,38.0,39.0,40.0,39.0,40.0
8,41.0,41.0,41.0,38.0,40.0,42.0
9,37.0,35.0,38.0,39.0,42.0,40.0
10,38.0,38.0,38.0,38.0,38.0,40.0
11,35.0,35.0,41.0,37.0,37.0,42.0
12,37.0,37.0,37.0,38.0,41.0,39.0
13,39.0,37.0,39.0,41.0,38.0,39.0
14,37.0,37.0,43.0,39.0,40.0,41.0
15,38.0,38.0,38.0,39.0,42.0,39.0
16,40.0,37.0,40.0,42.0,39.0,40.0
17,38.0,37.0,40.0,40.0,41.0,40.0
18,37.0,37.0,39.0,38.0,39.0,38.0
19,39.0,39.0,38.0,38.0,38.0,38.0
20,40.0,40.0,42.0,40.0,38.0,40.0
21,38.0,38.0,40.0,39.0,40.0,39.0
22,38.0,38.0,39.0,39.0,39.0,39.0
23,41.0,41.0,41.0,41.0,39.0,41.0
24,37.0,35.0,39.0,38.0,41.0,39.0
25,37.0,37.0,40.0,37.0,38.0,40.0
26,40.0,40.0,41.0,37.0,37.0,41.0
27,37.0,37.0,38.0,37.0,40.0,38.0
28,38.0,38.0,39.0,40.0,39.0,39.0
29,42.0,42.0,43.0,39.0,39.0,40.0
30,38.0,38.0,39.0,38.0,41.0,38.0
31,39.0,39.0,40.0,41.0,40.0,39.0
32,40.0,40.0,42.0,40.0,40.0,39.0
33,38.0,38.0,39.0,40.0,40.0,39.0
34,38.0,38.0,39.0,40.0,40.0,40.0
35,38.0,38.0,39.0,42.0,40.0,41.0
36,38.0,36.0,40.0,39.0,40.0,40.0
37,38.0,38.0,38.0,38.0,39.0,41.0
38,41.0,41.0,41.0,38.0,38.0,42.0
39,38.0,38.0,39.0,38.0,41.0,39.0
40,39.0,39.0,39.0,40.0,40.0,40.0
41,43.0,43.0,43.0,40.0,40.0,41.0
42,39.0,39.0,40.0,39.0,42.0,38.0
43,40.0,40.0,40.0,41.0,41.0,40.0
44,40.0,40.0,40.0,41.0,41.0,40.0
45,38.0,34.0,39.0,39.0,41.0,39.0
46,38.0,37.0,37.0,37.0,37.0,40.0
