Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
0,34.0,30.0,34.0,33.0,36.0,33.0,35.0,35.0,35.0
1,34.0,31.0,34.0,34.0,35.0,37.0,32.0,33.0,33.0
2,37.0,32.0,38.0,37.0,37.0,36.0,35.0,35.0,37.0
3,34.0,35.0,35.0,33.0,36.0,33.0,35.0,35.0,35.0
4,35.0,35.0,35.0,35.0,37.0,37.0,32.0,33.0,35.0
5,37.0,34.0,37.0,37.0,38.0,36.0,35.0,35.0,37.0
6,34.0,36.0,35.0,34.0,36.0,33.0,35.0,35.0,35.0
7,36.0,35.0,36.0,36.0,38.0,37.0,33.0,33.0,36.0
8,37.0,35.0,38.0,37.0,38.0,36.0,35.0,35.0,37.0
9,39.0,33.0,36.0,38.0,37.0,38.0,35.0,36.0,35.0
10,40.0,33.0,38.0,38.0,37.0,39.0,33.0,37.0,34.0
11,39.0,33.0,38.0,38.0,38.0,38.0,36.0,37.0,38.0
12,38.0,37.0,36.0,38.0,36.0,37.0,36.0,39.0,35.0
13,39.0,35.0,38.0,37.0,36.0,38.0,37.0,36.0,36.0
14,38.0,36.0,38.0,37.0,37.0,37.0,37.0,39.0,38.0
15,34.0,32.0,34.0,34.0,36.0,33.0,36.0,36.0,36.0
16,36.0,31.0,35.0,36.0,34.0,37.0,36.0,37.0,37.0
17,38.0,31.0,38.0,38.0,36.0,37.0,38.0,40.0,38.0
18,33.0,34.0,37.0,33.0,38.0,32.0,34.0,35.0,34.0
19,34.0,35.0,36.0,34.0,39.0,36.0,33.0,34.0,35.0
20,37.0,36.0,37.0,37.0,41.0,36.0,34.0,34.0,36.0
21,34.0,35.0,38.0,34.0,38.0,33.0,35.0,36.0,35.0
22,35.0,36.0,37.0,35.0,39.0,36.0,34.0,35.0,36.0
23,37.0,37.0,38.0,37.0,41.0,36.0,35.0,35.0,37.0
24,39.0,37.0,36.0,38.0,38.0,38.0,35.0,35.0,35.0
25,40.0,37.0,37.0,38.0,41.0,39.0,33.0,37.0,34.0
26,39.0,34.0,37.0,38.0,40.0,38.0,35.0,37.0,38.0
27,38.0,37.0,36.0,38.0,37.0,37.0,35.0,39.0,34.0
28,39.0,38.0,37.0,37.0,40.0,38.0,36.0,36.0,36.0
29,38.0,38.0,37.0,37.0,39.0,37.0,36.0,39.0,38.0
30,34.0,36.0,34.0,34.0,36.0,33.0,35.0,36.0,35.0
31,36.0,36.0,35.0,36.0,37.0,37.0,36.0,37.0,37.0
32,38.0,34.0,37.0,38.0,37.0,37.0,37.0,40.0,38.0
33,34.0,36.0,36.0,35.0,38.0,34.0,35.0,37.0,35.0
34,35.0,37.0,37.0,35.0,37.0,34.0,35.0,36.0,36.0
35,34.0,38.0,37.0,37.0,38.0,36.0,35.0,34.0,37.0
36,38.0,38.0,37.0,38.0,37.0,37.0,35.0,36.0,36.0
37,40.0,38.0,38.0,38.0,39.0,39.0,34.0,37.0,35.0
38,38.0,35.0,38.0,38.0,38.0,37.0,36.0,37.0,38.0
39,37.0,38.0,37.0,37.0,36.0,36.0,36.0,39.0,35.0
40,39.0,39.0,38.0,37.0,38.0,38.0,37.0,37.0,37.0
41,37.0,39.0,38.0,37.0,38.0,36.0,37.0,39.0,38.0
42,34.0,37.0,35.0,35.0,36.0,34.0,36.0,37.0,36.0
43,36.0,37.0,36.0,36.0,38.0,37.0,37.0,38.0,38.0
44,38.0,35.0,38.0,38.0,38.0,37.0,38.0,40.0,38.0
45,39.0,33.0,37.0,39.0,39.0,38.0,34.0,38.0,35.0
46,40.0,34.0,39.0,39.0,39.0,39.0,35.0,39.0,36.0
47,39.0,34.0,39.0,38.0,39.0,38.0,37.0,41.0,38.0
48,41.0,37.0,37.0,41.0,39.0,40.0,36.0,38.0,36.0
49,40.0,37.0,39.0,39.0,38.0,40.0,38.0,39.0,37.0
50,41.0,36.0,39.0,41.0,40.0,40.0,38.0,42.0,39.0
51,39.0,33.0,36.0,39.0,37.0,38.0,36.0,37.0,37.0
52,40.0,33.0,38.0,40.0,38.0,41.0,37.0,37.0,38.0
53,42.0,34.0,39.0,42.0,40.0,41.0,38.0,40.0,40.0
54,40.0,37.0,36.0,40.0,38.0,39.0,36.0,39.0,37.0
55,39.0,36.0,38.0,38.0,39.0,39.0,38.0,40.0,37.0
56,40.0,35.0,38.0,40.0,39.0,39.0,38.0,41.0,39.0
57,38.0,37.0,36.0,38.0,36.0,37.0,36.0,40.0,36.0
58,39.0,36.0,38.0,39.0,39.0,40.0,37.0,41.0,37.0
59,41.0,35.0,38.0,41.0,39.0,40.0,38.0,41.0,39.0
60,35.0,32.0,34.0,35.0,36.0,34.0,35.0,36.0,35.0
61,36.0,32.0,36.0,36.0,35.0,37.0,37.0,37.0,36.0
62,38.0,30.0,38.0,38.0,37.0,37.0,37.0,39.0,37.0
63,33.0,33.0,36.0,33.0,37.0,32.0,33.0,34.0,34.0
64,33.0,34.0,35.0,33.0,38.0,35.0,32.0,33.0,34.0
65,36.0,35.0,36.0,36.0,40.0,35.0,33.0,33.0,36.0
66,33.0,34.0,37.0,33.0,37.0,32.0,34.0,35.0,35.0
67,34.0,35.0,36.0,34.0,38.0,35.0,33.0,34.0,35.0
68,36.0,36.0,37.0,36.0,40.0,35.0,34.0,34.0,37.0
69,38.0,36.0,35.0,37.0,37.0,37.0,34.0,34.0,34.0
70,39.0,36.0,36.0,37.0,40.0,38.0,32.0,36.0,33.0
71,38.0,36.0,36.0,37.0,39.0,37.0,34.0,36.0,37.0
72,38.0,36.0,35.0,38.0,36.0,37.0,34.0,38.0,34.0
73,38.0,37.0,36.0,36.0,39.0,37.0,35.0,36.0,36.0
