Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
0,42.0,39.0,40.0,41.0,42.0,45.0,45.0,45.0,42.0,42.0,42.0
1,42.0,43.0,41.0,39.0,39.0,46.0,46.0,46.0,37.0,42.0,42.0
2,44.0,39.0,41.0,39.0,42.0,46.0,46.0,46.0,42.0,44.0,44.0
3,43.0,41.0,40.0,41.0,42.0,46.0,46.0,46.0,43.0,43.0,43.0
4,43.0,43.0,42.0,42.0,42.0,47.0,47.0,47.0,43.0,43.0,43.0
5,45.0,42.0,42.0,42.0,42.0,47.0,47.0,47.0,43.0,45.0,45.0
6,42.0,42.0,40.0,42.0,42.0,43.0,43.0,43.0,42.0,42.0,42.0
7,43.0,44.0,41.0,43.0,40.0,44.0,44.0,44.0,42.0,43.0,43.0
8,44.0,43.0,43.0,43.0,42.0,44.0,44.0,44.0,43.0,44.0,44.0
9,42.0,41.0,43.0,41.0,43.0,42.0,42.0,42.0,41.0,42.0,42.0
10,42.0,43.0,42.0,39.0,40.0,37.0,37.0,40.0,39.0,42.0,42.0
11,44.0,39.0,43.0,39.0,43.0,40.0,40.0,40.0,41.0,44.0,44.0
12,41.0,41.0,42.0,41.0,42.0,41.0,41.0,41.0,42.0,41.0,41.0
13,41.0,42.0,41.0,42.0,42.0,36.0,36.0,40.0,41.0,41.0,41.0
14,43.0,38.0,42.0,42.0,42.0,40.0,40.0,40.0,42.0,43.0,43.0
15,41.0,41.0,41.0,42.0,41.0,42.0,42.0,42.0,41.0,41.0,41.0
16,42.0,43.0,41.0,43.0,43.0,37.0,37.0,40.0,42.0,42.0,42.0
17,43.0,39.0,42.0,43.0,43.0,40.0,40.0,40.0,42.0,43.0,43.0
18,43.0,41.0,40.0,41.0,42.0,45.0,45.0,45.0,42.0,43.0,43.0
19,43.0,43.0,42.0,42.0,42.0,46.0,46.0,46.0,43.0,43.0,43.0
20,45.0,42.0,42.0,42.0,42.0,46.0,46.0,46.0,43.0,45.0,45.0
21,43.0,42.0,40.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0
22,43.0,44.0,42.0,43.0,42.0,44.0,44.0,44.0,42.0,43.0,43.0
23,45.0,43.0,43.0,43.0,42.0,45.0,45.0,45.0,43.0,45.0,45.0
