Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
0,53.0,53.0,51.0,44.0,53.0,50.0,50.0,51.0,51.0,54.0,53.0,52.0
1,52.0,52.0,50.0,48.0,55.0,54.0,54.0,52.0,56.0,49.0,54.0,51.0
2,52.0,49.0,52.0,47.0,52.0,55.0,52.0,49.0,52.0,50.0,52.0,53.0
3,53.0,53.0,54.0,43.0,52.0,50.0,50.0,52.0,53.0,55.0,53.0,54.0
4,56.0,55.0,51.0,50.0,56.0,54.0,54.0,53.0,55.0,54.0,55.0,52.0
5,53.0,53.0,52.0,48.0,54.0,54.0,54.0,54.0,55.0,53.0,55.0,56.0
6,53.0,53.0,55.0,44.0,52.0,51.0,50.0,52.0,54.0,54.0,54.0,51.0
7,52.0,55.0,52.0,51.0,56.0,51.0,51.0,53.0,52.0,51.0,52.0,52.0
8,53.0,53.0,52.0,48.0,54.0,55.0,54.0,54.0,56.0,51.0,52.0,56.0
9,58.0,58.0,55.0,55.0,56.0,55.0,55.0,57.0,57.0,53.0,55.0,53.0
10,59.0,59.0,55.0,55.0,58.0,55.0,55.0,55.0,59.0,51.0,55.0,58.0
11,57.0,57.0,57.0,57.0,55.0,57.0,57.0,56.0,55.0,51.0,57.0,54.0
12,59.0,57.0,54.0,54.0,55.0,55.0,55.0,56.0,56.0,56.0,56.0,52.0
13,58.0,58.0,56.0,57.0,57.0,56.0,56.0,54.0,58.0,55.0,56.0,57.0
14,58.0,56.0,56.0,56.0,54.0,56.0,56.0,55.0,58.0,55.0,57.0,53.0
15,53.0,54.0,53.0,47.0,52.0,51.0,51.0,52.0,53.0,55.0,55.0,51.0
16,54.0,55.0,53.0,52.0,55.0,52.0,52.0,53.0,55.0,56.0,55.0,53.0
17,58.0,55.0,52.0,49.0,52.0,55.0,54.0,51.0,59.0,56.0,55.0,52.0
18,53.0,53.0,54.0,43.0,51.0,50.0,49.0,51.0,57.0,55.0,57.0,55.0
19,56.0,54.0,51.0,50.0,55.0,53.0,53.0,52.0,54.0,53.0,58.0,56.0
20,55.0,53.0,51.0,47.0,53.0,54.0,53.0,53.0,56.0,54.0,56.0,57.0
21,53.0,53.0,55.0,44.0,51.0,51.0,50.0,51.0,58.0,55.0,58.0,54.0
22,56.0,54.0,52.0,51.0,55.0,54.0,54.0,52.0,51.0,54.0,55.0,56.0
23,55.0,53.0,52.0,48.0,53.0,55.0,54.0,53.0,57.0,54.0,56.0,57.0
24,58.0,58.0,54.0,54.0,57.0,54.0,54.0,57.0,58.0,53.0,58.0,57.0
25,59.0,59.0,54.0,54.0,58.0,55.0,54.0,58.0,59.0,54.0,58.0,58.0
26,60.0,60.0,59.0,59.0,59.0,59.0,59.0,59.0,60.0,54.0,56.0,57.0
27,59.0,57.0,53.0,53.0,56.0,54.0,54.0,56.0,57.0,56.0,60.0,56.0
28,58.0,58.0,55.0,57.0,57.0,55.0,55.0,57.0,58.0,57.0,57.0,57.0
29,59.0,59.0,58.0,58.0,58.0,58.0,58.0,58.0,59.0,58.0,60.0,56.0
30,53.0,54.0,53.0,46.0,51.0,50.0,50.0,51.0,53.0,54.0,57.0,51.0
31,55.0,54.0,54.0,52.0,54.0,54.0,54.0,52.0,54.0,58.0,55.0,53.0
32,58.0,56.0,55.0,51.0,56.0,54.0,54.0,52.0,58.0,59.0,59.0,53.0
33,53.0,53.0,55.0,44.0,51.0,51.0,50.0,48.0,53.0,53.0,54.0,50.0
