Scenario,Roll 0,Roll 1,Roll 2,Roll 3
0,59.0,53.0,52.0,55.0
1,55.0,49.0,48.0,54.0
2,60.0,53.0,53.0,56.0
3,63.0,55.0,55.0,57.0
4,62.0,56.0,54.0,58.0
5,61.0,58.0,58.0,59.0
6,63.0,55.0,56.0,55.0
7,62.0,56.0,54.0,56.0
8,61.0,58.0,58.0,56.0
9,59.0,59.0,57.0,53.0
10,57.0,54.0,50.0,54.0
11,59.0,59.0,53.0,55.0
12,58.0,58.0,56.0,54.0
13,56.0,56.0,54.0,58.0
14,58.0,58.0,57.0,59.0
15,57.0,54.0,56.0,55.0
16,54.0,52.0,52.0,57.0
17,58.0,54.0,58.0,60.0
18,63.0,57.0,57.0,57.0
19,62.0,58.0,57.0,58.0
20,61.0,61.0,59.0,59.0
21,63.0,57.0,57.0,57.0
22,62.0,58.0,57.0,59.0
23,61.0,61.0,59.0,59.0
24,59.0,59.0,59.0,58.0
25,60.0,60.0,58.0,57.0
26,60.0,60.0,58.0,59.0
27,58.0,58.0,58.0,57.0
28,62.0,62.0,57.0,58.0
29,62.0,61.0,60.0,60.0
30,57.0,54.0,58.0,57.0
31,58.0,58.0,57.0,59.0
32,62.0,57.0,61.0,61.0
33,60.0,57.0,55.0,55.0
34,59.0,58.0,57.0,56.0
35,61.0,61.0,58.0,56.0
36,59.0,59.0,59.0,53.0
37,60.0,60.0,58.0,55.0
38,60.0,60.0,58.0,55.0
39,58.0,58.0,58.0,54.0
40,62.0,62.0,57.0,59.0
41,62.0,61.0,60.0,59.0
42,57.0,54.0,56.0,55.0
43,58.0,58.0,57.0,60.0
44,62.0,57.0,61.0,60.0
45,57.0,57.0,55.0,52.0
46,54.0,53.0,48.0,52.0
47,58.0,57.0,52.0,55.0
48,58.0,58.0,59.0,54.0
49,55.0,55.0,52.0,55.0
50,58.0,58.0,56.0,59.0
51,57.0,57.0,60.0,55.0
52,54.0,53.0,52.0,56.0
53,57.0,57.0,57.0,59.0
54,57.0,57.0,58.0,54.0
55,55.0,55.0,52.0,57.0
56,57.0,57.0,56.0,59.0
57,57.0,57.0,59.0,54.0
58,55.0,55.0,52.0,58.0
59,57.0,57.0,56.0,59.0
60,56.0,53.0,54.0,54.0
61,53.0,51.0,52.0,59.0
62,57.0,53.0,55.0,58.0
63,62.0,56.0,60.0,57.0
64,61.0,57.0,60.0,57.0
65,60.0,60.0,58.0,59.0
66,62.0,56.0,60.0,57.0
67,61.0,57.0,60.0,58.0
68,60.0,60.0,58.0,59.0
69,58.0,58.0,58.0,58.0
70,59.0,59.0,57.0,56.0
71,60.0,60.0,58.0,59.0
72,57.0,57.0,59.0,57.0
73,61.0,61.0,60.0,58.0
74,62.0,60.0,59.0,59.0
75,57.0,53.0,57.0,57.0
76,58.0,57.0,57.0,59.0
77,62.0,57.0,60.0,60.0
78,59.0,56.0,60.0,54.0
79,59.0,57.0,60.0,55.0
80,60.0,60.0,57.0,57.0
81,58.0,58.0,58.0,58.0
82,59.0,59.0,57.0,56.0
83,60.0,60.0,58.0,58.0
84,57.0,57.0,59.0,57.0
85,61.0,61.0,60.0,58.0
86,62.0,60.0,59.0,60.0
87,57.0,53.0,56.0,55.0
88,58.0,57.0,57.0,59.0
89,62.0,57.0,60.0,61.0
90,57.0,57.0,54.0,56.0
91,58.0,58.0,52.0,56.0
92,59.0,58.0,57.0,58.0
93,58.0,58.0,58.0,58.0
94,59.0,59.0,56.0,59.0
95,59.0,59.0,59.0,60.0
96,57.0,57.0,59.0,58.0
97,58.0,58.0,57.0,60.0
98,58.0,58.0,60.0,60.0
99,57.0,57.0,58.0,57.0
100,58.0,58.0,58.0,58.0
101,62.0,62.0,58.0,60.0
102,57.0,57.0,58.0,57.0
103,58.0,58.0,58.0,59.0
104,62.0,62.0,59.0,60.0
105,56.0,53.0,54.0,55.0
106,54.0,54.0,54.0,58.0
107,58.0,58.0,56.0,59.0
108,55.0,53.0,56.0,54.0
109,56.0,54.0,56.0,53.0
110,60.0,57.0,57.0,52.0
111,58.0,58.0,55.0,52.0
112,59.0,59.0,56.0,51.0
113,60.0,60.0,57.0,55.0
114,57.0,57.0,58.0,54.0
115,58.0,58.0,60.0,55.0
116,59.0,59.0,57.0,55.0
117,54.0,53.0,55.0,55.0
118,55.0,54.0,56.0,56.0
119,59.0,57.0,58.0,56.0
120,57.0,57.0,53.0,52.0
121,58.0,58.0,52.0,52.0
122,59.0,58.0,57.0,54.0
123,58.0,58.0,55.0,54.0
124,59.0,59.0,56.0,55.0
125,59.0,59.0,59.0,58.0
126,57.0,57.0,56.0,55.0
127,58.0,58.0,57.0,56.0
128,58.0,58.0,60.0,59.0
129,57.0,57.0,58.0,54.0
130,58.0,58.0,58.0,55.0
131,62.0,62.0,58.0,58.0
132,57.0,57.0,58.0,54.0
133,58.0,58.0,58.0,55.0
134,62.0,62.0,59.0,58.0
135,53.0,53.0,53.0,54.0
136,54.0,54.0,54.0,56.0
137,58.0,58.0,56.0,56.0
138,57.0,57.0,50.0,50.0
139,52.0,52.0,46.0,51.0
140,57.0,57.0,51.0,54.0
141,56.0,56.0,54.0,54.0
142,53.0,52.0,50.0,54.0
143,56.0,56.0,55.0,58.0
144,56.0,56.0,54.0,53.0
145,52.0,51.0,50.0,55.0
146,56.0,56.0,54.0,57.0
147,56.0,56.0,54.0,54.0
148,52.0,52.0,51.0,54.0
149,56.0,56.0,55.0,58.0
150,56.0,56.0,54.0,54.0
151,52.0,52.0,52.0,54.0
