Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
0,44.0,44.0,45.0,47.0,44.0,41.0,44.0
1,43.0,43.0,45.0,48.0,46.0,39.0,47.0
2,44.0,44.0,49.0,51.0,45.0,39.0,47.0
3,46.0,46.0,48.0,48.0,44.0,46.0,45.0
4,48.0,48.0,47.0,49.0,46.0,44.0,48.0
5,45.0,45.0,50.0,52.0,48.0,45.0,48.0
6,47.0,47.0,49.0,47.0,44.0,47.0,46.0
7,49.0,49.0,47.0,49.0,46.0,45.0,49.0
8,46.0,46.0,51.0,51.0,49.0,46.0,49.0
9,46.0,46.0,48.0,49.0,47.0,45.0,46.0
10,49.0,49.0,47.0,49.0,46.0,44.0,49.0
11,46.0,46.0,49.0,51.0,49.0,45.0,48.0
12,46.0,46.0,48.0,48.0,46.0,46.0,46.0
13,49.0,49.0,47.0,48.0,46.0,45.0,49.0
14,46.0,46.0,49.0,51.0,48.0,46.0,48.0
15,46.0,46.0,45.0,47.0,44.0,46.0,43.0
16,45.0,45.0,42.0,47.0,46.0,45.0,46.0
17,46.0,46.0,46.0,47.0,45.0,46.0,45.0
18,47.0,47.0,49.0,47.0,45.0,45.0,46.0
19,48.0,48.0,49.0,49.0,46.0,43.0,49.0
20,46.0,46.0,50.0,51.0,49.0,44.0,49.0
21,48.0,48.0,48.0,48.0,45.0,46.0,47.0
22,49.0,49.0,50.0,48.0,47.0,44.0,50.0
23,47.0,47.0,51.0,50.0,50.0,45.0,50.0
24,48.0,48.0,49.0,51.0,47.0,48.0,47.0
25,50.0,50.0,49.0,50.0,46.0,50.0,50.0
26,48.0,48.0,49.0,52.0,50.0,48.0,49.0
27,48.0,48.0,49.0,50.0,46.0,48.0,47.0
28,51.0,51.0,49.0,49.0,47.0,51.0,50.0
29,48.0,48.0,49.0,52.0,51.0,48.0,48.0
30,47.0,47.0,49.0,48.0,44.0,47.0,45.0
31,51.0,51.0,46.0,48.0,46.0,51.0,47.0
32,48.0,48.0,48.0,49.0,47.0,48.0,47.0
33,46.0,46.0,48.0,48.0,43.0,46.0,45.0
34,48.0,48.0,48.0,49.0,47.0,44.0,49.0
35,45.0,45.0,48.0,51.0,46.0,43.0,49.0
36,49.0,49.0,50.0,52.0,47.0,49.0,47.0
37,51.0,51.0,50.0,50.0,47.0,51.0,51.0
38,49.0,49.0,50.0,52.0,51.0,49.0,50.0
39,49.0,49.0,50.0,51.0,47.0,49.0,47.0
40,52.0,52.0,50.0,49.0,48.0,52.0,51.0
41,49.0,49.0,50.0,51.0,52.0,49.0,49.0
42,48.0,48.0,50.0,47.0,44.0,48.0,46.0
43,52.0,52.0,47.0,49.0,46.0,52.0,48.0
44,49.0,49.0,49.0,50.0,48.0,49.0,48.0
45,50.0,46.0,48.0,49.0,48.0,49.0,45.0
46,50.0,50.0,47.0,44.0,45.0,45.0,49.0
47,47.0,47.0,48.0,47.0,48.0,46.0,48.0
48,50.0,48.0,48.0,49.0,47.0,49.0,45.0
49,50.0,50.0,47.0,45.0,48.0,50.0,49.0
50,49.0,49.0,48.0,48.0,47.0,49.0,48.0
51,48.0,48.0,48.0,49.0,46.0,48.0,45.0
52,50.0,50.0,47.0,46.0,47.0,50.0,49.0
53,49.0,49.0,47.0,49.0,45.0,49.0,47.0
54,50.0,48.0,48.0,48.0,46.0,49.0,44.0
55,50.0,50.0,46.0,44.0,47.0,50.0,48.0
56,49.0,49.0,47.0,47.0,46.0,49.0,47.0
57,48.0,48.0,48.0,48.0,46.0,48.0,45.0
58,50.0,50.0,47.0,45.0,47.0,50.0,49.0
59,49.0,49.0,47.0,48.0,47.0,49.0,47.0
60,47.0,47.0,44.0,46.0,43.0,47.0,42.0
61,46.0,46.0,43.0,42.0,45.0,46.0,46.0
62,46.0,46.0,47.0,46.0,44.0,46.0,44.0
63,46.0,46.0,48.0,47.0,45.0,44.0,45.0
64,47.0,47.0,49.0,48.0,46.0,42.0,49.0
65,46.0,46.0,49.0,50.0,49.0,43.0,49.0
66,47.0,47.0,47.0,48.0,45.0,45.0,46.0
