Scenario,Roll 0
0,32.0
1,36.0
2,33.0
3,33.0
4,38.0
5,35.0
6,34.0
7,37.0
8,35.0
9,31.0
10,33.0
11,33.0
12,32.0
13,34.0
14,34.0
15,33.0
16,35.0
17,35.0
18,35.0
19,37.0
20,36.0
21,36.0
22,38.0
23,37.0
24,33.0
25,34.0
26,35.0
27,34.0
28,36.0
29,36.0
30,35.0
31,37.0
32,37.0
33,35.0
34,37.0
35,36.0
36,32.0
37,33.0
38,34.0
39,33.0
40,35.0
41,35.0
42,34.0
43,36.0
44,36.0
45,34.0
46,34.0
47,33.0
48,34.0
49,33.0
50,34.0
51,35.0
52,34.0
53,35.0
54,33.0
55,32.0
56,33.0
57,34.0
58,33.0
59,34.0
60,33.0
61,33.0
62,35.0
63,34.0
64,36.0
65,35.0
66,35.0
67,37.0
68,36.0
69,32.0
70,33.0
71,35.0
72,33.0
73,35.0
74,35.0
75,34.0
76,36.0
77,36.0
78,34.0
79,36.0
80,35.0
81,31.0
82,32.0
83,36.0
84,32.0
85,34.0
86,35.0
87,33.0
88,35.0
89,35.0
90,36.0
91,36.0
92,35.0
93,35.0
94,35.0
95,36.0
96,36.0
97,35.0
98,37.0
99,34.0
100,34.0
101,35.0
102,35.0
103,34.0
104,36.0
105,35.0
106,35.0
107,37.0
108,30.0
109,35.0
110,31.0
111,29.0
112,32.0
113,35.0
114,31.0
115,33.0
116,34.0
117,32.0
118,34.0
119,34.0
120,35.0
121,35.0
122,34.0
123,34.0
124,34.0
125,35.0
126,35.0
127,34.0
128,36.0
129,33.0
130,33.0
131,34.0
132,34.0
133,33.0
134,35.0
135,34.0
136,34.0
137,36.0
138,34.0
139,34.0
140,34.0
141,35.0
142,35.0
143,35.0
144,34.0
145,36.0
146,36.0
147,34.0
148,34.0
149,35.0
150,35.0
151,35.0
152,36.0
153,34.0
154,36.0
155,36.0
156,33.0
157,33.0
158,34.0
159,34.0
160,34.0
161,35.0
162,33.0
163,35.0
164,35.0
165,28.0
166,34.0
167,34.0
