Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
0,50.0,57.0,56.0,54.0,53.0,55.0,48.0,57.0,51.0,53.0,52.0,55.0,55.0
1,49.0,55.0,55.0,54.0,51.0,55.0,50.0,51.0,55.0,51.0,51.0,44.0,51.0
2,51.0,54.0,53.0,52.0,47.0,55.0,47.0,53.0,52.0,47.0,54.0,48.0,53.0
3,55.0,57.0,60.0,58.0,53.0,56.0,52.0,59.0,55.0,53.0,56.0,56.0,56.0
4,56.0,60.0,59.0,57.0,51.0,55.0,54.0,55.0,59.0,51.0,56.0,50.0,55.0
5,56.0,58.0,57.0,57.0,48.0,56.0,51.0,56.0,57.0,50.0,56.0,52.0,56.0
6,53.0,55.0,57.0,58.0,54.0,56.0,53.0,57.0,53.0,54.0,52.0,56.0,55.0
7,57.0,60.0,58.0,58.0,52.0,56.0,54.0,56.0,58.0,52.0,54.0,51.0,55.0
8,52.0,58.0,55.0,57.0,48.0,56.0,50.0,53.0,54.0,48.0,55.0,53.0,55.0
9,52.0,54.0,57.0,56.0,57.0,58.0,53.0,53.0,55.0,57.0,55.0,58.0,58.0
10,53.0,55.0,53.0,56.0,53.0,56.0,56.0,55.0,54.0,53.0,54.0,50.0,51.0
11,53.0,55.0,54.0,53.0,53.0,56.0,52.0,55.0,53.0,53.0,56.0,51.0,54.0
12,56.0,53.0,56.0,55.0,58.0,58.0,52.0,58.0,55.0,58.0,54.0,58.0,58.0
13,55.0,55.0,59.0,55.0,56.0,57.0,55.0,57.0,54.0,56.0,53.0,52.0,55.0
14,57.0,55.0,57.0,53.0,56.0,58.0,51.0,56.0,57.0,56.0,55.0,54.0,56.0
15,53.0,54.0,57.0,56.0,57.0,57.0,53.0,59.0,53.0,57.0,52.0,56.0,57.0
16,49.0,56.0,60.0,56.0,55.0,57.0,55.0,54.0,54.0,55.0,53.0,51.0,56.0
17,51.0,51.0,57.0,54.0,55.0,57.0,51.0,54.0,52.0,55.0,55.0,53.0,57.0
18,59.0,56.0,60.0,59.0,53.0,56.0,55.0,60.0,59.0,53.0,56.0,57.0,56.0
19,56.0,60.0,59.0,58.0,51.0,55.0,54.0,56.0,59.0,51.0,56.0,54.0,54.0
20,57.0,58.0,57.0,58.0,48.0,56.0,54.0,58.0,59.0,50.0,56.0,55.0,55.0
21,58.0,54.0,58.0,59.0,54.0,57.0,55.0,58.0,58.0,54.0,56.0,57.0,56.0
22,57.0,60.0,59.0,59.0,52.0,56.0,54.0,57.0,59.0,52.0,57.0,55.0,55.0
23,56.0,57.0,55.0,59.0,49.0,57.0,54.0,56.0,58.0,51.0,57.0,56.0,56.0
24,55.0,57.0,57.0,60.0,57.0,58.0,55.0,57.0,58.0,57.0,56.0,59.0,58.0
25,57.0,59.0,57.0,56.0,53.0,56.0,58.0,57.0,58.0,53.0,57.0,54.0,55.0
26,57.0,59.0,57.0,55.0,53.0,56.0,56.0,57.0,58.0,53.0,57.0,54.0,56.0
27,59.0,56.0,60.0,59.0,58.0,58.0,56.0,59.0,58.0,58.0,55.0,59.0,58.0
28,59.0,59.0,60.0,55.0,56.0,58.0,58.0,59.0,58.0,56.0,57.0,56.0,57.0
29,60.0,59.0,60.0,57.0,56.0,58.0,55.0,57.0,58.0,56.0,57.0,57.0,57.0
30,55.0,54.0,60.0,60.0,57.0,57.0,52.0,59.0,56.0,57.0,56.0,57.0,57.0
31,54.0,60.0,60.0,55.0,55.0,59.0,59.0,59.0,58.0,55.0,58.0,55.0,58.0
32,58.0,55.0,61.0,57.0,55.0,58.0,55.0,58.0,58.0,55.0,57.0,56.0,58.0
33,53.0,54.0,58.0,58.0,54.0,56.0,52.0,57.0,53.0,54.0,55.0,56.0,56.0
34,53.0,60.0,58.0,59.0,52.0,54.0,54.0,56.0,58.0,52.0,55.0,55.0,55.0
35,52.0,55.0,55.0,59.0,48.0,55.0,50.0,54.0,53.0,48.0,55.0,55.0,55.0
36,54.0,57.0,57.0,60.0,58.0,59.0,55.0,53.0,54.0,58.0,55.0,58.0,58.0
37,55.0,59.0,58.0,56.0,54.0,55.0,57.0,55.0,59.0,54.0,58.0,54.0,55.0
38,54.0,59.0,55.0,55.0,54.0,57.0,55.0,57.0,54.0,54.0,58.0,54.0,55.0
39,58.0,56.0,58.0,59.0,59.0,59.0,57.0,58.0,54.0,59.0,54.0,58.0,58.0
40,59.0,59.0,59.0,56.0,57.0,57.0,58.0,58.0,59.0,57.0,58.0,56.0,55.0
41,58.0,59.0,59.0,58.0,57.0,59.0,54.0,58.0,58.0,57.0,58.0,56.0,56.0
42,55.0,54.0,59.0,60.0,58.0,58.0,53.0,57.0,55.0,58.0,54.0,57.0,57.0
43,55.0,60.0,60.0,56.0,56.0,57.0,58.0,59.0,59.0,56.0,56.0,56.0,56.0
44,59.0,55.0,60.0,58.0,56.0,58.0,55.0,59.0,59.0,56.0,55.0,57.0,57.0
45,54.0,56.0,57.0,56.0,56.0,57.0,54.0,54.0,56.0,56.0,56.0,52.0,58.0
46,54.0,55.0,57.0,56.0,58.0,58.0,56.0,57.0,53.0,58.0,54.0,49.0,54.0
47,58.0,52.0,55.0,53.0,57.0,57.0,51.0,55.0,53.0,57.0,57.0,51.0,55.0
48,58.0,56.0,58.0,56.0,57.0,57.0,56.0,54.0,56.0,57.0,56.0,57.0,58.0
49,57.0,55.0,59.0,56.0,59.0,59.0,58.0,57.0,54.0,59.0,54.0,52.0,57.0
50,57.0,52.0,57.0,53.0,58.0,58.0,53.0,58.0,58.0,58.0,56.0,55.0,58.0
