Piece,Rotation,Flip,Row,Col,Turn
Piece.HIGHWAY_CORNER,Rotation.I,False,0,2,1
Piece.HIGHWAY_CORNER,Rotation.I,False,1,1,1
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,0,0,1
Piece.STRAIGHT_STATION,Rotation.R270,False,1,0,1
Piece.THREE_H_JUNCTION,Rotation.R90,False,0,1,1
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,6,2
Piece.RAILWAY_CORNER,Rotation.R90,False,1,5,2
Piece.CORNER_JUNCTION,Rotation.I,False,0,5,2
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,0,6,2
Piece.RAILWAY_CORNER,Rotation.R90,False,0,3,3
Piece.THREE_R_JUNCTION,Rotation.R90,False,0,4,3
Piece.RAILWAY_CORNER,Rotation.R270,False,5,0,3
Piece.OVERPASS,Rotation.R90,False,6,0,3
Piece.HIGHWAY_CORNER,Rotation.R270,False,6,1,3
Piece.CORNER_STATION,Rotation.R180,True,3,3,4
Piece.RAILWAY_STRAIGHT,Rotation.I,False,1,4,4
Piece.RAILWAY_CORNER,Rotation.I,False,3,4,4
Piece.RAILWAY_STRAIGHT,Rotation.I,False,2,4,4
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,4,4,5
Piece.RAILWAY_CORNER,Rotation.R270,False,3,2,5
Piece.OVERPASS,Rotation.R90,False,4,2,5
Piece.HIGHWAY_T,Rotation.I,False,4,3,5
Piece.HIGHWAY_CORNER,Rotation.R270,False,3,0,6
Piece.HIGHWAY_CORNER,Rotation.R90,False,4,0,6
Piece.RAILWAY_STRAIGHT,Rotation.I,False,5,2,6
Piece.STRAIGHT_STATION,Rotation.I,False,6,5,6
