Scenario,Roll 0,Roll 1,Roll 2,Roll 3
0,47.0,47.0,45.0,45.0
1,48.0,48.0,47.0,46.0
2,48.0,48.0,47.0,46.0
3,46.0,46.0,45.0,44.0
4,47.0,47.0,46.0,45.0
5,47.0,47.0,46.0,45.0
6,46.0,46.0,45.0,45.0
7,48.0,48.0,47.0,46.0
8,48.0,48.0,47.0,46.0
9,46.0,46.0,45.0,44.0
10,47.0,47.0,47.0,45.0
11,48.0,48.0,47.0,46.0
12,45.0,45.0,45.0,43.0
13,46.0,46.0,46.0,45.0
14,47.0,47.0,46.0,45.0
15,46.0,46.0,45.0,44.0
16,47.0,47.0,47.0,45.0
17,48.0,48.0,47.0,46.0
18,44.0,44.0,44.0,43.0
19,46.0,46.0,45.0,44.0
20,46.0,46.0,45.0,44.0
21,45.0,45.0,45.0,44.0
22,47.0,47.0,46.0,45.0
23,47.0,47.0,46.0,45.0
24,45.0,45.0,44.0,43.0
25,47.0,47.0,46.0,45.0
26,47.0,47.0,46.0,45.0
27,44.0,44.0,44.0,43.0
28,46.0,46.0,45.0,44.0
29,46.0,46.0,45.0,44.0
30,45.0,45.0,44.0,43.0
31,47.0,47.0,46.0,45.0
32,47.0,47.0,46.0,45.0
33,46.0,46.0,45.0,44.0
34,48.0,48.0,47.0,46.0
35,48.0,48.0,47.0,46.0
36,46.0,46.0,45.0,44.0
37,48.0,48.0,46.0,46.0
38,48.0,48.0,47.0,46.0
39,45.0,45.0,45.0,43.0
40,47.0,47.0,45.0,45.0
41,47.0,47.0,46.0,45.0
42,46.0,46.0,45.0,44.0
43,48.0,48.0,46.0,46.0
44,48.0,48.0,47.0,46.0
45,46.0,46.0,45.0,44.0
46,48.0,48.0,46.0,46.0
47,48.0,48.0,47.0,46.0
48,45.0,45.0,44.0,43.0
49,47.0,47.0,45.0,45.0
50,47.0,47.0,46.0,45.0
51,46.0,46.0,45.0,44.0
52,48.0,48.0,46.0,46.0
53,48.0,48.0,47.0,46.0
54,44.0,44.0,43.0,43.0
55,46.0,46.0,45.0,44.0
56,46.0,46.0,45.0,44.0
57,45.0,45.0,44.0,43.0
