Move,Piece,Rotation,Flip,Row,Col
0,Piece.RAILWAY_CORNER,Rotation.R180,False,1,3
0,Piece.RAILWAY_CORNER,Rotation.R180,False,1,6
0,Piece.STRAIGHT_STATION,Rotation.I,False,4,5
0,Piece.HIGHWAY_CORNER,Rotation.I,False,3,5
1,Piece.RAILWAY_CORNER,Rotation.R180,False,1,6
1,Piece.RAILWAY_CORNER,Rotation.I,False,2,6
1,Piece.STRAIGHT_STATION,Rotation.I,False,4,5
1,Piece.HIGHWAY_CORNER,Rotation.I,False,3,5
2,Piece.RAILWAY_CORNER,Rotation.R180,False,1,3
2,Piece.STRAIGHT_STATION,Rotation.I,False,4,5
2,Piece.RAILWAY_CORNER,Rotation.I,False,2,3
2,Piece.HIGHWAY_CORNER,Rotation.R90,False,3,5
3,Piece.RAILWAY_CORNER,Rotation.R90,False,1,3
3,Piece.RAILWAY_CORNER,Rotation.R180,False,1,6
3,Piece.STRAIGHT_STATION,Rotation.R270,False,3,6
3,Piece.HIGHWAY_CORNER,Rotation.R270,False,4,5
4,Piece.RAILWAY_CORNER,Rotation.R180,False,1,6
4,Piece.STRAIGHT_STATION,Rotation.I,False,0,3
4,Piece.RAILWAY_CORNER,Rotation.I,False,2,6
4,Piece.HIGHWAY_CORNER,Rotation.R90,False,3,5
5,Piece.RAILWAY_CORNER,Rotation.R180,False,1,3
5,Piece.RAILWAY_CORNER,Rotation.R180,False,1,6
5,Piece.HIGHWAY_CORNER,Rotation.I,False,3,6
5,Piece.STRAIGHT_STATION,Rotation.I,False,2,6
6,Piece.RAILWAY_CORNER,Rotation.R90,False,1,3
6,Piece.STRAIGHT_STATION,Rotation.R270,False,4,4
6,Piece.HIGHWAY_CORNER,Rotation.R270,False,4,5
6,Piece.RAILWAY_CORNER,Rotation.R90,False,4,3
7,Piece.RAILWAY_CORNER,Rotation.R180,False,1,3
7,Piece.RAILWAY_CORNER,Rotation.R180,False,1,6
7,Piece.STRAIGHT_STATION,Rotation.I,False,2,3
7,Piece.HIGHWAY_CORNER,Rotation.I,False,3,5
8,Piece.RAILWAY_CORNER,Rotation.R180,False,1,3
8,Piece.RAILWAY_CORNER,Rotation.R180,False,1,6
8,Piece.HIGHWAY_CORNER,Rotation.R90,False,3,3
8,Piece.STRAIGHT_STATION,Rotation.I,False,2,3
9,Piece.RAILWAY_CORNER,Rotation.R180,False,1,6
9,Piece.STRAIGHT_STATION,Rotation.R270,False,3,6
9,Piece.RAILWAY_CORNER,Rotation.I,False,2,6
9,Piece.HIGHWAY_CORNER,Rotation.I,False,3,5
10,Piece.STRAIGHT_STATION,Rotation.R90,False,3,0
10,Piece.RAILWAY_CORNER,Rotation.R180,False,1,6
10,Piece.RAILWAY_CORNER,Rotation.I,False,2,6
10,Piece.HIGHWAY_CORNER,Rotation.I,False,3,5
11,Piece.RAILWAY_CORNER,Rotation.R90,False,1,3
11,Piece.STRAIGHT_STATION,Rotation.R90,False,3,0
11,Piece.RAILWAY_CORNER,Rotation.I,False,2,6
11,Piece.HIGHWAY_CORNER,Rotation.R90,False,3,5
12,Piece.RAILWAY_CORNER,Rotation.R180,False,1,3
12,Piece.STRAIGHT_STATION,Rotation.I,False,3,6
12,Piece.RAILWAY_CORNER,Rotation.R270,False,2,6
12,Piece.HIGHWAY_CORNER,Rotation.R270,False,4,5
13,Piece.RAILWAY_CORNER,Rotation.R180,False,1,3
13,Piece.STRAIGHT_STATION,Rotation.R90,False,2,2
13,Piece.RAILWAY_CORNER,Rotation.I,False,2,3
13,Piece.HIGHWAY_CORNER,Rotation.R90,False,3,5
14,Piece.RAILWAY_CORNER,Rotation.R180,False,1,3
14,Piece.STRAIGHT_STATION,Rotation.R180,False,1,6
14,Piece.RAILWAY_CORNER,Rotation.I,False,2,6
14,Piece.HIGHWAY_CORNER,Rotation.R90,False,3,5
15,Piece.RAILWAY_CORNER,Rotation.R180,False,1,6
15,Piece.RAILWAY_CORNER,Rotation.R90,False,0,3
15,Piece.STRAIGHT_STATION,Rotation.I,False,2,6
15,Piece.HIGHWAY_CORNER,Rotation.R90,False,3,5
