Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
0,48.0,45.0,47.0,46.0,49.0,46.0,46.0,46.0,47.0,44.0,46.0,46.0
1,48.0,48.0,53.0,48.0,49.0,48.0,48.0,48.0,53.0,48.0,48.0,48.0
2,54.0,47.0,52.0,48.0,54.0,48.0,48.0,51.0,52.0,47.0,48.0,48.0
3,48.0,44.0,50.0,46.0,50.0,46.0,46.0,46.0,50.0,44.0,46.0,46.0
4,51.0,49.0,52.0,48.0,53.0,48.0,48.0,50.0,52.0,49.0,50.0,48.0
5,54.0,47.0,52.0,48.0,54.0,48.0,48.0,51.0,52.0,47.0,50.0,48.0
6,49.0,45.0,48.0,47.0,51.0,46.0,46.0,47.0,48.0,44.0,46.0,47.0
7,51.0,48.0,50.0,49.0,53.0,48.0,48.0,51.0,50.0,48.0,48.0,49.0
8,55.0,47.0,53.0,49.0,55.0,48.0,48.0,49.0,53.0,48.0,48.0,49.0
9,53.0,54.0,56.0,56.0,53.0,56.0,56.0,56.0,56.0,53.0,56.0,56.0
10,53.0,57.0,57.0,57.0,53.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
11,55.0,57.0,57.0,57.0,55.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
12,53.0,53.0,55.0,55.0,53.0,55.0,55.0,55.0,55.0,52.0,55.0,55.0
13,53.0,56.0,56.0,56.0,53.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
14,55.0,56.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
15,49.0,46.0,48.0,48.0,50.0,48.0,48.0,48.0,48.0,45.0,48.0,48.0
16,50.0,49.0,50.0,49.0,52.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0
17,54.0,49.0,54.0,49.0,54.0,49.0,49.0,49.0,54.0,49.0,49.0,49.0
18,47.0,43.0,50.0,47.0,49.0,47.0,47.0,47.0,50.0,43.0,46.0,47.0
19,51.0,48.0,52.0,48.0,54.0,48.0,48.0,49.0,52.0,48.0,50.0,48.0
20,53.0,47.0,54.0,48.0,53.0,48.0,48.0,50.0,54.0,47.0,50.0,48.0
21,48.0,44.0,51.0,48.0,50.0,48.0,48.0,48.0,51.0,44.0,46.0,48.0
22,52.0,49.0,53.0,49.0,55.0,49.0,49.0,50.0,53.0,49.0,50.0,49.0
23,54.0,47.0,55.0,49.0,54.0,49.0,49.0,49.0,55.0,48.0,50.0,49.0
24,52.0,53.0,56.0,56.0,54.0,56.0,56.0,56.0,56.0,53.0,56.0,56.0
25,55.0,58.0,57.0,57.0,55.0,57.0,57.0,57.0,57.0,58.0,60.0,57.0
26,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,60.0,57.0
27,52.0,52.0,55.0,55.0,54.0,55.0,55.0,55.0,55.0,52.0,55.0,55.0
28,55.0,57.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,57.0,59.0,56.0
29,57.0,56.0,56.0,56.0,57.0,56.0,56.0,56.0,56.0,56.0,59.0,56.0
30,48.0,45.0,50.0,48.0,49.0,48.0,48.0,48.0,50.0,45.0,48.0,48.0
31,51.0,50.0,52.0,49.0,54.0,49.0,49.0,49.0,52.0,50.0,52.0,49.0
32,53.0,49.0,54.0,49.0,53.0,49.0,49.0,50.0,54.0,49.0,52.0,49.0
33,48.0,44.0,48.0,47.0,48.0,46.0,46.0,46.0,48.0,44.0,46.0,47.0
34,52.0,47.0,54.0,49.0,53.0,48.0,48.0,48.0,54.0,47.0,48.0,49.0
35,54.0,47.0,53.0,49.0,54.0,48.0,48.0,48.0,53.0,47.0,48.0,49.0
36,52.0,54.0,57.0,57.0,55.0,56.0,56.0,56.0,56.0,54.0,56.0,56.0
37,56.0,57.0,58.0,58.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
38,58.0,57.0,58.0,58.0,58.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
39,52.0,53.0,56.0,56.0,55.0,55.0,55.0,55.0,55.0,53.0,55.0,55.0
40,56.0,56.0,57.0,57.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
41,58.0,56.0,57.0,57.0,58.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
42,49.0,46.0,49.0,49.0,50.0,48.0,48.0,48.0,49.0,46.0,48.0,49.0
43,52.0,49.0,53.0,50.0,55.0,49.0,49.0,49.0,53.0,49.0,49.0,50.0
44,54.0,49.0,54.0,50.0,54.0,49.0,49.0,51.0,54.0,49.0,49.0,50.0
45,51.0,56.0,58.0,57.0,54.0,57.0,57.0,57.0,58.0,55.0,57.0,57.0
46,53.0,59.0,59.0,58.0,54.0,58.0,58.0,58.0,59.0,59.0,59.0,58.0
47,55.0,57.0,59.0,58.0,55.0,58.0,58.0,58.0,59.0,57.0,59.0,58.0
48,52.0,56.0,57.0,56.0,54.0,56.0,56.0,56.0,57.0,55.0,56.0,56.0
49,54.0,59.0,58.0,58.0,54.0,57.0,58.0,57.0,58.0,58.0,59.0,57.0
50,55.0,57.0,58.0,58.0,55.0,58.0,58.0,58.0,58.0,57.0,59.0,58.0
51,52.0,53.0,57.0,56.0,54.0,56.0,57.0,56.0,57.0,53.0,56.0,56.0
52,55.0,59.0,58.0,58.0,55.0,57.0,58.0,57.0,58.0,58.0,57.0,57.0
53,56.0,57.0,58.0,58.0,56.0,58.0,58.0,58.0,58.0,57.0,58.0,58.0
54,52.0,55.0,56.0,55.0,54.0,55.0,55.0,55.0,56.0,54.0,55.0,55.0
55,54.0,58.0,57.0,57.0,54.0,57.0,57.0,57.0,57.0,57.0,58.0,57.0
56,55.0,56.0,57.0,57.0,55.0,57.0,57.0,57.0,57.0,56.0,58.0,57.0
57,52.0,53.0,56.0,55.0,54.0,56.0,56.0,56.0,56.0,52.0,56.0,56.0
58,55.0,58.0,57.0,57.0,55.0,57.0,57.0,57.0,57.0,58.0,57.0,57.0
59,56.0,56.0,57.0,57.0,56.0,57.0,57.0,57.0,57.0,56.0,57.0,57.0
60,49.0,46.0,50.0,48.0,49.0,49.0,49.0,49.0,50.0,45.0,49.0,49.0
61,51.0,51.0,51.0,50.0,54.0,50.0,50.0,50.0,51.0,51.0,50.0,50.0
62,53.0,49.0,55.0,50.0,53.0,50.0,50.0,50.0,55.0,49.0,50.0,50.0
63,46.0,42.0,49.0,46.0,48.0,46.0,46.0,46.0,49.0,42.0,46.0,46.0
64,50.0,47.0,51.0,47.0,53.0,47.0,47.0,48.0,51.0,47.0,48.0,47.0
65,52.0,47.0,53.0,47.0,52.0,47.0,47.0,49.0,53.0,47.0,50.0,47.0
66,47.0,43.0,50.0,47.0,49.0,47.0,47.0,47.0,50.0,43.0,46.0,47.0
67,51.0,48.0,52.0,48.0,54.0,48.0,48.0,49.0,52.0,48.0,49.0,48.0
68,53.0,47.0,54.0,48.0,53.0,48.0,48.0,48.0,54.0,47.0,50.0,48.0
69,51.0,52.0,55.0,55.0,53.0,55.0,55.0,55.0,55.0,52.0,56.0,55.0
70,55.0,57.0,56.0,56.0,58.0,56.0,56.0,56.0,56.0,57.0,59.0,56.0
71,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,60.0,56.0
72,51.0,51.0,54.0,54.0,53.0,54.0,54.0,54.0,54.0,51.0,55.0,54.0
73,55.0,56.0,55.0,55.0,58.0,55.0,55.0,55.0,55.0,56.0,58.0,55.0
74,56.0,55.0,55.0,55.0,56.0,55.0,55.0,55.0,55.0,55.0,59.0,55.0
75,47.0,44.0,49.0,47.0,48.0,47.0,47.0,47.0,49.0,44.0,48.0,47.0
76,50.0,49.0,51.0,48.0,53.0,48.0,48.0,48.0,51.0,49.0,51.0,48.0
77,52.0,48.0,53.0,48.0,52.0,48.0,48.0,49.0,53.0,48.0,52.0,48.0
78,47.0,43.0,48.0,47.0,48.0,47.0,47.0,47.0,48.0,44.0,46.0,47.0
79,51.0,47.0,53.0,49.0,53.0,49.0,49.0,49.0,53.0,47.0,48.0,49.0
80,53.0,47.0,53.0,49.0,53.0,49.0,49.0,49.0,53.0,47.0,48.0,49.0
81,51.0,53.0,56.0,56.0,54.0,56.0,56.0,56.0,56.0,53.0,56.0,56.0
82,56.0,58.0,57.0,57.0,59.0,57.0,57.0,57.0,57.0,58.0,57.0,57.0
83,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,57.0,57.0
84,51.0,52.0,55.0,55.0,54.0,55.0,55.0,55.0,55.0,52.0,55.0,55.0
85,56.0,57.0,56.0,56.0,59.0,56.0,56.0,56.0,56.0,57.0,56.0,56.0
86,57.0,55.0,56.0,56.0,57.0,56.0,56.0,56.0,56.0,55.0,56.0,56.0
87,48.0,45.0,49.0,48.0,49.0,48.0,48.0,48.0,49.0,45.0,48.0,48.0
88,51.0,50.0,52.0,49.0,54.0,49.0,49.0,49.0,52.0,50.0,49.0,49.0
89,53.0,48.0,54.0,49.0,53.0,49.0,49.0,50.0,54.0,48.0,50.0,49.0
90,50.0,55.0,57.0,56.0,53.0,56.0,56.0,56.0,57.0,54.0,56.0,56.0
91,56.0,58.0,58.0,57.0,56.0,57.0,57.0,57.0,58.0,58.0,58.0,57.0
92,56.0,56.0,58.0,57.0,56.0,57.0,57.0,57.0,58.0,56.0,60.0,57.0
93,51.0,55.0,56.0,55.0,53.0,55.0,55.0,55.0,56.0,54.0,56.0,55.0
94,56.0,58.0,57.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0,58.0,57.0
95,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,60.0,57.0
96,51.0,52.0,56.0,55.0,53.0,55.0,56.0,55.0,56.0,52.0,56.0,55.0
97,57.0,58.0,57.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
98,57.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,60.0,57.0
99,51.0,54.0,55.0,54.0,53.0,54.0,54.0,54.0,55.0,53.0,55.0,54.0
100,56.0,57.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,57.0,56.0
