Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
0,47.0,44.0,44.0,41.0,46.0,46.0,47.0,47.0,44.0,49.0,48.0,40.0,38.0,46.0
1,48.0,42.0,42.0,42.0,38.0,38.0,49.0,49.0,46.0,50.0,49.0,46.0,44.0,47.0
2,50.0,43.0,44.0,42.0,43.0,42.0,53.0,53.0,48.0,50.0,49.0,44.0,43.0,49.0
3,48.0,43.0,44.0,41.0,46.0,50.0,51.0,51.0,46.0,51.0,51.0,44.0,40.0,47.0
4,49.0,41.0,43.0,41.0,41.0,42.0,50.0,50.0,47.0,51.0,48.0,45.0,44.0,48.0
5,50.0,42.0,44.0,42.0,42.0,47.0,53.0,53.0,48.0,51.0,49.0,44.0,43.0,49.0
6,49.0,41.0,45.0,41.0,47.0,51.0,52.0,52.0,47.0,50.0,50.0,43.0,41.0,48.0
7,50.0,42.0,44.0,40.0,42.0,43.0,51.0,51.0,48.0,51.0,49.0,46.0,45.0,49.0
8,50.0,43.0,45.0,42.0,43.0,47.0,54.0,54.0,48.0,51.0,48.0,43.0,44.0,49.0
9,47.0,47.0,48.0,51.0,45.0,46.0,47.0,47.0,47.0,51.0,48.0,46.0,46.0,46.0
10,48.0,49.0,46.0,50.0,39.0,43.0,49.0,49.0,46.0,51.0,47.0,51.0,49.0,47.0
11,51.0,51.0,46.0,50.0,44.0,42.0,51.0,51.0,49.0,51.0,48.0,48.0,50.0,50.0
12,47.0,46.0,47.0,50.0,45.0,50.0,47.0,47.0,46.0,52.0,47.0,46.0,45.0,46.0
13,48.0,48.0,46.0,49.0,47.0,51.0,49.0,49.0,48.0,51.0,47.0,51.0,49.0,47.0
14,51.0,52.0,47.0,49.0,51.0,50.0,50.0,50.0,49.0,51.0,50.0,50.0,50.0,50.0
15,47.0,37.0,45.0,41.0,46.0,51.0,48.0,48.0,45.0,51.0,48.0,39.0,38.0,46.0
16,49.0,41.0,47.0,43.0,48.0,48.0,50.0,50.0,49.0,52.0,48.0,45.0,43.0,48.0
17,48.0,42.0,46.0,46.0,49.0,51.0,51.0,51.0,46.0,50.0,50.0,43.0,42.0,47.0
18,48.0,42.0,43.0,40.0,46.0,51.0,52.0,52.0,46.0,52.0,50.0,44.0,39.0,47.0
19,50.0,40.0,44.0,40.0,40.0,45.0,51.0,51.0,48.0,50.0,47.0,44.0,44.0,49.0
20,49.0,42.0,43.0,41.0,42.0,46.0,52.0,52.0,47.0,52.0,48.0,43.0,43.0,48.0
21,49.0,40.0,44.0,40.0,47.0,52.0,53.0,53.0,47.0,52.0,49.0,45.0,40.0,48.0
22,51.0,41.0,45.0,40.0,41.0,46.0,52.0,52.0,49.0,50.0,48.0,45.0,44.0,50.0
23,49.0,43.0,44.0,41.0,43.0,47.0,53.0,53.0,47.0,52.0,48.0,42.0,43.0,48.0
24,46.0,46.0,47.0,50.0,44.0,45.0,46.0,46.0,46.0,50.0,48.0,45.0,45.0,45.0
25,50.0,51.0,48.0,49.0,42.0,42.0,50.0,50.0,47.0,50.0,49.0,50.0,50.0,49.0
26,50.0,50.0,45.0,49.0,43.0,41.0,50.0,50.0,48.0,50.0,48.0,47.0,51.0,49.0
27,46.0,45.0,46.0,49.0,44.0,49.0,46.0,46.0,45.0,51.0,47.0,45.0,46.0,45.0
28,50.0,50.0,47.0,48.0,49.0,50.0,49.0,49.0,47.0,50.0,48.0,50.0,50.0,49.0
29,50.0,51.0,47.0,48.0,50.0,49.0,49.0,49.0,48.0,50.0,49.0,49.0,51.0,49.0
