Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
0,49.0,49.0,50.0,50.0,50.0,50.0,49.0,49.0,49.0
1,45.0,45.0,45.0,45.0,49.0,49.0,49.0,43.0,43.0
2,45.0,44.0,46.0,45.0,49.0,49.0,49.0,44.0,44.0
3,49.0,49.0,50.0,50.0,51.0,51.0,51.0,49.0,49.0
4,48.0,45.0,49.0,45.0,49.0,49.0,49.0,44.0,44.0
5,49.0,46.0,49.0,49.0,53.0,53.0,53.0,46.0,46.0
6,49.0,49.0,51.0,51.0,51.0,51.0,51.0,49.0,49.0
7,48.0,44.0,49.0,45.0,48.0,48.0,48.0,44.0,44.0
8,49.0,46.0,50.0,50.0,53.0,53.0,53.0,46.0,46.0
9,50.0,50.0,49.0,49.0,51.0,51.0,51.0,48.0,48.0
10,45.0,45.0,49.0,49.0,52.0,52.0,52.0,45.0,45.0
11,46.0,44.0,46.0,45.0,49.0,49.0,51.0,44.0,44.0
12,49.0,49.0,51.0,51.0,51.0,51.0,51.0,48.0,48.0
13,50.0,50.0,51.0,51.0,51.0,51.0,51.0,50.0,50.0
14,51.0,51.0,51.0,51.0,53.0,53.0,53.0,50.0,50.0
15,50.0,50.0,52.0,52.0,52.0,52.0,52.0,49.0,49.0
16,51.0,51.0,51.0,51.0,52.0,52.0,52.0,50.0,50.0
17,52.0,52.0,52.0,52.0,54.0,54.0,54.0,50.0,50.0
18,50.0,48.0,50.0,50.0,51.0,51.0,51.0,49.0,49.0
19,48.0,44.0,49.0,44.0,49.0,49.0,49.0,48.0,48.0
20,52.0,46.0,52.0,49.0,53.0,53.0,53.0,48.0,48.0
21,50.0,49.0,51.0,51.0,51.0,51.0,51.0,50.0,50.0
22,48.0,44.0,49.0,45.0,48.0,48.0,48.0,48.0,48.0
23,52.0,48.0,52.0,50.0,53.0,53.0,53.0,49.0,49.0
24,50.0,50.0,50.0,49.0,51.0,51.0,51.0,47.0,50.0
25,51.0,45.0,51.0,49.0,52.0,52.0,52.0,48.0,48.0
26,49.0,48.0,48.0,48.0,49.0,49.0,51.0,48.0,48.0
27,52.0,52.0,52.0,52.0,51.0,51.0,51.0,48.0,51.0
28,50.0,50.0,51.0,51.0,52.0,52.0,51.0,50.0,50.0
29,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
30,53.0,53.0,53.0,53.0,52.0,52.0,52.0,49.0,49.0
31,51.0,51.0,51.0,51.0,53.0,53.0,52.0,50.0,50.0
32,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
33,50.0,48.0,50.0,48.0,48.0,48.0,48.0,48.0,48.0
34,47.0,44.0,47.0,44.0,48.0,48.0,45.0,44.0,44.0
35,52.0,48.0,52.0,48.0,48.0,48.0,48.0,48.0,48.0
36,50.0,49.0,50.0,48.0,49.0,49.0,47.0,47.0,47.0
37,51.0,47.0,51.0,47.0,49.0,49.0,47.0,47.0,47.0
38,49.0,48.0,48.0,48.0,49.0,49.0,51.0,48.0,48.0
39,52.0,52.0,52.0,52.0,49.0,49.0,48.0,48.0,48.0
40,50.0,49.0,50.0,49.0,52.0,52.0,49.0,49.0,49.0
41,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
42,53.0,53.0,53.0,53.0,50.0,50.0,49.0,49.0,49.0
43,51.0,50.0,51.0,50.0,53.0,53.0,50.0,50.0,50.0
44,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
45,49.0,49.0,47.0,47.0,49.0,49.0,49.0,49.0,49.0
46,47.0,47.0,47.0,47.0,48.0,48.0,50.0,50.0,50.0
47,46.0,44.0,44.0,44.0,46.0,46.0,51.0,51.0,51.0
48,52.0,52.0,52.0,52.0,50.0,50.0,50.0,50.0,50.0
49,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
50,51.0,51.0,50.0,50.0,51.0,51.0,52.0,52.0,52.0
51,53.0,53.0,53.0,53.0,50.0,50.0,49.0,49.0,49.0
52,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
53,52.0,52.0,50.0,50.0,52.0,52.0,50.0,50.0,50.0
54,51.0,51.0,51.0,51.0,50.0,50.0,49.0,49.0,49.0
55,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
56,50.0,50.0,49.0,49.0,50.0,50.0,51.0,51.0,51.0
57,52.0,52.0,52.0,52.0,50.0,50.0,48.0,48.0,48.0
58,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
59,51.0,51.0,50.0,50.0,51.0,51.0,50.0,50.0,50.0
60,51.0,51.0,50.0,50.0,50.0,50.0,48.0,48.0,48.0
61,50.0,50.0,49.0,49.0,50.0,50.0,49.0,49.0,49.0
62,51.0,51.0,50.0,50.0,51.0,51.0,50.0,50.0,50.0
63,50.0,47.0,50.0,50.0,50.0,50.0,50.0,49.0,49.0
64,47.0,43.0,49.0,43.0,49.0,49.0,49.0,48.0,48.0
65,52.0,45.0,52.0,49.0,52.0,52.0,52.0,48.0,48.0
66,50.0,48.0,51.0,51.0,51.0,51.0,50.0,50.0,50.0
67,47.0,44.0,49.0,45.0,48.0,48.0,47.0,48.0,48.0
68,52.0,48.0,52.0,50.0,52.0,52.0,52.0,49.0,49.0
69,50.0,49.0,50.0,48.0,50.0,50.0,50.0,47.0,50.0
70,51.0,44.0,51.0,49.0,51.0,51.0,51.0,48.0,48.0
71,49.0,48.0,48.0,48.0,49.0,49.0,51.0,48.0,48.0
72,52.0,52.0,52.0,52.0,50.0,50.0,50.0,48.0,51.0
73,50.0,49.0,51.0,51.0,52.0,52.0,50.0,50.0,50.0
74,54.0,54.0,54.0,54.0,54.0,54.0,53.0,53.0,53.0
75,53.0,53.0,53.0,53.0,51.0,51.0,51.0,49.0,49.0
76,51.0,50.0,51.0,50.0,53.0,53.0,51.0,49.0,49.0
77,55.0,55.0,55.0,55.0,55.0,55.0,54.0,54.0,54.0
78,50.0,48.0,50.0,48.0,48.0,48.0,48.0,47.0,47.0
79,47.0,44.0,47.0,44.0,48.0,48.0,45.0,44.0,44.0
80,52.0,48.0,52.0,48.0,48.0,48.0,48.0,47.0,47.0
81,50.0,49.0,50.0,48.0,49.0,49.0,47.0,47.0,47.0
82,51.0,47.0,51.0,47.0,48.0,48.0,47.0,46.0,46.0
83,49.0,48.0,48.0,48.0,49.0,49.0,51.0,48.0,48.0
84,52.0,52.0,52.0,52.0,49.0,49.0,48.0,47.0,47.0
85,50.0,49.0,50.0,49.0,52.0,52.0,49.0,48.0,48.0
86,54.0,54.0,54.0,54.0,54.0,54.0,53.0,53.0,53.0
87,53.0,53.0,53.0,53.0,50.0,50.0,49.0,48.0,48.0
88,51.0,50.0,51.0,50.0,53.0,53.0,50.0,49.0,49.0
89,55.0,55.0,55.0,55.0,55.0,55.0,54.0,54.0,54.0
90,49.0,49.0,47.0,47.0,49.0,49.0,48.0,48.0,48.0
91,47.0,47.0,47.0,47.0,48.0,48.0,50.0,49.0,49.0
92,46.0,45.0,45.0,45.0,48.0,48.0,50.0,50.0,50.0
93,52.0,52.0,52.0,52.0,50.0,50.0,49.0,49.0,49.0
94,53.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0
95,52.0,52.0,51.0,51.0,52.0,52.0,51.0,51.0,51.0
96,53.0,53.0,53.0,53.0,50.0,50.0,50.0,50.0,50.0
97,54.0,54.0,54.0,54.0,54.0,54.0,53.0,53.0,53.0
98,53.0,53.0,51.0,51.0,53.0,53.0,51.0,51.0,51.0
99,51.0,51.0,51.0,51.0,50.0,50.0,50.0,50.0,50.0
100,52.0,52.0,52.0,52.0,52.0,52.0,51.0,51.0,51.0
101,51.0,51.0,50.0,50.0,52.0,52.0,51.0,51.0,51.0
102,52.0,52.0,52.0,52.0,49.0,49.0,49.0,49.0,49.0
103,53.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0
104,52.0,52.0,51.0,51.0,53.0,53.0,50.0,50.0,50.0
105,50.0,50.0,49.0,49.0,49.0,49.0,48.0,47.0,47.0
106,50.0,50.0,49.0,49.0,52.0,52.0,49.0,48.0,48.0
107,52.0,52.0,51.0,51.0,53.0,53.0,49.0,49.0,49.0
108,47.0,46.0,47.0,46.0,48.0,48.0,48.0,44.0,44.0
109,43.0,42.0,43.0,42.0,48.0,48.0,45.0,39.0,39.0
110,46.0,44.0,47.0,45.0,47.0,47.0,47.0,43.0,43.0
111,48.0,47.0,46.0,45.0,47.0,47.0,47.0,43.0,43.0
112,45.0,43.0,46.0,44.0,48.0,48.0,47.0,42.0,42.0
