Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
0,36.0,39.0,38.0,37.0,38.0
1,35.0,40.0,36.0,34.0,39.0
2,38.0,42.0,39.0,38.0,39.0
3,40.0,43.0,39.0,41.0,41.0
4,38.0,44.0,40.0,42.0,41.0
5,42.0,45.0,41.0,42.0,42.0
6,39.0,40.0,39.0,40.0,42.0
7,38.0,41.0,40.0,39.0,41.0
8,41.0,41.0,40.0,41.0,43.0
9,40.0,44.0,40.0,42.0,40.0
10,39.0,43.0,41.0,38.0,40.0
11,38.0,44.0,39.0,38.0,39.0
12,39.0,43.0,39.0,42.0,41.0
13,40.0,42.0,44.0,39.0,40.0
14,41.0,44.0,40.0,41.0,40.0
15,39.0,41.0,40.0,39.0,39.0
16,41.0,42.0,41.0,38.0,40.0
17,42.0,43.0,41.0,42.0,40.0
18,41.0,44.0,38.0,42.0,45.0
19,39.0,44.0,39.0,46.0,46.0
20,42.0,47.0,40.0,45.0,47.0
21,41.0,43.0,38.0,42.0,46.0
22,39.0,44.0,39.0,47.0,47.0
23,42.0,45.0,41.0,46.0,48.0
24,44.0,47.0,39.0,45.0,45.0
25,41.0,46.0,42.0,46.0,45.0
26,42.0,47.0,41.0,43.0,41.0
27,43.0,46.0,38.0,45.0,46.0
28,41.0,45.0,43.0,46.0,44.0
29,45.0,46.0,44.0,45.0,45.0
30,42.0,43.0,39.0,42.0,45.0
31,42.0,42.0,41.0,42.0,42.0
32,46.0,45.0,45.0,46.0,46.0
33,40.0,43.0,38.0,42.0,41.0
34,39.0,42.0,36.0,42.0,42.0
35,41.0,43.0,40.0,44.0,41.0
36,44.0,46.0,39.0,45.0,44.0
37,40.0,46.0,41.0,44.0,46.0
38,42.0,47.0,41.0,44.0,42.0
39,43.0,45.0,39.0,45.0,47.0
40,41.0,45.0,40.0,44.0,45.0
41,46.0,46.0,45.0,46.0,46.0
42,42.0,40.0,40.0,42.0,42.0
43,42.0,43.0,41.0,42.0,43.0
44,47.0,43.0,46.0,47.0,47.0
45,39.0,43.0,40.0,40.0,40.0
46,41.0,42.0,42.0,38.0,40.0
47,38.0,43.0,39.0,38.0,39.0
48,43.0,43.0,40.0,40.0,43.0
49,43.0,47.0,46.0,39.0,43.0
50,42.0,47.0,41.0,42.0,41.0
51,42.0,42.0,40.0,41.0,44.0
52,43.0,42.0,47.0,38.0,42.0
53,42.0,43.0,42.0,41.0,41.0
54,43.0,43.0,39.0,40.0,43.0
55,43.0,46.0,45.0,38.0,43.0
56,42.0,46.0,44.0,41.0,43.0
57,41.0,41.0,39.0,41.0,43.0
58,42.0,41.0,46.0,39.0,44.0
59,41.0,43.0,44.0,41.0,44.0
60,39.0,37.0,40.0,39.0,40.0
61,40.0,42.0,42.0,38.0,40.0
62,41.0,42.0,42.0,41.0,40.0
63,40.0,44.0,37.0,43.0,45.0
64,39.0,44.0,38.0,45.0,46.0
65,41.0,47.0,39.0,45.0,46.0
66,41.0,43.0,37.0,43.0,46.0
67,39.0,43.0,38.0,46.0,47.0
68,41.0,47.0,40.0,45.0,47.0
69,46.0,49.0,39.0,45.0,44.0
70,41.0,48.0,41.0,49.0,46.0
71,46.0,49.0,45.0,46.0,45.0
72,45.0,48.0,39.0,45.0,46.0
73,41.0,47.0,42.0,49.0,46.0
74,45.0,48.0,45.0,46.0,46.0
75,42.0,43.0,38.0,42.0,45.0
76,42.0,42.0,40.0,44.0,46.0
77,45.0,44.0,44.0,45.0,46.0
78,41.0,43.0,38.0,42.0,46.0
79,39.0,43.0,36.0,44.0,47.0
80,41.0,47.0,40.0,45.0,44.0
