Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
0,34.0,37.0,38.0,39.0,39.0,39.0,38.0,39.0,38.0,38.0
1,33.0,34.0,37.0,37.0,37.0,37.0,39.0,39.0,39.0,39.0
2,29.0,34.0,37.0,37.0,37.0,37.0,39.0,40.0,39.0,39.0
3,36.0,38.0,39.0,39.0,39.0,39.0,38.0,38.0,38.0,38.0
4,39.0,38.0,40.0,40.0,40.0,40.0,39.0,39.0,39.0,39.0
5,36.0,39.0,40.0,40.0,40.0,40.0,39.0,40.0,39.0,39.0
6,37.0,39.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
7,40.0,39.0,37.0,37.0,37.0,37.0,39.0,39.0,39.0,39.0
8,37.0,40.0,37.0,37.0,37.0,37.0,39.0,39.0,39.0,39.0
9,39.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
10,39.0,39.0,37.0,38.0,38.0,38.0,40.0,40.0,40.0,40.0
11,37.0,40.0,38.0,38.0,38.0,38.0,40.0,40.0,40.0,40.0
12,38.0,37.0,38.0,39.0,39.0,39.0,38.0,39.0,38.0,38.0
13,38.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
14,36.0,39.0,40.0,41.0,41.0,41.0,40.0,41.0,40.0,40.0
15,33.0,37.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
16,32.0,33.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
17,29.0,34.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
18,36.0,38.0,38.0,38.0,38.0,38.0,38.0,37.0,37.0,37.0
19,39.0,38.0,39.0,39.0,39.0,39.0,38.0,38.0,38.0,38.0
20,36.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,38.0,39.0
21,37.0,39.0,38.0,38.0,38.0,38.0,38.0,37.0,37.0,38.0
22,40.0,39.0,40.0,40.0,40.0,40.0,39.0,39.0,39.0,39.0
23,37.0,40.0,40.0,40.0,40.0,40.0,39.0,39.0,39.0,39.0
24,41.0,39.0,39.0,39.0,39.0,39.0,39.0,38.0,38.0,38.0
25,40.0,40.0,41.0,41.0,41.0,41.0,40.0,40.0,40.0,40.0
26,41.0,41.0,41.0,41.0,41.0,41.0,40.0,40.0,40.0,40.0
27,40.0,38.0,39.0,39.0,39.0,39.0,38.0,38.0,38.0,38.0
28,39.0,39.0,40.0,40.0,40.0,40.0,39.0,39.0,39.0,39.0
29,40.0,40.0,41.0,41.0,41.0,41.0,40.0,40.0,40.0,40.0
30,33.0,37.0,39.0,39.0,39.0,39.0,39.0,38.0,38.0,38.0
31,39.0,39.0,41.0,41.0,41.0,41.0,40.0,40.0,40.0,40.0
32,34.0,39.0,41.0,41.0,41.0,41.0,40.0,40.0,40.0,40.0
33,34.0,38.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
34,40.0,39.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,38.0
35,35.0,40.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
36,42.0,39.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
37,41.0,40.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
38,42.0,41.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
39,41.0,39.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
41,41.0,41.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
42,34.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
43,40.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
44,35.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
45,39.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
46,40.0,40.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
47,36.0,40.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
48,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
49,40.0,39.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
50,36.0,39.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
51,38.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
52,40.0,39.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
53,35.0,39.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
54,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
55,39.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
56,35.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
57,37.0,37.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
58,39.0,39.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
59,34.0,39.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
60,33.0,38.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
61,32.0,32.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
62,28.0,33.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
63,35.0,37.0,37.0,37.0,37.0,37.0,37.0,36.0,36.0,36.0
64,38.0,37.0,38.0,38.0,38.0,38.0,37.0,37.0,37.0,37.0
65,35.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,37.0,38.0
66,36.0,38.0,37.0,37.0,37.0,37.0,37.0,36.0,36.0,37.0
67,39.0,38.0,39.0,39.0,39.0,39.0,38.0,38.0,38.0,38.0
