Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
0,47.0,47.0,47.0,46.0,47.0,48.0,48.0,48.0,47.0,47.0,46.0,48.0,47.0
1,49.0,43.0,43.0,43.0,43.0,50.0,50.0,50.0,47.0,49.0,49.0,48.0,49.0
2,51.0,47.0,47.0,46.0,46.0,50.0,49.0,49.0,48.0,51.0,48.0,51.0,49.0
3,47.0,47.0,47.0,46.0,47.0,48.0,49.0,49.0,47.0,47.0,47.0,49.0,47.0
4,50.0,46.0,46.0,45.0,45.0,52.0,50.0,50.0,47.0,50.0,50.0,50.0,51.0
5,53.0,48.0,48.0,46.0,46.0,52.0,51.0,51.0,48.0,53.0,51.0,53.0,51.0
6,47.0,47.0,46.0,46.0,47.0,47.0,49.0,49.0,46.0,47.0,47.0,48.0,46.0
7,51.0,47.0,47.0,46.0,46.0,52.0,49.0,49.0,47.0,51.0,49.0,51.0,51.0
8,53.0,47.0,47.0,46.0,46.0,52.0,51.0,51.0,48.0,53.0,52.0,53.0,51.0
9,47.0,45.0,45.0,46.0,46.0,47.0,47.0,47.0,46.0,48.0,47.0,49.0,48.0
10,53.0,47.0,47.0,46.0,46.0,53.0,51.0,51.0,48.0,53.0,48.0,53.0,51.0
11,51.0,47.0,47.0,46.0,46.0,49.0,50.0,50.0,48.0,52.0,48.0,52.0,49.0
12,51.0,47.0,46.0,46.0,47.0,47.0,48.0,48.0,46.0,47.0,49.0,48.0,47.0
13,52.0,48.0,47.0,47.0,48.0,52.0,50.0,50.0,48.0,52.0,49.0,52.0,50.0
14,53.0,48.0,48.0,48.0,48.0,49.0,51.0,51.0,49.0,51.0,52.0,51.0,49.0
15,47.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,49.0,47.0
16,49.0,48.0,48.0,48.0,48.0,49.0,48.0,48.0,49.0,49.0,44.0,48.0,48.0
17,48.0,49.0,49.0,49.0,49.0,50.0,48.0,48.0,50.0,50.0,46.0,49.0,49.0
18,46.0,47.0,47.0,45.0,47.0,47.0,48.0,48.0,47.0,46.0,46.0,49.0,47.0
19,50.0,46.0,46.0,45.0,45.0,52.0,49.0,49.0,47.0,50.0,50.0,50.0,50.0
20,52.0,48.0,48.0,46.0,46.0,52.0,51.0,51.0,48.0,52.0,52.0,54.0,51.0
21,46.0,47.0,46.0,46.0,47.0,47.0,48.0,48.0,46.0,46.0,47.0,48.0,46.0
22,51.0,47.0,47.0,46.0,46.0,52.0,49.0,49.0,47.0,51.0,51.0,51.0,50.0
23,52.0,47.0,47.0,46.0,46.0,52.0,51.0,51.0,48.0,52.0,52.0,54.0,51.0
24,47.0,45.0,45.0,46.0,46.0,47.0,48.0,48.0,46.0,48.0,47.0,49.0,47.0
25,52.0,47.0,47.0,46.0,46.0,53.0,51.0,51.0,48.0,52.0,52.0,54.0,52.0
26,53.0,47.0,48.0,48.0,47.0,49.0,51.0,51.0,48.0,53.0,51.0,53.0,52.0
27,50.0,47.0,46.0,46.0,47.0,47.0,47.0,47.0,46.0,47.0,50.0,48.0,46.0
28,51.0,48.0,47.0,47.0,48.0,52.0,50.0,50.0,48.0,51.0,51.0,53.0,51.0
29,53.0,51.0,51.0,51.0,51.0,51.0,53.0,53.0,51.0,52.0,53.0,52.0,52.0
30,46.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,46.0,46.0,48.0,46.0
31,48.0,48.0,48.0,48.0,48.0,49.0,48.0,48.0,49.0,48.0,48.0,49.0,50.0
32,51.0,52.0,52.0,52.0,52.0,52.0,49.0,49.0,52.0,51.0,48.0,51.0,52.0
33,46.0,46.0,45.0,45.0,46.0,46.0,48.0,48.0,45.0,46.0,46.0,48.0,46.0
34,49.0,42.0,42.0,42.0,42.0,49.0,47.0,47.0,42.0,49.0,52.0,49.0,50.0
35,51.0,47.0,47.0,46.0,46.0,49.0,49.0,49.0,47.0,51.0,49.0,54.0,51.0
36,47.0,45.0,44.0,45.0,46.0,46.0,48.0,48.0,45.0,47.0,47.0,49.0,47.0
37,51.0,47.0,47.0,46.0,46.0,49.0,49.0,49.0,47.0,51.0,49.0,54.0,51.0
38,53.0,47.0,48.0,48.0,47.0,48.0,51.0,51.0,48.0,53.0,52.0,53.0,52.0
39,50.0,46.0,45.0,45.0,46.0,46.0,47.0,47.0,45.0,46.0,49.0,48.0,46.0
40,51.0,47.0,48.0,47.0,47.0,48.0,49.0,49.0,46.0,50.0,51.0,53.0,50.0
41,53.0,51.0,51.0,51.0,51.0,51.0,53.0,53.0,51.0,52.0,52.0,52.0,52.0
42,46.0,46.0,46.0,46.0,46.0,46.0,47.0,47.0,46.0,46.0,47.0,48.0,46.0
43,48.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0,47.0,48.0,48.0,49.0,50.0
44,51.0,52.0,52.0,52.0,52.0,52.0,49.0,49.0,52.0,51.0,49.0,51.0,52.0
45,47.0,45.0,45.0,45.0,45.0,48.0,46.0,46.0,45.0,48.0,48.0,48.0,47.0
46,53.0,47.0,48.0,48.0,47.0,49.0,49.0,49.0,48.0,53.0,48.0,51.0,52.0
47,51.0,47.0,47.0,46.0,46.0,49.0,50.0,50.0,49.0,52.0,48.0,51.0,49.0
48,51.0,46.0,45.0,47.0,47.0,47.0,48.0,48.0,47.0,47.0,52.0,48.0,47.0
49,53.0,51.0,51.0,51.0,51.0,51.0,53.0,53.0,51.0,52.0,52.0,52.0,52.0
50,53.0,48.0,48.0,48.0,48.0,52.0,52.0,52.0,52.0,51.0,52.0,51.0,49.0
51,47.0,46.0,46.0,48.0,48.0,48.0,47.0,47.0,48.0,47.0,48.0,48.0,47.0
52,51.0,52.0,52.0,52.0,52.0,52.0,49.0,49.0,52.0,51.0,48.0,51.0,52.0
53,49.0,47.0,47.0,49.0,49.0,53.0,48.0,48.0,53.0,51.0,48.0,50.0,49.0
54,50.0,46.0,44.0,46.0,46.0,46.0,48.0,48.0,46.0,46.0,51.0,47.0,46.0
55,52.0,50.0,50.0,50.0,50.0,50.0,52.0,52.0,50.0,51.0,51.0,51.0,51.0
56,52.0,48.0,47.0,47.0,48.0,51.0,51.0,51.0,51.0,50.0,51.0,50.0,48.0
57,50.0,46.0,45.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0,47.0,46.0
58,51.0,51.0,51.0,51.0,51.0,51.0,48.0,48.0,51.0,51.0,48.0,51.0,51.0
59,52.0,48.0,48.0,48.0,48.0,52.0,49.0,49.0,52.0,50.0,49.0,50.0,48.0
60,45.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0,47.0,47.0,46.0
61,48.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0,47.0,48.0,43.0,47.0,47.0
62,47.0,48.0,48.0,48.0,48.0,49.0,48.0,48.0,49.0,48.0,43.0,47.0,48.0
63,45.0,46.0,46.0,44.0,46.0,46.0,47.0,47.0,46.0,45.0,45.0,48.0,46.0
64,49.0,45.0,45.0,44.0,44.0,51.0,48.0,48.0,46.0,49.0,49.0,49.0,49.0
65,51.0,47.0,47.0,45.0,45.0,51.0,50.0,50.0,47.0,51.0,51.0,53.0,50.0
66,45.0,46.0,45.0,45.0,46.0,46.0,47.0,47.0,45.0,45.0,46.0,47.0,45.0
67,50.0,46.0,46.0,45.0,45.0,51.0,48.0,48.0,46.0,50.0,50.0,50.0,49.0
68,51.0,47.0,47.0,46.0,46.0,51.0,50.0,50.0,47.0,51.0,51.0,53.0,50.0
69,46.0,45.0,44.0,45.0,46.0,46.0,48.0,48.0,45.0,47.0,46.0,48.0,46.0
70,51.0,46.0,46.0,45.0,45.0,52.0,50.0,50.0,47.0,51.0,51.0,53.0,51.0
