Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
0,54.0,54.0,54.0,54.0,54.0,56.0,59.0
1,56.0,61.0,61.0,60.0,55.0,55.0,58.0
2,56.0,56.0,56.0,56.0,56.0,56.0,61.0
3,55.0,58.0,58.0,58.0,56.0,56.0,60.0
4,57.0,60.0,60.0,60.0,58.0,58.0,60.0
5,57.0,60.0,60.0,60.0,60.0,60.0,62.0
6,54.0,55.0,55.0,55.0,53.0,55.0,58.0
7,56.0,56.0,56.0,60.0,59.0,59.0,59.0
8,56.0,60.0,60.0,61.0,59.0,59.0,59.0
9,55.0,55.0,55.0,57.0,57.0,57.0,58.0
10,57.0,59.0,59.0,59.0,56.0,56.0,58.0
11,57.0,56.0,56.0,56.0,56.0,58.0,60.0
12,55.0,54.0,54.0,56.0,56.0,56.0,57.0
13,56.0,58.0,58.0,58.0,55.0,55.0,59.0
14,57.0,59.0,59.0,59.0,55.0,57.0,59.0
15,54.0,54.0,54.0,54.0,54.0,56.0,57.0
16,56.0,55.0,55.0,59.0,55.0,55.0,58.0
17,57.0,60.0,60.0,60.0,55.0,56.0,57.0
18,55.0,58.0,58.0,59.0,58.0,60.0,60.0
19,58.0,59.0,59.0,59.0,59.0,59.0,60.0
20,58.0,60.0,60.0,61.0,60.0,62.0,61.0
21,55.0,58.0,58.0,58.0,57.0,58.0,59.0
22,59.0,60.0,60.0,60.0,58.0,59.0,60.0
23,59.0,61.0,61.0,61.0,60.0,60.0,60.0
24,56.0,59.0,59.0,61.0,59.0,61.0,58.0
25,60.0,60.0,60.0,60.0,60.0,60.0,62.0
26,58.0,60.0,60.0,60.0,60.0,61.0,59.0
27,55.0,58.0,58.0,60.0,58.0,60.0,60.0
28,59.0,59.0,59.0,59.0,59.0,59.0,61.0
29,59.0,60.0,60.0,59.0,59.0,60.0,60.0
30,55.0,58.0,58.0,58.0,57.0,57.0,59.0
31,57.0,57.0,57.0,59.0,54.0,54.0,60.0
32,60.0,59.0,60.0,60.0,59.0,59.0,61.0
33,54.0,55.0,55.0,55.0,53.0,53.0,58.0
34,56.0,56.0,56.0,59.0,59.0,59.0,59.0
35,56.0,60.0,60.0,61.0,59.0,59.0,57.0
36,55.0,55.0,55.0,55.0,59.0,59.0,58.0
37,57.0,59.0,59.0,59.0,59.0,60.0,63.0
38,57.0,61.0,61.0,61.0,61.0,61.0,59.0
39,54.0,54.0,54.0,54.0,58.0,58.0,59.0
40,56.0,58.0,58.0,58.0,58.0,59.0,62.0
41,60.0,60.0,60.0,60.0,60.0,60.0,61.0
42,55.0,54.0,54.0,55.0,55.0,55.0,60.0
43,57.0,56.0,56.0,59.0,54.0,55.0,60.0
44,61.0,60.0,60.0,60.0,59.0,60.0,62.0
45,58.0,56.0,56.0,55.0,59.0,59.0,58.0
46,58.0,60.0,60.0,61.0,57.0,58.0,58.0
47,58.0,56.0,56.0,56.0,58.0,62.0,58.0
48,57.0,55.0,55.0,55.0,58.0,59.0,59.0
49,61.0,59.0,59.0,60.0,56.0,57.0,62.0
50,58.0,59.0,59.0,59.0,57.0,61.0,59.0
51,58.0,55.0,55.0,55.0,59.0,59.0,58.0
52,62.0,59.0,59.0,58.0,57.0,58.0,63.0
53,58.0,60.0,60.0,60.0,58.0,58.0,58.0
54,56.0,54.0,54.0,54.0,57.0,58.0,59.0
55,60.0,58.0,58.0,59.0,55.0,56.0,61.0
56,57.0,58.0,58.0,58.0,56.0,60.0,58.0
57,57.0,54.0,54.0,54.0,58.0,58.0,58.0
58,61.0,58.0,58.0,57.0,56.0,57.0,62.0
59,57.0,59.0,59.0,59.0,57.0,57.0,58.0
60,55.0,54.0,54.0,53.0,53.0,53.0,58.0
61,57.0,55.0,55.0,58.0,51.0,52.0,59.0
62,57.0,54.0,56.0,59.0,54.0,55.0,57.0
63,55.0,57.0,57.0,58.0,57.0,59.0,59.0
64,57.0,59.0,59.0,58.0,58.0,58.0,59.0
65,58.0,59.0,59.0,60.0,60.0,61.0,60.0
66,55.0,58.0,58.0,57.0,56.0,57.0,58.0
67,58.0,60.0,60.0,59.0,58.0,58.0,59.0
68,59.0,60.0,60.0,60.0,59.0,59.0,59.0
69,55.0,58.0,58.0,60.0,59.0,60.0,57.0
70,60.0,60.0,60.0,60.0,59.0,59.0,61.0
71,58.0,60.0,60.0,60.0,59.0,60.0,58.0
72,54.0,57.0,57.0,59.0,58.0,59.0,59.0
73,59.0,59.0,59.0,59.0,58.0,58.0,60.0
74,58.0,59.0,59.0,59.0,58.0,59.0,59.0
75,55.0,57.0,57.0,57.0,56.0,56.0,58.0
76,59.0,59.0,59.0,58.0,53.0,53.0,59.0
77,59.0,59.0,59.0,59.0,58.0,58.0,60.0
