Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
0,44.0,41.0,45.0,40.0,40.0,42.0,41.0,42.0
1,39.0,42.0,42.0,42.0,42.0,41.0,41.0,41.0
2,41.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0
3,43.0,42.0,44.0,40.0,40.0,43.0,43.0,43.0
4,39.0,43.0,45.0,42.0,43.0,43.0,43.0,43.0
5,40.0,43.0,45.0,43.0,43.0,44.0,44.0,44.0
6,44.0,43.0,45.0,40.0,39.0,42.0,42.0,42.0
7,40.0,44.0,42.0,42.0,44.0,43.0,43.0,41.0
8,41.0,44.0,42.0,43.0,43.0,41.0,41.0,41.0
9,45.0,42.0,44.0,41.0,42.0,41.0,41.0,41.0
10,46.0,44.0,42.0,43.0,44.0,41.0,41.0,41.0
11,47.0,42.0,42.0,44.0,44.0,43.0,43.0,43.0
12,44.0,41.0,43.0,42.0,42.0,40.0,40.0,43.0
13,45.0,43.0,45.0,44.0,44.0,43.0,43.0,42.0
14,46.0,43.0,45.0,44.0,44.0,44.0,44.0,43.0
15,44.0,42.0,44.0,39.0,39.0,41.0,40.0,44.0
16,45.0,43.0,46.0,41.0,43.0,44.0,44.0,43.0
17,46.0,44.0,46.0,44.0,44.0,45.0,45.0,44.0
18,45.0,42.0,44.0,39.0,39.0,42.0,42.0,42.0
19,42.0,43.0,46.0,41.0,43.0,42.0,42.0,42.0
20,40.0,43.0,46.0,43.0,43.0,43.0,43.0,43.0
21,46.0,43.0,44.0,40.0,39.0,41.0,41.0,41.0
22,43.0,44.0,44.0,42.0,44.0,42.0,42.0,42.0
23,41.0,44.0,44.0,43.0,43.0,43.0,43.0,43.0
24,45.0,42.0,44.0,41.0,42.0,43.0,43.0,43.0
25,46.0,44.0,44.0,43.0,44.0,42.0,42.0,42.0
26,47.0,43.0,45.0,44.0,44.0,44.0,44.0,44.0
27,45.0,42.0,43.0,42.0,42.0,42.0,42.0,42.0
28,46.0,43.0,47.0,44.0,44.0,42.0,42.0,42.0
29,46.0,44.0,47.0,44.0,44.0,44.0,44.0,43.0
30,45.0,43.0,43.0,39.0,39.0,41.0,41.0,43.0
