Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
0,43.0,45.0,46.0,42.0,42.0,43.0
1,43.0,47.0,47.0,43.0,43.0,42.0
2,44.0,49.0,48.0,43.0,40.0,42.0
3,47.0,46.0,48.0,43.0,46.0,47.0
4,47.0,48.0,48.0,44.0,49.0,46.0
5,45.0,51.0,49.0,47.0,43.0,45.0
6,48.0,45.0,47.0,43.0,47.0,48.0
7,48.0,49.0,49.0,44.0,50.0,47.0
8,44.0,49.0,48.0,45.0,44.0,46.0
9,44.0,44.0,48.0,42.0,42.0,42.0
10,42.0,48.0,47.0,42.0,43.0,42.0
11,43.0,48.0,47.0,43.0,40.0,43.0
12,47.0,43.0,47.0,42.0,41.0,42.0
13,47.0,47.0,46.0,42.0,42.0,43.0
14,43.0,47.0,47.0,43.0,41.0,42.0
15,47.0,44.0,46.0,42.0,41.0,42.0
16,47.0,45.0,47.0,37.0,42.0,42.0
17,43.0,46.0,47.0,38.0,42.0,38.0
18,48.0,45.0,47.0,45.0,45.0,48.0
19,46.0,47.0,47.0,45.0,48.0,48.0
20,46.0,50.0,48.0,48.0,46.0,48.0
21,48.0,46.0,47.0,46.0,46.0,49.0
22,47.0,48.0,48.0,46.0,49.0,49.0
23,47.0,49.0,48.0,49.0,47.0,49.0
24,46.0,46.0,47.0,45.0,45.0,47.0
25,48.0,47.0,47.0,47.0,43.0,46.0
26,45.0,49.0,47.0,47.0,43.0,45.0
27,47.0,45.0,46.0,45.0,44.0,46.0
28,48.0,46.0,47.0,46.0,42.0,47.0
29,47.0,48.0,48.0,47.0,47.0,46.0
30,47.0,45.0,46.0,43.0,42.0,47.0
31,48.0,47.0,47.0,42.0,42.0,48.0
32,47.0,49.0,48.0,43.0,48.0,46.0
33,43.0,44.0,47.0,43.0,42.0,48.0
34,43.0,47.0,49.0,45.0,47.0,49.0
35,44.0,49.0,48.0,49.0,44.0,49.0
36,44.0,43.0,46.0,46.0,46.0,48.0
37,45.0,48.0,48.0,48.0,44.0,47.0
38,44.0,49.0,48.0,48.0,44.0,46.0
39,46.0,43.0,47.0,46.0,45.0,47.0
40,47.0,47.0,48.0,47.0,43.0,48.0
41,48.0,48.0,49.0,48.0,48.0,47.0
42,46.0,44.0,47.0,42.0,43.0,48.0
43,47.0,45.0,48.0,43.0,43.0,49.0
44,48.0,49.0,49.0,44.0,49.0,47.0
45,44.0,43.0,44.0,45.0,41.0,43.0
46,43.0,48.0,45.0,46.0,42.0,41.0
47,43.0,48.0,47.0,43.0,40.0,43.0
48,47.0,43.0,46.0,45.0,45.0,43.0
49,48.0,48.0,46.0,46.0,42.0,43.0
50,44.0,48.0,48.0,43.0,40.0,42.0
51,48.0,44.0,45.0,42.0,46.0,44.0
52,48.0,48.0,47.0,41.0,43.0,44.0
53,43.0,47.0,47.0,42.0,41.0,41.0
54,46.0,42.0,45.0,44.0,44.0,42.0
55,47.0,47.0,45.0,45.0,41.0,42.0
56,47.0,47.0,47.0,42.0,39.0,43.0
57,47.0,43.0,45.0,42.0,45.0,43.0
58,47.0,47.0,46.0,41.0,42.0,43.0
59,47.0,46.0,47.0,42.0,40.0,43.0
60,45.0,42.0,45.0,41.0,40.0,42.0
61,47.0,43.0,47.0,36.0,41.0,40.0
62,47.0,44.0,47.0,37.0,36.0,39.0
63,48.0,44.0,46.0,44.0,44.0,48.0
64,46.0,46.0,46.0,46.0,49.0,49.0
65,46.0,49.0,47.0,49.0,45.0,49.0
66,47.0,45.0,46.0,45.0,45.0,49.0
67,47.0,47.0,47.0,47.0,50.0,50.0
68,47.0,49.0,47.0,50.0,46.0,50.0
69,45.0,45.0,46.0,46.0,44.0,46.0
70,47.0,47.0,46.0,48.0,46.0,46.0
71,46.0,48.0,46.0,48.0,46.0,45.0
72,46.0,44.0,45.0,46.0,43.0,45.0
73,47.0,46.0,46.0,47.0,46.0,46.0
74,47.0,47.0,47.0,48.0,46.0,45.0
75,46.0,44.0,45.0,45.0,43.0,46.0
76,47.0,46.0,46.0,45.0,45.0,47.0
77,47.0,48.0,47.0,47.0,47.0,45.0
78,43.0,43.0,46.0,46.0,43.0,49.0
79,43.0,46.0,48.0,47.0,48.0,50.0
80,44.0,49.0,47.0,50.0,47.0,50.0
81,46.0,43.0,45.0,47.0,45.0,47.0
82,44.0,48.0,47.0,49.0,47.0,47.0
83,47.0,48.0,47.0,49.0,47.0,46.0
84,45.0,42.0,46.0,47.0,44.0,46.0
85,47.0,47.0,47.0,48.0,47.0,47.0
86,47.0,47.0,48.0,49.0,47.0,46.0
87,45.0,43.0,46.0,46.0,44.0,47.0
88,47.0,44.0,47.0,46.0,46.0,48.0
