Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
0,52.0,52.0,52.0,52.0,52.0,52.0,55.0,48.0,51.0,51.0,57.0,51.0,57.0,57.0,51.0
1,45.0,45.0,45.0,46.0,46.0,45.0,49.0,49.0,44.0,44.0,45.0,44.0,45.0,45.0,45.0
2,45.0,45.0,46.0,49.0,50.0,46.0,50.0,50.0,45.0,45.0,50.0,45.0,50.0,50.0,48.0
3,52.0,52.0,52.0,51.0,51.0,51.0,56.0,49.0,51.0,51.0,56.0,51.0,56.0,56.0,50.0
4,44.0,44.0,44.0,47.0,47.0,44.0,50.0,50.0,43.0,43.0,44.0,43.0,44.0,44.0,46.0
5,45.0,45.0,46.0,50.0,51.0,46.0,52.0,52.0,45.0,45.0,49.0,45.0,49.0,49.0,49.0
6,52.0,52.0,52.0,52.0,51.0,51.0,55.0,48.0,51.0,51.0,57.0,51.0,57.0,57.0,51.0
7,45.0,45.0,45.0,48.0,47.0,44.0,49.0,49.0,44.0,44.0,45.0,44.0,45.0,45.0,47.0
8,46.0,46.0,46.0,49.0,50.0,46.0,50.0,50.0,45.0,45.0,50.0,45.0,50.0,50.0,48.0
9,51.0,52.0,52.0,56.0,56.0,52.0,56.0,56.0,51.0,51.0,53.0,51.0,53.0,53.0,56.0
10,49.0,49.0,49.0,53.0,52.0,48.0,57.0,57.0,48.0,48.0,45.0,48.0,43.0,43.0,53.0
11,51.0,51.0,54.0,58.0,58.0,54.0,57.0,57.0,53.0,53.0,46.0,53.0,46.0,46.0,58.0
12,53.0,53.0,56.0,56.0,56.0,56.0,56.0,56.0,55.0,55.0,56.0,55.0,56.0,56.0,55.0
13,53.0,53.0,53.0,53.0,52.0,52.0,57.0,57.0,52.0,52.0,51.0,52.0,51.0,51.0,52.0
14,55.0,55.0,58.0,58.0,58.0,58.0,57.0,57.0,57.0,57.0,56.0,57.0,56.0,56.0,57.0
15,51.0,52.0,51.0,51.0,51.0,51.0,56.0,49.0,50.0,51.0,54.0,50.0,54.0,54.0,51.0
16,51.0,51.0,51.0,51.0,50.0,50.0,55.0,50.0,50.0,50.0,51.0,50.0,51.0,51.0,50.0
17,53.0,53.0,56.0,56.0,56.0,56.0,55.0,51.0,55.0,55.0,56.0,55.0,56.0,56.0,55.0
18,51.0,51.0,51.0,50.0,50.0,50.0,55.0,48.0,50.0,50.0,55.0,50.0,55.0,55.0,49.0
19,43.0,43.0,43.0,46.0,46.0,43.0,49.0,49.0,42.0,42.0,43.0,42.0,43.0,43.0,45.0
20,45.0,45.0,45.0,49.0,50.0,45.0,52.0,52.0,44.0,44.0,48.0,44.0,48.0,48.0,48.0
21,52.0,52.0,52.0,51.0,50.0,51.0,56.0,49.0,51.0,51.0,56.0,51.0,56.0,56.0,50.0
22,44.0,44.0,44.0,47.0,47.0,43.0,50.0,50.0,43.0,43.0,44.0,43.0,44.0,44.0,46.0
23,46.0,46.0,46.0,50.0,50.0,46.0,51.0,51.0,45.0,45.0,49.0,45.0,49.0,49.0,49.0
24,51.0,51.0,51.0,55.0,55.0,51.0,56.0,56.0,50.0,50.0,53.0,50.0,53.0,53.0,55.0
25,50.0,50.0,50.0,54.0,54.0,50.0,57.0,57.0,49.0,49.0,45.0,49.0,44.0,44.0,54.0
26,53.0,53.0,53.0,57.0,57.0,53.0,57.0,57.0,52.0,52.0,46.0,52.0,46.0,46.0,57.0
27,55.0,55.0,55.0,55.0,55.0,55.0,56.0,56.0,54.0,54.0,55.0,54.0,55.0,55.0,54.0
28,54.0,54.0,54.0,54.0,54.0,54.0,57.0,57.0,53.0,53.0,52.0,53.0,52.0,52.0,53.0
29,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0,56.0,55.0,56.0,55.0,55.0,56.0
30,51.0,51.0,51.0,50.0,50.0,51.0,56.0,49.0,50.0,51.0,53.0,50.0,53.0,53.0,50.0
