Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
0,57.0,58.0,57.0,56.0,58.0,55.0,56.0,55.0,56.0,55.0
1,59.0,55.0,59.0,57.0,56.0,57.0,57.0,52.0,57.0,52.0
2,59.0,56.0,57.0,54.0,56.0,57.0,54.0,53.0,55.0,53.0
3,58.0,59.0,56.0,57.0,59.0,55.0,57.0,56.0,57.0,56.0
4,58.0,57.0,58.0,58.0,57.0,57.0,57.0,54.0,57.0,54.0
5,58.0,57.0,57.0,56.0,57.0,56.0,57.0,54.0,57.0,54.0
6,58.0,59.0,55.0,56.0,59.0,55.0,56.0,56.0,56.0,55.0
7,58.0,58.0,56.0,57.0,58.0,55.0,57.0,55.0,55.0,55.0
8,58.0,57.0,57.0,57.0,57.0,57.0,57.0,55.0,57.0,55.0
9,57.0,55.0,56.0,56.0,56.0,57.0,56.0,57.0,56.0,56.0
10,58.0,55.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0
11,59.0,55.0,56.0,55.0,55.0,57.0,55.0,56.0,56.0,56.0
12,56.0,56.0,55.0,55.0,56.0,56.0,55.0,56.0,55.0,55.0
13,57.0,55.0,56.0,56.0,56.0,55.0,55.0,55.0,55.0,55.0
14,58.0,54.0,57.0,56.0,56.0,56.0,56.0,55.0,56.0,55.0
15,57.0,57.0,56.0,56.0,57.0,56.0,56.0,55.0,56.0,55.0
16,58.0,56.0,57.0,57.0,57.0,56.0,56.0,55.0,56.0,55.0
17,59.0,55.0,58.0,57.0,57.0,57.0,57.0,54.0,57.0,54.0
18,57.0,59.0,57.0,57.0,59.0,55.0,57.0,56.0,57.0,56.0
19,58.0,57.0,59.0,59.0,58.0,56.0,57.0,53.0,57.0,53.0
20,58.0,57.0,57.0,57.0,57.0,57.0,57.0,54.0,57.0,54.0
21,57.0,59.0,55.0,55.0,59.0,55.0,56.0,56.0,56.0,56.0
22,58.0,58.0,56.0,57.0,58.0,54.0,57.0,54.0,57.0,54.0
23,58.0,57.0,57.0,57.0,57.0,57.0,57.0,54.0,57.0,54.0
24,56.0,56.0,55.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0
25,57.0,56.0,57.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0
26,58.0,56.0,56.0,56.0,56.0,56.0,56.0,57.0,56.0,57.0
27,55.0,56.0,54.0,54.0,56.0,55.0,55.0,55.0,55.0,55.0
28,56.0,55.0,57.0,57.0,56.0,56.0,56.0,56.0,56.0,56.0
29,57.0,56.0,56.0,56.0,56.0,55.0,55.0,56.0,55.0,56.0
30,56.0,57.0,55.0,55.0,57.0,55.0,56.0,56.0,56.0,56.0
31,57.0,56.0,58.0,58.0,57.0,55.0,56.0,56.0,56.0,56.0
32,58.0,57.0,57.0,57.0,57.0,56.0,56.0,55.0,56.0,55.0
33,58.0,58.0,56.0,56.0,58.0,56.0,56.0,55.0,56.0,55.0
