Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
0,49.0,45.0,48.0,45.0,49.0,49.0
1,47.0,42.0,45.0,42.0,47.0,47.0
2,47.0,44.0,44.0,44.0,49.0,49.0
3,52.0,47.0,50.0,47.0,52.0,52.0
4,50.0,47.0,50.0,47.0,50.0,50.0
5,52.0,47.0,50.0,47.0,52.0,52.0
6,53.0,48.0,51.0,48.0,53.0,53.0
7,51.0,48.0,51.0,48.0,51.0,51.0
8,53.0,48.0,51.0,48.0,53.0,53.0
9,54.0,48.0,50.0,48.0,51.0,51.0
10,50.0,43.0,47.0,43.0,49.0,49.0
11,50.0,47.0,47.0,47.0,49.0,49.0
12,55.0,51.0,49.0,51.0,52.0,52.0
13,50.0,47.0,50.0,47.0,50.0,50.0
14,51.0,50.0,49.0,50.0,50.0,50.0
15,50.0,46.0,49.0,46.0,51.0,51.0
16,51.0,48.0,51.0,48.0,51.0,51.0
17,52.0,47.0,49.0,47.0,51.0,51.0
18,51.0,49.0,50.0,49.0,52.0,52.0
19,50.0,47.0,50.0,47.0,49.0,49.0
20,51.0,47.0,50.0,47.0,52.0,52.0
21,52.0,50.0,51.0,50.0,53.0,53.0
22,51.0,48.0,51.0,48.0,50.0,50.0
23,52.0,48.0,51.0,48.0,53.0,53.0
24,53.0,48.0,51.0,48.0,51.0,51.0
25,55.0,49.0,53.0,49.0,50.0,50.0
26,55.0,53.0,53.0,53.0,50.0,50.0
27,54.0,51.0,50.0,51.0,52.0,52.0
28,54.0,50.0,52.0,50.0,51.0,51.0
29,55.0,52.0,55.0,52.0,51.0,51.0
30,51.0,50.0,50.0,50.0,51.0,51.0
31,52.0,51.0,51.0,51.0,52.0,52.0
32,51.0,48.0,51.0,48.0,51.0,51.0
33,52.0,50.0,51.0,50.0,53.0,53.0
34,51.0,47.0,50.0,47.0,51.0,51.0
35,52.0,48.0,51.0,48.0,53.0,53.0
36,54.0,49.0,52.0,49.0,49.0,49.0
37,56.0,49.0,54.0,50.0,51.0,51.0
38,56.0,53.0,54.0,53.0,51.0,51.0
39,54.0,51.0,51.0,51.0,53.0,53.0
40,55.0,51.0,53.0,51.0,52.0,52.0
41,56.0,53.0,56.0,53.0,52.0,52.0
42,52.0,51.0,51.0,51.0,52.0,52.0
43,53.0,52.0,52.0,52.0,53.0,53.0
44,52.0,49.0,52.0,49.0,52.0,52.0
45,52.0,49.0,50.0,49.0,47.0,47.0
46,52.0,47.0,50.0,47.0,44.0,44.0
47,52.0,50.0,50.0,50.0,47.0,47.0
48,53.0,52.0,51.0,52.0,48.0,48.0
49,55.0,50.0,53.0,50.0,48.0,48.0
50,55.0,53.0,53.0,53.0,49.0,49.0
51,53.0,48.0,50.0,48.0,48.0,48.0
52,50.0,46.0,48.0,46.0,49.0,48.0
53,52.0,48.0,50.0,48.0,50.0,50.0
54,54.0,51.0,54.0,51.0,47.0,47.0
55,54.0,49.0,52.0,49.0,48.0,47.0
56,55.0,52.0,55.0,52.0,48.0,48.0
57,52.0,47.0,50.0,47.0,47.0,47.0
58,49.0,46.0,48.0,45.0,49.0,48.0
59,51.0,48.0,51.0,48.0,49.0,49.0
60,51.0,48.0,51.0,48.0,48.0,48.0
61,50.0,47.0,49.0,45.0,50.0,48.0
62,52.0,49.0,52.0,49.0,50.0,50.0
63,50.0,48.0,49.0,48.0,51.0,51.0
64,49.0,50.0,49.0,46.0,48.0,48.0
65,50.0,46.0,49.0,46.0,51.0,51.0
66,51.0,49.0,50.0,49.0,52.0,52.0
67,50.0,51.0,50.0,47.0,49.0,49.0
