Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
0,51.0,52.0,52.0,52.0,52.0,48.0,48.0,48.0,48.0,51.0,51.0,51.0,51.0,52.0,51.0
1,56.0,56.0,50.0,56.0,53.0,50.0,50.0,50.0,50.0,52.0,52.0,54.0,56.0,56.0,53.0
2,53.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,53.0,57.0,57.0,54.0,56.0,54.0,52.0
3,52.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,52.0,51.0,51.0,50.0
4,57.0,57.0,54.0,57.0,56.0,53.0,53.0,53.0,53.0,56.0,56.0,57.0,55.0,57.0,56.0
5,56.0,55.0,53.0,55.0,56.0,53.0,53.0,53.0,53.0,57.0,57.0,55.0,57.0,53.0,56.0
6,52.0,52.0,52.0,52.0,51.0,52.0,52.0,52.0,52.0,51.0,51.0,51.0,50.0,51.0,51.0
7,56.0,57.0,55.0,57.0,57.0,53.0,53.0,53.0,53.0,53.0,53.0,54.0,56.0,56.0,53.0
8,56.0,54.0,54.0,52.0,57.0,52.0,52.0,52.0,52.0,53.0,53.0,55.0,56.0,52.0,53.0
9,52.0,52.0,52.0,51.0,51.0,48.0,48.0,48.0,48.0,47.0,47.0,51.0,50.0,50.0,51.0
10,52.0,52.0,52.0,55.0,51.0,52.0,52.0,52.0,52.0,53.0,53.0,55.0,52.0,57.0,53.0
11,53.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,52.0,52.0,54.0,55.0,52.0,51.0
12,52.0,51.0,51.0,50.0,50.0,47.0,47.0,47.0,47.0,46.0,46.0,52.0,49.0,50.0,50.0
13,51.0,51.0,54.0,54.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,55.0,51.0,56.0,52.0
