Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
0,47.0,45.0,47.0,45.0,41.0,41.0,47.0,45.0,43.0,45.0,47.0
1,49.0,47.0,49.0,47.0,47.0,48.0,49.0,47.0,48.0,48.0,49.0
2,46.0,45.0,46.0,45.0,44.0,44.0,46.0,45.0,43.0,44.0,46.0
3,48.0,48.0,48.0,48.0,43.0,43.0,48.0,48.0,46.0,46.0,48.0
4,49.0,49.0,49.0,49.0,47.0,47.0,49.0,49.0,52.0,52.0,49.0
5,49.0,49.0,49.0,49.0,46.0,46.0,49.0,49.0,47.0,47.0,49.0
6,47.0,46.0,47.0,46.0,44.0,44.0,47.0,46.0,45.0,45.0,47.0
7,49.0,48.0,49.0,48.0,47.0,48.0,49.0,48.0,47.0,47.0,49.0
8,49.0,48.0,49.0,48.0,46.0,47.0,49.0,48.0,48.0,48.0,49.0
9,48.0,48.0,47.0,47.0,41.0,41.0,47.0,47.0,45.0,45.0,47.0
10,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,45.0,45.0,48.0
11,45.0,45.0,45.0,45.0,44.0,44.0,45.0,45.0,44.0,44.0,45.0
12,47.0,47.0,47.0,47.0,41.0,41.0,47.0,47.0,46.0,46.0,47.0
13,47.0,47.0,47.0,47.0,48.0,48.0,47.0,47.0,45.0,45.0,47.0
14,47.0,45.0,47.0,45.0,45.0,46.0,47.0,45.0,47.0,47.0,47.0
15,47.0,47.0,47.0,47.0,42.0,42.0,47.0,47.0,46.0,46.0,47.0
16,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,45.0,45.0,48.0
17,48.0,46.0,48.0,46.0,46.0,47.0,48.0,46.0,47.0,47.0,48.0
18,47.0,47.0,47.0,47.0,43.0,43.0,47.0,47.0,45.0,45.0,47.0
19,48.0,48.0,48.0,48.0,46.0,46.0,48.0,48.0,51.0,51.0,48.0
20,51.0,51.0,51.0,51.0,45.0,45.0,51.0,51.0,50.0,50.0,51.0
21,48.0,48.0,48.0,48.0,44.0,44.0,48.0,48.0,46.0,46.0,48.0
22,49.0,49.0,49.0,49.0,47.0,47.0,49.0,49.0,47.0,47.0,49.0
23,52.0,52.0,52.0,52.0,46.0,46.0,52.0,52.0,51.0,51.0,52.0
24,48.0,48.0,46.0,46.0,40.0,40.0,46.0,46.0,45.0,45.0,46.0
25,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,45.0,45.0,47.0
26,47.0,47.0,47.0,47.0,46.0,46.0,47.0,47.0,46.0,47.0,47.0
27,47.0,47.0,46.0,46.0,40.0,40.0,46.0,46.0,45.0,45.0,46.0
28,46.0,46.0,46.0,46.0,47.0,47.0,46.0,46.0,45.0,45.0,46.0
29,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
