Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
0,42.0,42.0,39.0,38.0,38.0,41.0,40.0,39.0,38.0,40.0,40.0,38.0
1,39.0,39.0,38.0,40.0,38.0,38.0,40.0,39.0,38.0,40.0,38.0,40.0
2,41.0,41.0,38.0,41.0,41.0,38.0,42.0,39.0,41.0,42.0,38.0,40.0
3,41.0,41.0,39.0,38.0,40.0,40.0,41.0,38.0,38.0,41.0,40.0,37.0
4,39.0,39.0,39.0,40.0,38.0,38.0,40.0,40.0,38.0,40.0,38.0,41.0
5,41.0,41.0,39.0,41.0,41.0,38.0,41.0,40.0,41.0,41.0,39.0,39.0
6,42.0,42.0,40.0,38.0,41.0,41.0,42.0,39.0,39.0,42.0,40.0,38.0
7,40.0,40.0,39.0,40.0,39.0,39.0,41.0,41.0,39.0,41.0,38.0,42.0
8,42.0,42.0,39.0,40.0,41.0,40.0,42.0,41.0,40.0,42.0,38.0,40.0
9,41.0,41.0,38.0,38.0,38.0,42.0,39.0,38.0,38.0,39.0,42.0,37.0
10,39.0,39.0,38.0,38.0,38.0,38.0,41.0,38.0,38.0,41.0,38.0,40.0
11,40.0,40.0,37.0,41.0,41.0,37.0,41.0,38.0,41.0,41.0,37.0,40.0
12,41.0,41.0,41.0,37.0,37.0,41.0,38.0,37.0,40.0,38.0,41.0,36.0
13,40.0,40.0,41.0,41.0,39.0,38.0,40.0,37.0,39.0,40.0,41.0,42.0
14,43.0,43.0,40.0,43.0,43.0,40.0,40.0,37.0,45.0,40.0,38.0,39.0
15,42.0,42.0,42.0,38.0,38.0,42.0,39.0,38.0,41.0,39.0,42.0,37.0
16,41.0,41.0,42.0,42.0,40.0,39.0,39.0,37.0,40.0,39.0,42.0,43.0
17,44.0,44.0,41.0,40.0,40.0,41.0,40.0,38.0,46.0,40.0,39.0,39.0
18,40.0,40.0,38.0,37.0,39.0,39.0,40.0,37.0,37.0,40.0,39.0,36.0
19,38.0,38.0,38.0,40.0,38.0,38.0,39.0,39.0,38.0,39.0,37.0,40.0
20,40.0,40.0,39.0,40.0,42.0,38.0,40.0,39.0,40.0,40.0,39.0,38.0
21,41.0,41.0,39.0,37.0,40.0,40.0,41.0,38.0,38.0,41.0,40.0,37.0
22,39.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0,39.0,40.0,38.0,41.0
23,41.0,41.0,40.0,40.0,41.0,39.0,41.0,40.0,40.0,41.0,40.0,39.0
24,40.0,40.0,37.0,38.0,39.0,41.0,38.0,37.0,38.0,38.0,41.0,36.0
25,38.0,38.0,38.0,37.0,40.0,38.0,40.0,37.0,37.0,40.0,37.0,39.0
26,40.0,40.0,37.0,41.0,41.0,37.0,40.0,38.0,41.0,40.0,37.0,40.0
27,40.0,40.0,40.0,37.0,38.0,40.0,37.0,36.0,39.0,37.0,40.0,35.0
28,39.0,39.0,40.0,40.0,39.0,39.0,39.0,36.0,39.0,39.0,40.0,41.0
29,42.0,42.0,39.0,43.0,43.0,39.0,39.0,37.0,45.0,39.0,38.0,39.0
30,41.0,41.0,41.0,38.0,39.0,41.0,38.0,37.0,40.0,38.0,41.0,36.0
31,40.0,40.0,41.0,41.0,40.0,40.0,38.0,37.0,40.0,38.0,41.0,42.0
32,43.0,43.0,40.0,42.0,42.0,40.0,39.0,37.0,46.0,39.0,39.0,38.0
33,40.0,40.0,40.0,38.0,39.0,40.0,40.0,37.0,39.0,40.0,39.0,38.0
34,40.0,40.0,40.0,39.0,39.0,40.0,40.0,39.0,39.0,40.0,37.0,42.0
35,42.0,42.0,40.0,39.0,39.0,40.0,42.0,39.0,40.0,42.0,37.0,40.0
36,40.0,40.0,38.0,39.0,40.0,40.0,39.0,37.0,39.0,39.0,40.0,37.0
37,39.0,39.0,39.0,38.0,38.0,39.0,41.0,38.0,38.0,41.0,37.0,39.0
38,41.0,41.0,38.0,39.0,41.0,38.0,41.0,39.0,38.0,41.0,37.0,39.0
39,41.0,41.0,41.0,38.0,39.0,41.0,38.0,36.0,40.0,38.0,39.0,36.0
40,40.0,40.0,40.0,41.0,39.0,40.0,40.0,37.0,39.0,40.0,38.0,42.0
41,43.0,43.0,40.0,39.0,43.0,40.0,40.0,38.0,41.0,40.0,38.0,38.0
42,42.0,42.0,42.0,39.0,40.0,42.0,39.0,36.0,41.0,39.0,40.0,37.0
43,41.0,41.0,41.0,42.0,40.0,41.0,39.0,38.0,40.0,39.0,39.0,43.0
44,44.0,44.0,41.0,40.0,40.0,41.0,40.0,38.0,42.0,40.0,39.0,39.0
45,40.0,40.0,39.0,39.0,39.0,41.0,37.0,39.0,39.0,37.0,41.0,36.0
46,40.0,40.0,37.0,37.0,37.0,37.0,39.0,40.0,37.0,39.0,37.0,38.0
47,39.0,39.0,36.0,37.0,37.0,38.0,39.0,41.0,37.0,39.0,38.0,41.0
48,41.0,41.0,40.0,38.0,38.0,40.0,37.0,38.0,39.0,37.0,40.0,37.0
49,40.0,40.0,39.0,40.0,40.0,39.0,39.0,39.0,39.0,39.0,39.0,40.0
50,43.0,43.0,39.0,39.0,39.0,39.0,39.0,40.0,39.0,39.0,39.0,40.0
51,42.0,42.0,41.0,39.0,39.0,41.0,38.0,35.0,40.0,38.0,41.0,38.0
52,41.0,41.0,40.0,40.0,40.0,40.0,39.0,37.0,40.0,39.0,40.0,40.0
53,44.0,44.0,40.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,40.0
54,40.0,40.0,39.0,38.0,37.0,39.0,36.0,37.0,38.0,36.0,39.0,36.0
55,39.0,39.0,38.0,39.0,39.0,38.0,38.0,38.0,38.0,38.0,38.0,39.0
