Scenario,Roll 0,Roll 1,Roll 2
0,36.0,35.0,36.0
1,37.0,36.0,36.0
2,37.0,37.0,37.0
3,36.0,35.0,36.0
4,37.0,36.0,36.0
5,37.0,37.0,37.0
6,36.0,36.0,37.0
7,38.0,37.0,36.0
8,37.0,37.0,38.0
9,36.0,35.0,36.0
10,37.0,37.0,38.0
11,37.0,37.0,37.0
12,35.0,34.0,35.0
13,37.0,37.0,38.0
14,36.0,36.0,37.0
15,36.0,34.0,35.0
16,38.0,37.0,36.0
17,37.0,36.0,36.0
18,36.0,35.0,35.0
19,36.0,36.0,36.0
20,37.0,37.0,37.0
21,36.0,36.0,36.0
22,37.0,36.0,36.0
23,37.0,37.0,37.0
24,36.0,35.0,36.0
25,37.0,37.0,37.0
26,37.0,37.0,37.0
27,35.0,34.0,35.0
28,36.0,37.0,37.0
29,36.0,36.0,36.0
30,36.0,34.0,35.0
31,37.0,36.0,35.0
32,36.0,36.0,36.0
33,36.0,37.0,37.0
34,38.0,37.0,36.0
35,37.0,38.0,38.0
36,36.0,35.0,36.0
37,37.0,38.0,38.0
38,37.0,37.0,37.0
39,35.0,34.0,35.0
40,37.0,38.0,38.0
41,36.0,36.0,37.0
42,36.0,35.0,35.0
43,38.0,37.0,36.0
44,37.0,36.0,36.0
45,35.0,36.0,36.0
46,37.0,36.0,37.0
47,37.0,37.0,37.0
48,36.0,35.0,35.0
49,37.0,37.0,37.0
50,37.0,37.0,37.0
51,36.0,35.0,36.0
52,36.0,38.0,38.0
53,37.0,37.0,38.0
54,35.0,34.0,35.0
55,36.0,37.0,37.0
56,37.0,36.0,37.0
57,35.0,35.0,36.0
58,37.0,38.0,38.0
59,37.0,37.0,38.0
60,36.0,35.0,34.0
61,38.0,37.0,35.0
62,38.0,37.0,36.0
63,35.0,34.0,34.0
64,35.0,36.0,36.0
65,37.0,37.0,37.0
66,35.0,35.0,35.0
67,36.0,36.0,36.0
68,37.0,37.0,37.0
69,36.0,34.0,35.0
70,37.0,36.0,36.0
71,37.0,36.0,37.0
72,35.0,33.0,34.0
73,36.0,36.0,36.0
74,36.0,36.0,36.0
75,35.0,33.0,34.0
76,36.0,35.0,35.0
77,36.0,36.0,36.0
78,35.0,36.0,36.0
79,37.0,36.0,36.0
80,37.0,37.0,37.0
81,36.0,34.0,35.0
82,37.0,37.0,37.0
83,37.0,36.0,37.0
84,35.0,34.0,34.0
85,36.0,37.0,37.0
86,36.0,36.0,36.0
87,35.0,34.0,34.0
88,37.0,36.0,35.0
89,36.0,36.0,36.0
90,35.0,36.0,36.0
91,36.0,36.0,37.0
92,37.0,37.0,37.0
93,36.0,35.0,35.0
94,37.0,36.0,36.0
95,37.0,36.0,37.0
96,35.0,35.0,35.0
97,36.0,37.0,37.0
98,36.0,37.0,37.0
99,35.0,33.0,34.0
100,36.0,36.0,36.0
101,37.0,36.0,36.0
102,35.0,34.0,35.0
103,36.0,37.0,37.0
104,37.0,37.0,37.0
105,35.0,34.0,34.0
106,37.0,36.0,35.0
107,37.0,36.0,36.0
108,35.0,37.0,37.0
109,38.0,37.0,36.0
110,37.0,38.0,38.0
111,36.0,35.0,35.0
112,37.0,38.0,38.0
113,37.0,36.0,37.0
114,35.0,34.0,34.0
115,37.0,38.0,38.0
116,36.0,36.0,36.0
117,35.0,35.0,35.0
118,38.0,37.0,35.0
119,36.0,36.0,36.0
120,35.0,36.0,36.0
121,37.0,36.0,37.0
122,37.0,37.0,37.0
123,36.0,35.0,35.0
124,37.0,37.0,37.0
125,37.0,36.0,37.0
126,35.0,35.0,36.0
127,36.0,38.0,38.0
128,37.0,37.0,38.0
129,35.0,34.0,35.0
130,36.0,37.0,37.0
131,37.0,36.0,37.0
132,35.0,35.0,36.0
133,37.0,38.0,38.0
134,37.0,37.0,38.0
135,36.0,35.0,34.0
136,38.0,37.0,35.0
137,38.0,37.0,36.0
138,36.0,37.0,37.0
139,37.0,37.0,38.0
140,37.0,37.0,38.0
141,36.0,36.0,37.0
142,36.0,37.0,38.0
143,37.0,37.0,38.0
144,36.0,37.0,37.0
145,37.0,38.0,39.0
146,37.0,38.0,39.0
147,35.0,36.0,36.0
148,36.0,37.0,38.0
149,36.0,37.0,38.0
150,35.0,37.0,37.0
151,37.0,38.0,39.0
152,37.0,38.0,39.0
153,36.0,37.0,37.0
154,38.0,39.0,39.0
155,38.0,39.0,39.0
156,34.0,35.0,35.0
157,36.0,37.0,37.0
158,36.0,37.0,37.0
159,35.0,36.0,36.0
160,36.0,38.0,38.0
161,36.0,38.0,38.0
162,35.0,37.0,37.0
163,37.0,39.0,39.0
164,37.0,39.0,39.0
165,36.0,35.0,34.0
166,38.0,37.0,35.0
167,38.0,37.0,36.0
