Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
0,37.0,37.0,37.0,37.0,36.0,37.0,37.0,36.0,39.0
1,38.0,35.0,35.0,38.0,33.0,35.0,35.0,36.0,39.0
2,39.0,35.0,35.0,38.0,36.0,39.0,39.0,37.0,40.0
3,38.0,38.0,38.0,37.0,37.0,39.0,39.0,40.0,39.0
4,39.0,38.0,38.0,39.0,37.0,38.0,38.0,40.0,39.0
5,40.0,39.0,39.0,39.0,39.0,39.0,39.0,41.0,40.0
6,39.0,38.0,38.0,37.0,38.0,38.0,38.0,35.0,38.0
7,39.0,38.0,38.0,39.0,38.0,39.0,39.0,36.0,39.0
8,40.0,39.0,39.0,39.0,39.0,40.0,40.0,37.0,40.0
9,39.0,37.0,37.0,37.0,38.0,38.0,38.0,40.0,39.0
10,40.0,35.0,35.0,39.0,35.0,36.0,36.0,41.0,40.0
11,41.0,35.0,35.0,39.0,37.0,40.0,40.0,42.0,41.0
12,38.0,37.0,37.0,37.0,37.0,37.0,37.0,39.0,39.0
13,39.0,38.0,38.0,39.0,37.0,36.0,36.0,40.0,40.0
14,40.0,39.0,39.0,39.0,38.0,39.0,39.0,41.0,41.0
15,37.0,37.0,37.0,36.0,37.0,37.0,37.0,35.0,38.0
16,33.0,39.0,39.0,33.0,38.0,37.0,37.0,37.0,40.0
17,33.0,39.0,39.0,33.0,39.0,39.0,39.0,37.0,40.0
18,38.0,37.0,37.0,37.0,37.0,39.0,39.0,39.0,38.0
19,39.0,38.0,38.0,39.0,37.0,39.0,39.0,39.0,38.0
20,40.0,39.0,39.0,39.0,39.0,40.0,40.0,40.0,39.0
21,39.0,38.0,38.0,37.0,38.0,38.0,38.0,39.0,38.0
22,39.0,38.0,38.0,39.0,38.0,39.0,39.0,40.0,39.0
23,40.0,39.0,39.0,39.0,39.0,40.0,40.0,41.0,40.0
24,40.0,38.0,38.0,38.0,38.0,39.0,39.0,40.0,39.0
25,41.0,39.0,39.0,40.0,38.0,39.0,39.0,41.0,40.0
26,42.0,39.0,39.0,40.0,40.0,41.0,41.0,42.0,41.0
27,39.0,38.0,38.0,38.0,37.0,38.0,38.0,40.0,39.0
28,40.0,39.0,39.0,40.0,38.0,38.0,38.0,40.0,39.0
29,41.0,40.0,40.0,40.0,39.0,40.0,40.0,42.0,41.0
30,37.0,38.0,38.0,37.0,38.0,38.0,38.0,39.0,38.0
31,39.0,40.0,40.0,39.0,38.0,38.0,38.0,41.0,40.0
32,39.0,40.0,40.0,39.0,40.0,40.0,40.0,41.0,40.0
33,38.0,38.0,38.0,37.0,37.0,36.0,36.0,32.0,32.0
34,39.0,38.0,38.0,39.0,38.0,38.0,38.0,34.0,34.0
35,40.0,39.0,39.0,39.0,39.0,37.0,37.0,34.0,35.0
36,39.0,39.0,39.0,38.0,39.0,37.0,37.0,39.0,39.0
37,40.0,39.0,39.0,40.0,39.0,38.0,38.0,40.0,40.0
38,41.0,40.0,40.0,40.0,40.0,38.0,38.0,41.0,41.0
39,39.0,38.0,38.0,38.0,38.0,37.0,37.0,38.0,38.0
40,40.0,39.0,39.0,40.0,39.0,37.0,37.0,40.0,40.0
41,41.0,40.0,40.0,40.0,40.0,38.0,38.0,40.0,40.0
42,38.0,38.0,38.0,38.0,37.0,36.0,36.0,32.0,32.0
43,40.0,39.0,39.0,40.0,39.0,38.0,38.0,34.0,34.0
44,40.0,40.0,40.0,40.0,39.0,38.0,38.0,34.0,35.0
